year,quelques_DET hommages_NOUN,quelques_DET dommages_NOUN
1800,4.087413785214267e-08,3.458580977167003e-08
1801,4.286128785224719e-08,8.096020565062645e-08
1802,2.2378401354217203e-08,6.265952379180817e-08
1803,9.55666195068261e-08,6.046051481689574e-08
1804,4.2021465418429216e-08,1.2112069214254007e-07
1805,3.1271653710973624e-08,1.194008660831969e-07
1806,4.610670600868616e-08,1.3255677799861587e-07
1807,3.131650672116848e-08,1.8220512254529808e-07
1808,4.985362878073829e-08,1.540930298915555e-07
1809,4.51806094758922e-08,9.03612189517844e-08
1810,9.828532343547636e-08,1.1232608443378922e-07
1811,9.025476543911282e-08,8.774768645025688e-08
1812,4.267533171287141e-08,6.13457871168066e-08
1813,8.91479885467561e-08,8.91479885467561e-08
1814,1.2586708564299443e-08,1.3530711839848664e-07
1815,2.4275012000529728e-08,9.170560133497929e-08
1816,3.0128852301913867e-08,7.648093003354006e-08
1817,1.2610674104962527e-07,6.538868291272593e-08
1818,2.5034472272977837e-08,5.96058882251782e-08
1819,4.140419918030602e-08,8.384350280721264e-08
1820,7.831877724129299e-08,4.50926265216367e-08
1821,8.185035227370463e-08,6.903042126804593e-08
1822,2.606660132187244e-08,3.107940926838637e-08
1823,1.8777105759149038e-08,5.830785421157003e-08
1824,5.4737231636181605e-08,5.89477879842093e-08
1825,3.6982861217893515e-08,4.9310479255382234e-08
1826,2.906634843924394e-08,6.34174881497529e-08
1827,4.608636672287503e-08,1.0968555252954815e-07
1828,3.485474542319622e-08,6.970949090190359e-08
1829,3.3435387791769244e-08,9.944884027390799e-08
1830,1.6698937344017395e-08,6.888311787633938e-08
1831,2.6505050598757407e-08,1.2784788339104125e-07
1832,2.705993829010822e-08,3.2471927369215337e-08
1833,7.761030929032131e-08,6.486831694019202e-08
1834,2.14694217959277e-08,1.4188487584831933e-07
1835,5.142899794918776e-08,7.487457054367042e-08
1836,1.7473950453261722e-08,9.274634749090183e-08
1837,1.461157106419364e-08,6.053365098068753e-08
1838,3.408567339491242e-08,4.229148586887277e-08
1839,4.474544201826802e-08,8.599514700335931e-08
1840,2.293087986160458e-08,5.477932418784803e-08
1841,3.531301606685133e-08,6.22793194793303e-08
1842,2.4820581145945653e-08,6.842430622100437e-08
1843,4.430183425663259e-08,4.548321541619771e-08
1844,2.6345094994439933e-08,6.641159377984707e-08
1845,5.468623376359005e-08,7.979726301954315e-08
1846,3.7468808500307205e-08,6.908311434017378e-08
1847,2.48088296572746e-08,1.7204383695457182e-07
1848,3.218088684420195e-09,1.2550546557577036e-07
1849,3.854530916669319e-08,7.709061833338637e-08
1850,1.0183494048021657e-08,8.350465208195601e-08
1851,2.4507867735223954e-08,9.674158008010636e-08
1852,3.2552726736412296e-08,4.231854688896419e-08
1853,2.7470886010405593e-08,4.837264788726259e-08
1854,2.1302223818242538e-08,4.2084881357595805e-08
1855,2.865746040470185e-08,4.192480318465641e-08
1856,1.9155599773057475e-08,4.6076984006049315e-08
1857,2.4407546206361985e-08,5.027954325109718e-08
1858,3.523446590047996e-08,5.872411179552728e-08
1859,3.208069276894321e-08,6.772590666059841e-08
1860,2.70053845952134e-08,5.355305177090486e-08
1861,1.9335450573976232e-08,9.90352404528494e-08
1862,1.8071945717679228e-08,6.822159559494168e-08
1863,3.146611149418277e-08,7.242200439350199e-08
1864,1.821996598039277e-08,6.041356925834407e-08
1865,1.6473956032658776e-08,5.459939544927295e-08
1866,2.1408697037372804e-08,6.130672436377438e-08
1867,1.455843445796745e-08,5.28956434209249e-08
1868,1.877152122631287e-08,6.0760449560604e-08
1869,1.8557372638561276e-08,5.225365429240014e-08
1870,2.121598052795548e-08,4.185855573268782e-08
1871,2.0180236148803488e-08,3.292564798584863e-08
1872,3.326036512873998e-08,4.898344840853497e-08
1873,1.0176207432266438e-08,4.7289436366781956e-08
1874,7.766991494406739e-09,6.333085589282916e-08
1875,6.293679799540541e-09,3.1468399441791917e-08
1876,4.836811839936672e-09,3.204387866162506e-08
1877,1.36065949618569e-08,4.391219476929109e-08
1878,4.22736201599605e-09,3.321498875941131e-08
1879,3.29903571127943e-08,3.9099681714560575e-08
1880,1.4119262203848848e-08,4.171599954361227e-08
1881,1.2550513517339823e-08,5.856906426515707e-08
1882,7.320923423037584e-09,3.4608003574021495e-08
1883,1.579834751908038e-08,1.8958017378167824e-08
1884,2.2445769687351458e-08,3.1688147217323603e-08
1885,1.4180398244523218e-08,3.158361394639542e-08
1886,2.8395241213896583e-08,3.1621972595985426e-08
1887,1.1752064210668323e-08,4.504958106554824e-08
1888,3.804368819970705e-09,3.5507442097681974e-08
1889,1.1277245803853475e-08,4.8868066926388565e-08
1890,2.0318598359381213e-08,4.391439034634459e-08
1891,1.2748440525456317e-08,3.888274358043731e-08
1892,2.005923960268774e-08,3.823792482648969e-08
1893,1.23168328869383e-08,4.002970754868329e-08
1894,1.1972924873759894e-08,5.230277722034771e-08
1895,1.1435367319734269e-08,5.236194766666813e-08
1896,7.076434549446731e-09,3.538217541176891e-08
1897,1.9228155068162778e-08,3.903898004864459e-08
1898,1.640922953072277e-08,2.7160103499568322e-08
1899,2.1557555740514545e-08,4.4220627160029835e-08
1900,2.0245106924221545e-08,2.7512582434496835e-08
1901,2.347270311453542e-08,4.0238919751800495e-08
1902,8.347482483017643e-09,2.2587305192889318e-08
1903,1.0260418292773466e-08,2.754112315983548e-08
1904,1.289910045443321e-08,4.03096898082822e-08
1905,1.651442849137652e-08,4.438252948490984e-08
1906,7.201858220895474e-09,5.349951948119269e-08
1907,1.337139288182243e-08,3.9085609415678846e-08
1908,8.840499887696751e-09,3.929111236367078e-08
1909,1.5402754627302784e-08,4.015718158001391e-08
1910,2.137660271017694e-08,5.290709315097786e-08
1911,1.3832972989291648e-08,4.3095029544915064e-08
1912,1.667014770667663e-08,4.375913675858101e-08
1913,1.3257474229533273e-08,5.090870303092743e-08
1914,6.69674382614005e-09,6.161004506566314e-08
1915,1.0602685729388384e-08,2.709575319670421e-08
1916,5.493730803607377e-09,1.0108465264835331e-07
1917,1.0966424213165737e-08,7.347504082932943e-08
1918,3.445912710731136e-08,5.6283244731503146e-08
1919,1.1970203106503874e-08,3.9593746947730324e-08
1920,6.057785384427916e-09,3.180337415642498e-08
1921,1.2116395886607734e-08,4.3164660068484295e-08
1922,1.254249004656316e-08,3.5414090326924e-08
1923,5.307974060286824e-09,4.140219900250486e-08
1924,9.024136882196387e-09,4.125319807979366e-08
1925,9.898360353588487e-09,3.189471442510694e-08
1926,1.226075263538462e-08,3.009457216762712e-08
1927,1.0034302388994831e-08,4.4596898618465275e-08
1928,1.0283437212876834e-08,5.3702394975374546e-08
1929,1.0026365959703298e-08,3.787738322991174e-08
1930,1.995684728584024e-08,7.352522146675255e-08
1931,9.124285327288817e-09,5.24646406319107e-08
1932,1.3151443933878681e-08,3.1782654730250215e-08
1933,6.882397318719313e-09,3.441198770381959e-08
1934,7.188948103475923e-09,4.4331848414458364e-08
1935,1.196828414151696e-08,3.949533677882755e-08
1936,1.6974599503782883e-08,2.9099314957647948e-08
1937,6.295559185076627e-09,4.0291577629858466e-08
1938,5.186085672015395e-09,2.7226949583791793e-08
1939,1.3764645423464117e-08,2.141167065872196e-08
1940,1.2678914806940611e-08,6.085878823114399e-08
1941,8.854508237732261e-09,5.31270463177691e-08
1942,1.8205270180260413e-08,3.6410540360520827e-08
1943,2.9032352077962287e-09,4.935499831049128e-08
1944,9.639558484764166e-09,6.42637232317611e-08
1945,1.089252066321933e-08,2.832055301382752e-08
1946,8.352662561605939e-09,4.733175362758857e-08
1947,4.7683483828109274e-09,5.364391952866754e-08
1948,1.0871888278529696e-08,2.6092530358567956e-08
1949,7.853606653895895e-09,2.0615717133409817e-08
1950,9.57182533234402e-09,4.2541446365618185e-08
1951,5.330700991734716e-09,3.6248767543156646e-08
1952,2.1089607837865287e-09,5.1669539757881466e-08
1953,1.0773827163745864e-08,3.878577814475648e-08
1954,1.07497895029951e-08,3.5181128898997827e-08
1955,1.407841132561316e-08,3.566530892840092e-08
1956,5.232684729961079e-09,2.965188206083269e-08
1957,7.951533653738352e-09,3.26896383850972e-08
1958,9.099467956907858e-09,2.4816730004317833e-08
1959,1.5501495642666896e-09,4.417926291466756e-08
1960,1.7302083821224556e-08,2.2838749558218296e-08
1961,8.33779090214648e-09,2.501337270643944e-08
1962,1.395230386780355e-08,5.707760808437712e-08
1963,1.2932106940866106e-08,2.845063462597608e-08
1964,1.1559539991878864e-08,3.1636634645337836e-08
