year,leurs_DET hivers_NOUN,leurs_DET divers_ADJ
1800,1.2576657937302116e-08,9.904118130066308e-07
1801,4.048010393553625e-08,1.1001064059712462e-06
1802,2.2378401354217203e-09,1.0674497445961606e-06
1803,3.900678446910888e-09,1.343783758045447e-06
1804,8.898663672596285e-08,1.1395233272537553e-06
1805,1.1371510844071508e-08,1.2252803109902288e-06
1806,2.881669125542885e-09,1.535929674112424e-06
1807,1.9928686256776018e-08,1.3807731882309326e-06
1808,3.172503637571822e-08,1.096779804754533e-06
1809,2.4849335034105025e-08,8.109919757970374e-07
1810,1.6380887757350138e-08,1.0600774658087175e-06
1811,1.504245972228091e-08,8.448848802800057e-07
1812,2.1337665856435706e-08,1.3602762036768468e-06
1813,8.627225156487839e-09,8.540952514124456e-07
1814,4.72001566720337e-08,7.426157822010282e-07
1815,2.1577788444915313e-08,8.873865766645395e-07
1816,7.184571870766376e-08,1.3024933593897003e-06
1817,2.1796227045456362e-08,1.0119677669173655e-06
1818,2.98029441125891e-08,9.811128975911743e-07
1819,9.315945348475907e-09,9.253838766376532e-07
1820,2.0173018810965004e-08,7.547082212511214e-07
1821,1.4792232327920374e-08,8.224481389262905e-07
1822,6.015369535816717e-09,8.170876952817707e-07
1823,1.3835761869529506e-08,8.054389857292676e-07
1824,2.863178316658832e-08,1.1023237069807124e-06
1825,1.3208164340028361e-08,7.916093061055562e-07
1826,1.6735169694470642e-08,6.773339915611132e-07
1827,2.027800150017356e-08,7.041996799017625e-07
1828,8.255071071161524e-09,7.163567419254946e-07
1829,9.430493719264632e-09,9.739127797558922e-07
1830,2.0873671680021744e-09,8.224226810682467e-07
1831,2.6505050598757407e-08,8.123018595540543e-07
1832,1.8941957335982806e-08,8.49682098902349e-07
1833,1.3900354645102198e-08,8.595052087834176e-07
1834,1.9602515166639023e-08,7.308937757244394e-07
1835,2.647080776796429e-08,8.062252021545646e-07
1836,8.064899859050456e-09,8.36061314402059e-07
1837,4.87052354003481e-09,7.827627328538256e-07
1838,6.943378316748294e-09,7.650340378972942e-07
1839,1.0487212875887053e-08,8.41773626802933e-07
1840,6.3696887764308485e-09,7.420687371251233e-07
1841,1.9903700021473014e-08,8.096311550076507e-07
1842,1.408735705865638e-08,7.46629925885145e-07
1843,1.7130041385371442e-08,7.170990015126222e-07
1844,8.781698035420504e-09,6.185608336650716e-07
1845,7.254296274794569e-09,7.148272054280369e-07
1846,2.2247105491146613e-08,8.430482019150531e-07
1847,1.6179670936367074e-08,6.471868658763924e-07
1848,8.04522137798358e-09,7.321151738182152e-07
1849,2.513824481908955e-09,7.264952728291973e-07
1850,1.2220192857625989e-08,5.811380781040043e-07
1851,4.514607354622058e-09,7.442652059097554e-07
1852,1.1067927019325907e-08,7.578275074138219e-07
1853,1.4929829372789527e-08,8.253210017628021e-07
1854,1.6626126253527218e-08,6.447819869137561e-07
1855,1.6451505047143655e-08,6.373631222800213e-07
1856,1.1907535402144731e-08,7.242887534175679e-07
1857,5.369659827891837e-09,7.278330240723108e-07
1858,2.1042807274440634e-08,6.797316061124548e-07
1859,1.323965070909594e-08,5.952750647963967e-07
1860,1.830873586072812e-08,6.623185040410817e-07
1861,1.1789909493131745e-08,6.390130762312651e-07
1862,7.680577063240435e-09,5.70621673467997e-07
1863,3.496234635136375e-09,5.509066980380339e-07
1864,1.8699438442126848e-08,6.439319473194871e-07
1865,6.118897832863013e-09,5.954158268650644e-07
1866,1.0704348740731007e-08,5.741422981486721e-07
1867,1.747012134956094e-08,5.833079299577548e-07
1868,2.865126980111654e-08,6.253880542317347e-07
1869,1.8557372527538973e-08,6.841810593627429e-07
1870,2.1789384963000202e-08,6.427868726177621e-07
1871,6.37270636261178e-09,4.917605327392494e-07
1872,1.6327815544059376e-08,7.02096114579831e-07
1873,1.496501056408306e-08,6.536716856686553e-07
1874,1.1351757756017378e-08,6.458552297416986e-07
1875,5.149374260327022e-09,5.567045917587166e-07
1876,7.255217759905008e-09,5.767897865993632e-07
1877,9.895705588292003e-09,7.044505458964068e-07
1878,1.268208649207736e-08,5.398945073231687e-07
1879,9.163987790827832e-09,5.968810748990805e-07
1880,1.2193908105473383e-08,4.954577175197983e-07
1881,4.183504653809678e-09,4.762222536314198e-07
1882,1.1314154946262533e-08,5.603834134504382e-07
1883,3.159669414998234e-09,4.941723026341549e-07
1884,3.9610181801208455e-09,5.294560940782844e-07
1885,5.156508553483263e-09,5.266084617261413e-07
1886,1.2261581083805595e-08,5.059515828520489e-07
1887,6.528924512139156e-09,4.64859439830434e-07
1888,1.014498351992188e-08,3.9121592632085367e-07
1889,6.891650361495749e-09,4.924397352112919e-07
1890,1.9663159989136147e-09,4.732267182561145e-07
1891,7.0116419337296065e-09,5.143995398526613e-07
1892,1.2537024751679837e-08,5.014810113834756e-07
1893,9.23762488724833e-09,5.080693769032862e-07
1894,1.8904618537263218e-08,5.167262031591235e-07
1895,6.018614495673091e-09,4.4718305503010924e-07
1896,1.0024948871034667e-08,5.189385738901819e-07
1897,1.0488084178916779e-08,5.348923219905544e-07
1898,5.092519295146758e-09,5.963905991279717e-07
1899,1.6582735185011188e-09,4.991403077525547e-07
