year,mes_DET hommages_NOUN,mes_DET dommages_NOUN
1800,3.552905827319819e-07,0.0
1801,4.3099404223312376e-07,0.0
1802,4.050490645113314e-07,0.0
1803,3.3740869298526377e-07,0.0
1804,4.0785541055576857e-07,1.2359254952798437e-08
1805,3.0418790242237037e-07,8.52863308864471e-08
1806,2.795218936313404e-07,1.152667650217154e-07
1807,3.6156328953040884e-07,0.0
1808,3.21782516188307e-07,6.798221985349073e-09
1809,3.343365051478031e-07,1.129515236897305e-08
1810,3.2995787879741556e-07,9.360507036149102e-09
1811,4.788516534404152e-07,0.0
1812,4.827646762350923e-07,2.6672082320544632e-09
1813,2.846984301640987e-07,4.026038169513413e-08
1814,3.0522767247020965e-07,1.5733386149463513e-08
1815,2.6163067445850174e-07,0.0
1816,2.155371561229913e-07,2.3176038865813098e-09
1817,5.26223188135333e-07,1.556873407970727e-09
1818,2.9326096018245096e-07,2.384235475716423e-09
1819,2.266879892687257e-07,9.315945348475907e-09
1820,3.168350461990599e-07,3.5599443393152796e-09
1821,6.548028288477781e-07,6.7058117281249e-08
1822,4.2408355227507855e-07,1.1028177482330648e-08
1823,4.101315154159124e-07,4.15072847204101e-08
1824,3.5116038876736866e-07,2.6947560627377243e-08
1825,4.2530289690034806e-07,6.163809906922779e-09
1826,2.9506748022711804e-07,9.688783109140786e-09
1827,3.6776920531167434e-07,5.622536392024813e-08
1828,3.760643494388205e-07,9.172301251858528e-10
1829,3.7379046791130577e-07,4.115124596637543e-08
1830,4.080802815664697e-07,4.383471008395645e-08
1831,4.958003732014049e-07,1.153749238369528e-07
1832,5.371397659992283e-07,2.4353944638733083e-08
1833,6.081405086177938e-07,1.6217079235048004e-08
1834,4.079189954708795e-07,2.333632664885954e-08
1835,3.5470880987986675e-07,1.5882484660778573e-08
1836,3.494790075109222e-07,4.032449929525228e-09
1837,5.079260319007517e-07,1.7394727436226276e-08
1838,3.238139019146047e-07,8.837027110075724e-09
1839,3.292984822600431e-07,4.894032734625853e-09
1840,2.6434207267556076e-07,1.0191501864653674e-08
1841,2.658107165487422e-07,1.4125206782011901e-08
1842,2.5826821081764706e-07,0.0
1843,3.000710784295535e-07,1.4767278067040479e-08
1844,2.1679817052699946e-07,1.2623690537338916e-08
1845,2.499942119982279e-07,1.0044410636567136e-08
1846,2.517435504501009e-07,4.0981511517657054e-09
1847,2.497062450146359e-07,3.182001862001016e-08
1848,3.0974102371850165e-07,1.206783295515379e-08
1849,2.388133202302356e-07,9.217356655710773e-09
1850,2.7699104077072434e-07,3.394498016007219e-09
1851,2.676516999144951e-07,6.449438760824933e-10
1852,2.01826902523905e-07,6.510545436100301e-10
1853,2.7769482535688894e-07,5.971931837933653e-10
1854,2.84202836153824e-07,4.676098175337984e-09
1855,2.902894600254058e-07,1.0613874223963649e-08
1856,2.562708649733736e-07,7.765783571755946e-09
1857,3.773406547225022e-07,5.857811125054013e-09
1858,4.1057940780575564e-07,4.893676019968041e-10
1859,3.4575858443020024e-07,9.165912473463322e-09
1860,4.49021733572863e-07,7.323494255473406e-09
1861,3.29645866159467e-07,4.95176202264247e-08
1862,2.3312809194209194e-07,4.066187830886747e-09
1863,2.9018747582654214e-07,2.9967726078439227e-09
1864,4.420739188049083e-07,9.589455896019672e-10
1865,3.690165950587243e-07,4.706844247692743e-09
1866,2.8999053558464993e-07,9.244664589402873e-09
1867,2.965067782412234e-07,4.85281148598915e-10
1868,2.3365604917557903e-07,9.87974857480367e-09
1869,3.442881055804037e-07,1.953407657850903e-09
1870,3.1021203561465427e-07,4.587239033071455e-09
1871,2.8464756018919957e-07,0.0
1872,4.287563495353197e-07,0.0
1873,2.783491996893872e-07,7.781805422268917e-09
1874,2.640777276852191e-07,4.182226565063729e-09
1875,3.8677524116792483e-07,4.005069165202713e-09
1876,4.939594191455399e-07,9.673623679873344e-09
1877,4.954037500226605e-07,5.566334504436554e-09
1878,2.922919031256299e-07,4.22736201599605e-09
1879,3.4212220612062083e-07,2.443730107160036e-09
1880,4.4026425349841247e-07,7.701415505323439e-09
1881,4.1486420698788606e-07,2.7890030285249168e-09
1882,4.292723367882445e-07,1.9966155395678697e-09
1883,3.715771343948404e-07,1.9589950994713945e-08
1884,2.8255261597109893e-07,2.6406787867472303e-09
1885,4.4217060946039055e-07,6.445635580831777e-09
1886,3.2396387439348473e-07,6.453463874400711e-10
1887,2.40264422579628e-07,5.223139698529167e-09
1888,2.555267695214525e-07,5.07249175996094e-09
1889,3.5585975943774883e-07,2.5060546970934183e-09
1890,3.152659977523342e-07,1.0487018364813139e-08
1891,2.4477004023637505e-07,6.374220040683554e-10
1892,2.5700900785352587e-07,0.0
1893,2.715861748825432e-07,2.463366621796581e-09
1894,2.690757234802277e-07,1.2603078580752936e-09
1895,3.42459159696773e-07,1.2037228991346183e-09
1896,3.266953960689989e-07,0.0
1897,2.750208869528592e-07,2.9133566670225264e-09
1898,2.964978058628276e-07,0.0
1899,2.791426947368336e-07,5.527578395003729e-10
1900,2.559189242745674e-07,2.595526460424935e-09
1901,3.051451411550943e-07,1.676621730339889e-09
1902,3.2162359886456215e-07,0.0
1903,3.2563327856394153e-07,0.0
1904,3.283896106154316e-07,0.0
1905,2.874542879283126e-07,5.160759042333041e-10
1906,2.541227139829516e-07,3.600929110447737e-09
1907,3.677133122437226e-07,1.5428529565042481e-09
1908,3.668807657675188e-07,0.0
1909,3.7021619903043756e-07,0.0
1910,5.028845748711319e-07,1.068830135508847e-09
1911,3.931756467068226e-07,5.320374141248863e-10
1912,3.8758094511592844e-07,0.0
1913,3.1817939571965326e-07,2.121195885607108e-09
1914,2.745664975378759e-07,1.3393487430235496e-09
1915,2.3561523398996087e-07,1.1780761921542648e-09
1916,3.010564544325689e-07,0.0
1917,2.97190094755706e-07,0.0
1918,2.1249796589017933e-07,0.0
1919,2.0349344431735972e-07,6.4454939163738345e-09
1920,2.362536246636182e-07,6.057785384427916e-09
1921,3.1048264759192534e-07,6.058197943303867e-09
1922,3.2315356435219655e-07,3.6889677978990676e-09
1923,3.1317047977097445e-07,5.307974060286824e-09
1924,4.344477417816961e-07,2.578324886925998e-09
1925,3.07948994304752e-07,3.299453377181294e-09
1926,4.0126099776216506e-07,2.229227691330493e-09
1927,4.147511631913403e-07,0.0
1928,3.2107175940154775e-07,0.0
1929,4.0551078228645565e-07,3.342121912552898e-09
1930,4.180434167722069e-07,0.0
1931,2.2012338618537797e-07,3.4216069977333063e-09
1932,2.663167393279764e-07,0.0
1933,3.3609039107318495e-07,0.0
1934,3.534566239693504e-07,0.0
1935,5.984141893122796e-07,2.393656828303392e-09
1936,4.328523175445298e-07,0.0
1937,3.3996019510595943e-07,5.0364472592434595e-09
1938,3.9284599750999405e-07,1.2965214457594243e-09
1939,2.6305767519829715e-07,0.0
1940,1.420038397981216e-07,5.0715658339584024e-09
1941,5.106099436602562e-07,0.0
1942,4.12652806147662e-07,0.0
1943,2.6129116648121453e-07,0.0
