year,premiers_ADJ fils_NOUN
1800,1.1633408547595536e-07
1801,7.619784270218588e-08
1802,6.042168365638645e-08
1803,2.3404069793286908e-08
1804,4.943701892301533e-09
1805,8.528632911009026e-09
1806,4.3225035994964855e-08
1807,3.4163463169534225e-08
1808,6.571614363792833e-08
1809,3.6144488291256494e-08
1810,3.510190182964834e-08
1811,1.2535384286138651e-08
1812,2.5605197606637375e-07
1813,4.3136125782439194e-08
1814,1.4474714760126517e-07
1815,2.1577788444915313e-08
1816,2.0858434979231788e-08
1817,6.538868291272593e-08
1818,4.172412104708201e-08
1819,7.03871378959775e-08
1820,7.475883023744245e-08
1821,1.3806083387635226e-08
1822,3.60922172149003e-08
1823,7.708495530778237e-08
1824,1.1284291190349904e-07
1825,6.868245350233337e-08
1826,3.6112734136395375e-08
1827,1.935627302884768e-08
1828,3.210305266065916e-08
1829,3.086343269842473e-08
1830,6.679574937606958e-08
1831,8.263339168479433e-08
1832,5.0060886991332154e-08
1833,2.3167256557599103e-08
1834,2.333632664885954e-08
1835,4.5378527602224494e-08
1836,6.183090306421946e-08
1837,2.2265250976261086e-08
1838,7.574594462766981e-08
1839,7.690622538802927e-08
1840,5.5416290223320175e-08
1841,4.4301785351308354e-08
1842,5.970355942963579e-08
1843,8.151537400635789e-08
1844,5.2690189988879865e-08
1845,6.863680113156079e-08
1846,8.137757134818457e-08
1847,1.0840379616183782e-07
1848,7.321151684891447e-08
1849,6.619738002200393e-08
1850,8.282574981421931e-08
1851,7.094382681316347e-08
1852,6.315229228448516e-08
1853,5.4941772020811186e-08
1854,5.819144277552368e-08
1855,8.650307847801741e-08
1856,4.0899795550330964e-08
1857,3.8075771868761876e-08
1858,3.1808895073481835e-08
1859,7.078121200265741e-08
1860,4.485640303641958e-08
1861,7.026785908692545e-08
1862,5.3764036778147783e-08
1863,7.441985161449338e-08
1864,5.753673448793961e-08
1865,4.565638889175716e-08
1866,5.6441109563820646e-08
1867,4.31900204489466e-08
1868,3.210918109175509e-08
1869,3.711474505507795e-08
1870,3.55511033944822e-08
1871,2.6552942955504477e-08
1872,3.9912439575573444e-08
1873,5.088103804951061e-08
1874,3.2860349108432274e-08
1875,3.432916173551348e-08
1876,4.5949711591219966e-08
1877,3.710889728836264e-08
1878,1.3889904337816006e-08
1879,5.6205792020591616e-08
1880,4.813384535395926e-08
1881,5.856906426515707e-08
1882,3.5939081044489285e-08
1883,5.497824773215143e-08
1884,3.8289840631478e-08
1885,5.4787903991382336e-08
1886,7.356948827919041e-08
