year,très_ADV été_VERB,très_ADV fêté_VERB
1800,3.144164484325529e-09,0.0
1801,0.0,4.7623651688866175e-09
1802,0.0,0.0
1803,1.950339223455444e-09,0.0
1804,0.0,0.0
1805,5.685755422035754e-09,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,3.113746815941454e-09
1818,3.5763532135746345e-09,0.0
1819,0.0,6.210630232317271e-09
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,1.9765373782121287e-09
1824,0.0,4.210556348027694e-09
1825,0.0,8.805443041381977e-10
1826,2.642395191543301e-09,2.906634755106552e-08
1827,9.217273055917019e-10,8.295545583791863e-09
1828,0.0,0.0
1829,2.571952872898464e-09,5.143905745796928e-09
1830,0.0,1.0436835840010872e-09
1831,0.0,2.0268567268999504e-08
1832,0.0,0.0
1833,1.1583628500844156e-09,0.0
1834,1.8669061851994684e-09,9.334530925997342e-10
1835,0.0,0.0
1836,2.688300027031687e-09,0.0
1837,1.3915781860163179e-09,3.478945576063097e-09
1838,1.2624323808552163e-09,8.2058102535143e-09
1839,0.0,2.0974426639952526e-09
1840,6.369688665408546e-10,2.5478754661634184e-09
1841,0.0,6.420548537278137e-10
1842,0.0,2.683306021822318e-09
1843,0.0,2.953455480181333e-09
1844,0.0,5.488561161115513e-09
1845,0.0,0.0
1846,5.854501328173001e-10,1.7563503984519002e-09
1847,1.0786447290911383e-09,4.314578916364553e-09
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,1.3577992064028876e-09
1851,1.9348316282474798e-09,0.0
1852,6.510545436100301e-10,0.0
1853,0.0,5.971931837933653e-10
1854,5.195664454227256e-10,0.0
1855,0.0,1.0613874223963649e-09
1856,1.0354378465748937e-09,0.0
1857,2.4407544874094356e-09,0.0
1858,1.468102750479261e-09,3.4255731584664773e-09
1859,1.018434669930457e-09,3.5645213447565993e-09
1860,4.577183909670879e-10,3.204028820036342e-09
1861,9.431927461278633e-10,9.431927461278633e-10
1862,4.517986262886353e-10,3.162590411776023e-09
1863,1.4983863039219614e-09,0.0
1864,3.3563094525845827e-09,0.0
1865,9.41368871743009e-10,9.41368871743009e-10
1866,0.0,9.731225825149181e-10
1867,9.7056229719783e-10,4.85281148598915e-10
1868,4.93987406535723e-10,7.409810987013543e-09
1869,4.883519144627257e-10,4.395167341186834e-09
1870,0.0,9.17447806614291e-09
1871,0.0,1.0621177271019633e-09
1872,0.0,1.9351485747165498e-08
1873,2.9930022904522957e-09,1.1972008939764578e-09
1874,5.974609140757536e-10,0.0
1875,5.721527140956084e-10,0.0
1876,1.813804439976252e-09,6.04601479992084e-10
1877,6.184815992682502e-10,6.184815992682502e-10
1878,0.0,1.8117266020745149e-09
1879,0.0,3.665595160740054e-09
1880,0.0,7.701415505323439e-09
1881,2.7890030285249168e-09,4.8807553554297556e-09
1882,6.655385131892899e-10,1.5972924316542958e-08
1883,3.791603475633565e-09,1.3270612164717477e-08
1884,1.9805090900604227e-09,1.3203393933736152e-08
1885,1.2891271383708158e-09,1.933690718658454e-08
1886,1.2906927748801422e-09,1.0325542199041138e-08
1887,6.528924623161458e-10,8.48760173255414e-09
1888,4.4384300679212174e-09,3.804368819970705e-09
1889,3.132568426877924e-09,2.0674951528576457e-08
1890,2.6217545912032847e-09,1.0487018642368895e-08
1891,6.374220040683554e-10,8.92390783491237e-09
1892,4.387958441043338e-09,1.9432388143059143e-08
1893,0.0,8.005941687372342e-09
1894,1.2603078580752936e-09,1.2603078580752936e-08
1895,4.213029924926559e-09,2.467631921021507e-08
1896,1.179405795248556e-09,1.7101384197637515e-08
1897,3.4960281336537946e-09,2.3889525468945294e-08
1898,2.26334195829736e-09,1.0185038590293516e-08
1899,5.527578395003729e-10,2.7637891975018647e-08
1900,1.038210628578895e-09,9.343895990276962e-09
1901,1.1177477832191585e-09,1.5648469187112823e-08
1902,1.4730852093691738e-09,1.3748794658319241e-08
1903,1.6200660812870638e-09,1.3500550899436803e-08
1904,1.6123875568041512e-09,1.1824175416563776e-08
1905,0.0,1.548227662739876e-08
1906,1.0288369045596824e-09,1.2346042854716188e-08
1907,2.057137349353866e-09,1.902852098112362e-08
1908,3.437972351250096e-09,1.0805056183116335e-08
1909,2.2003934230241384e-09,2.4204327431220918e-08
1910,1.6032452032632705e-09,1.7101282168141552e-08
1911,5.320374141248863e-10,2.0217421736745678e-08
1912,1.0418842455450772e-09,1.8753915753677575e-08
1913,1.060597942803554e-09,1.5908969752675972e-08
1914,3.3483718020477227e-09,2.5447626783581256e-08
1915,0.0,3.534228465440492e-09
