year,vingt - trois fois
1800,6.889536940946073e-09
1801,6.01446075165768e-08
1802,1.7244529360027627e-08
1803,1.928570014797515e-08
1804,4.077608295460777e-08
1805,0.0
1806,6.319863299353301e-09
1807,0.0
1808,9.960592350921615e-09
1809,3.706438889139463e-08
1810,0.0
1811,0.0
1812,5.841833683462028e-09
1813,1.2588261988355498e-08
1814,2.4075651694488442e-08
1815,7.68668542150408e-08
1816,1.0385877402541155e-07
1817,3.071022547374014e-08
1818,4.0403008938483254e-08
1819,7.914263022712476e-09
1820,1.4243599189001088e-08
1821,2.1600643052011037e-08
1822,2.1929524862684957e-09
1823,1.0795871752122821e-08
1824,8.268784768006299e-09
1825,1.826033901863866e-08
1826,1.2493768686283602e-08
1827,8.048523625348025e-09
1828,2.0046215354341257e-08
1829,2.3413734950850085e-08
1830,2.9676194834848957e-08
1831,2.909461893629839e-08
1832,2.965254486397839e-09
1833,3.8021337189775295e-09
1834,1.2274492533492776e-08
1835,1.32793687157573e-08
1836,3.0842656872920315e-08
1837,3.9473138091494775e-08
1838,2.2023177947971817e-08
1839,3.0570314168976154e-08
1840,5.6364167555500444e-08
1841,4.703259515181912e-08
1842,4.254420815641424e-08
1843,2.3235042334590617e-08
1844,3.829743239203154e-08
1845,4.392291286237082e-08
1846,3.779896728950405e-08
1847,4.712479695356819e-08
1848,2.8188852363442152e-08
1849,4.3118792425467234e-08
1850,2.8977258814677498e-08
1851,5.999783442289797e-08
1852,5.3501492125462846e-08
1853,2.745557736716364e-08
1854,3.694069405923983e-08
1855,4.712408363527487e-08
1856,1.7013420006151136e-08
1857,1.9258910910480154e-08
1858,2.8949333596983706e-08
1859,2.11821902240672e-08
1860,1.304675351088136e-08
1861,2.7368372457203805e-08
1862,2.7726077433953833e-08
1863,5.647091627647427e-08
1864,3.097228384874029e-08
1865,2.8893790415818188e-08
1866,5.980022954599207e-08
1867,3.4069323140428764e-08
1868,2.2180635994573095e-08
1869,1.9286324759448803e-08
1870,2.450482483595806e-08
1871,2.799582077273044e-08
1872,2.5870694031482344e-08
1873,4.5922970315359635e-08
1874,2.2287558354427972e-08
1875,3.583573260357298e-08
1876,3.453232366723569e-08
1877,2.9272508972333355e-08
1878,2.060519577185005e-08
1879,4.7715755180366415e-08
1880,4.0281804558617296e-08
1881,3.0737570710925866e-08
1882,5.20261968506297e-08
1883,2.2293150436780707e-08
1884,5.3833834168237615e-08
1885,3.764104405945545e-08
1886,1.777865632490716e-08
1887,3.457259367678489e-08
1888,4.263301678353315e-08
1889,3.5953124033483164e-08
1890,3.759066657949006e-08
1891,3.583875662904745e-08
1892,3.112734797694472e-08
1893,2.7171767058575824e-08
1894,2.9922882227584324e-08
1895,3.9851745015084816e-08
1896,3.3822640688185857e-08
1897,1.9969709441625128e-08
1898,2.0600555927785535e-08
1899,3.5992419267216746e-08
1900,2.5812019799342778e-08
1901,3.947101390178176e-08
1902,2.8117193684451536e-08
1903,2.6824464538499626e-08
1904,2.0179770299222355e-08
1905,4.4443588365084e-08
1906,1.8162103265773055e-08
1907,1.8756175501621897e-08
1908,1.1392215171213138e-08
1909,1.5771769668049274e-08
1910,1.9464582834416433e-08
1911,1.9376974247364842e-08
1912,1.6668392888163908e-08
1913,3.1010831236244485e-08
1914,1.1079890338550058e-08
1915,3.6366671452015e-08
1916,2.6605393443901448e-08
1917,5.186240059629199e-08
1918,1.011015726692932e-08
1919,1.0134946215600849e-08
1920,1.668675331245595e-08
1921,1.6713919137600897e-08
1922,2.5246048807048282e-08
1923,1.5250838814040435e-08
1924,3.7047545919932645e-08
1925,2.4370372386783856e-08
1926,1.3580273794389086e-08
1927,2.221682415814996e-08
1928,8.856155808700805e-09
1929,1.4811152304616826e-08
1930,2.208900795608315e-08
1931,2.5257092417518834e-08
1932,2.061899451177851e-08
1933,2.664475218239204e-08
1934,2.9203186868720366e-08
1935,3.050659813652601e-08
1936,1.4764522826560267e-08
1937,2.3710904462070914e-08
1938,1.2909699975693911e-08
1939,2.5413262605411546e-08
1940,2.251692055033061e-08
1941,6.561927001769163e-09
1942,1.0093186730841808e-08
1943,2.569098178639706e-08
1944,1.7747252556432613e-08
1945,2.1626657797924054e-08
