year,quelques_DET oeufs_NOUN,quelques_DET gueux_NOUN
1800,2.5153315874604232e-08,3.144164484325529e-09
1801,2.6193008650921e-08,0.0
1802,1.7902721083373763e-08,0.0
1803,2.7304748684287006e-08,0.0
1804,1.7302956178966156e-08,0.0
1805,8.528632911009026e-09,2.842877711017877e-09
1806,2.305335211616466e-08,0.0
1807,2.8469551160981155e-09,3.701041606518629e-08
1808,4.5321479902327155e-09,2.2660739951163578e-09
1809,4.518061036407062e-09,2.259030518203531e-09
1810,1.4040760554223652e-08,0.0
1811,3.259199843341776e-08,0.0
1812,8.00162425207418e-09,0.0
1813,8.627225156487839e-09,0.0
1814,2.2026739543434815e-08,0.0
1815,2.697223555614414e-09,0.0
1816,3.244645441213834e-08,0.0
1817,3.113746815941454e-09,7.784366928831332e-09
1818,1.0729059418679299e-08,9.536941902865692e-09
1819,2.070210003424222e-09,2.3807414706311647e-08
1820,5.933240565525466e-09,0.0
1821,2.9584463767662328e-09,1.972297702934611e-08
1822,4.010246357211145e-09,9.023054303725075e-09
1823,4.941343334508019e-09,9.882686891060644e-10
1824,5.894778887238772e-09,0.0
1825,5.283265824829186e-09,1.5849797252442954e-08
1826,6.1655889282974385e-09,5.2847906051312066e-09
1827,2.7651818612639545e-09,3.6869092223668076e-09
1828,4.586150570418113e-09,0.0
1829,6.001223074036943e-09,1.3717081692732336e-08
1830,1.0436835840010872e-09,1.0436835840010872e-09
1831,3.1182412207897414e-09,1.870944643656003e-08
1832,0.0,2.705993873419743e-09
1833,5.791814139399776e-09,0.0
1834,1.8669061851994684e-09,9.334530925997342e-10
1835,1.5126175867408165e-09,1.0588323107185715e-08
1836,4.704525213838906e-09,2.688300027031687e-09
1837,9.045257876039159e-09,2.7831563720326358e-09
1838,1.0730675015224733e-08,5.680945935893078e-09
1839,4.894032734625853e-09,2.7965900706306e-09
1840,1.910906599622564e-09,4.458782232319436e-09
1841,6.420548537278137e-10,0.0
1842,1.341653010911159e-09,1.341653010911159e-09
1843,3.5441467538532834e-09,2.953455480181333e-09
1844,2.7442805805577564e-09,1.097712254427563e-09
1845,2.2320911785556063e-09,5.580227835366713e-09
1846,1.1709002656346001e-09,1.0538102168666796e-08
1847,1.0786447290911383e-09,9.168480197274675e-09
1848,2.4135665133151463e-09,1.528592141752938e-08
1849,8.379414495607307e-09,4.189707469848258e-09
1850,6.788996032014438e-10,0.0
1851,7.739326512989919e-09,1.9348316282474798e-09
1852,1.3021090872200602e-09,1.9531636308300904e-09
1853,7.763511611358354e-09,5.3747388761848924e-09
1854,1.558699391779328e-09,4.676098175337984e-09
1855,1.0613874223963649e-09,9.552486801567284e-09
1856,2.5885946719483854e-09,2.0708756931497874e-09
1857,1.4644527812635033e-09,1.122747095294585e-08
1858,2.4468380654951716e-09,2.4468380654951716e-09
1859,1.5276520048956854e-09,7.638259802433822e-09
1860,9.154367819341758e-10,3.204028764525191e-09
1861,6.13075279431996e-09,1.4147891747029462e-09
1862,2.710791813242963e-09,9.035972525772706e-10
1863,1.4983863039219614e-09,5.993545049154392e-09
1864,2.3973640850272204e-09,0.0
1865,3.294791106611683e-09,2.3534221793575227e-09
1866,2.4328064562872953e-09,5.352174259343201e-09
1867,2.426405742994575e-09,9.7056229719783e-10
1868,9.87974813071446e-10,4.93987406535723e-10
1869,0.0,6.836926913500463e-09
1870,2.2936195165357276e-09,1.7202146374017957e-09
1871,2.1242354542039266e-09,2.1242354542039266e-09
1872,3.628403577593531e-09,1.8142017887967654e-09
1873,2.3944017324417644e-09,1.7958013409646867e-09
1874,1.7923826867161097e-09,5.974609140757536e-10
1875,5.7215269744226305e-09,1.1443054281912168e-09
1876,5.441413541973361e-09,1.1487427897804992e-08
1877,3.710889595609501e-09,1.2369631985365004e-09
1878,6.039088673581716e-10,9.058632954861423e-09
1879,2.443730107160036e-09,7.942122848270117e-09
1880,5.134277003548959e-09,8.984985200299889e-09
1881,2.7890030285249168e-09,6.972507571312292e-10
1882,4.658769592325029e-09,6.655385131892899e-10
1883,6.951272890631799e-09,6.319338941018771e-10
1884,1.3203393933736152e-09,1.3203393933736152e-09
1885,3.86738152613475e-09,3.2228177904158883e-09
1886,1.9360391623202133e-09,1.2906927748801422e-09
1887,1.3057849246322917e-09,7.834709769838355e-09
1888,4.438430289965822e-09,2.53624587998047e-09
1889,3.759081934617825e-09,3.132568371366773e-09
1890,5.898947663673937e-09,5.243509182406569e-09
1891,1.2748440081367107e-09,6.374220040683554e-10
1892,3.1342561879199593e-09,0.0
