year,joints_NOUN ouverts_ADJ,joints_NOUN couverts_ADJ
1800,0.0,0.0
1801,2.3811825844433088e-09,0.0
1802,2.2378401354217203e-09,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,0.0
1829,8.57317605795771e-10,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,1.1583628500844156e-09,0.0
1834,8.401078055442213e-09,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,0.0
1840,0.0,0.0
1841,3.852329122366882e-09,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,5.580227946389016e-10,0.0
1846,0.0,0.0
1847,2.1572894581822766e-09,0.0
1848,0.0,0.0
1849,1.508294644736452e-08,0.0
1850,1.3577992064028876e-09,0.0
1851,1.9348316282474798e-09,0.0
1852,6.510545436100301e-10,0.0
1853,1.7915795513800958e-09,0.0
1854,5.195664454227256e-10,0.0
1855,0.0,0.0
1856,1.5531567143511893e-09,0.0
1857,5.369659827891837e-09,9.763018171682347e-10
1858,4.893676019968041e-10,0.0
1859,5.092173349652285e-10,5.092173349652285e-10
1860,4.577183909670879e-10,0.0
1861,9.431927461278633e-10,0.0
1862,4.517986262886353e-10,2.710791813242963e-09
1863,0.0,9.989241656072068e-10
1864,1.9178911792039344e-09,0.0
1865,0.0,0.0
1866,0.0,0.0
1867,2.426405742994575e-09,0.0
1868,9.87974813071446e-10,0.0
1869,9.767038289254515e-10,0.0
1870,1.7202146374017957e-09,0.0
1871,0.0,0.0
1872,6.047339295989218e-10,0.0
1873,1.1972008939764578e-09,0.0
1874,7.169530746864439e-09,0.0
1875,0.0,0.0
1876,6.04601479992084e-10,0.0
1877,0.0,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,1.2835692508872398e-09,0.0
1881,0.0,0.0
1882,0.0,0.0
1883,2.5277355764075082e-09,0.0
1884,1.3203393933736152e-09,0.0
1885,3.2228177904158883e-09,1.2891271383708158e-09
1886,0.0,0.0
1887,1.9586774424595887e-09,0.0
1888,8.242799331981132e-09,0.0
1889,2.5060546970934183e-09,0.0
1890,0.0,0.0
1891,3.824531802365527e-09,0.0
1892,0.0,0.0
1893,0.0,0.0
1894,6.9316934414587195e-09,0.0
1895,4.213029924926559e-09,6.018614495673091e-10
1896,5.897029087265082e-09,0.0
1897,1.7480140668268973e-09,0.0
1898,9.05336783318944e-09,0.0
1899,1.1055156790007459e-09,0.0
1900,7.786579381274805e-09,0.0
1901,2.235495566438317e-09,0.0
1902,1.6694965410124496e-08,9.820567692386817e-10
1903,9.720396931811592e-09,0.0
1904,1.3436562973367927e-08,0.0
1905,1.5482277682110634e-09,0.0
1906,1.388929860013377e-08,0.0
1907,2.1599941391059474e-08,0.0
1908,1.7189861978295085e-08,0.0
1909,1.6502950117569526e-09,0.0
1910,2.67207544979442e-09,0.0
1911,6.916486494645824e-09,0.0
1912,7.293189607793238e-09,0.0
1913,1.2196876397752021e-08,5.30298971401777e-10
1914,4.68772043404897e-09,0.0
1915,1.0602685840410686e-08,0.0
1916,0.0,0.0
1917,2.1932848870420685e-09,0.0
1918,0.0,0.0
1919,5.524709134618888e-09,0.0
1920,1.514446346106979e-09,0.0
1921,6.058197943303867e-09,0.0
1922,4.426761179843197e-09,0.0
1923,1.0615948120573648e-09,0.0
1924,0.0,0.0
1925,1.0998177923937646e-09,1.0998177923937646e-09
1926,3.343841648018042e-09,0.0
1927,2.2298449753321847e-09,0.0
1928,1.1426041224282812e-09,0.0
1929,4.4561625500705304e-09,0.0
1930,1.3654684494213143e-08,0.0
1931,1.1405356659111021e-09,2.2810713318222042e-09
1932,5.4797681947604815e-09,0.0
1933,1.605892663292252e-08,2.2941324395731044e-09
1934,4.7926320689839486e-09,1.1981580172459871e-09
1935,3.590485242455088e-09,2.393656828303392e-09
1936,1.2124714565686645e-09,1.2124714565686645e-09
1937,0.0,3.777335333410292e-09
1938,1.1668692678767911e-08,5.186085783037697e-09
1939,6.117620188206274e-09,0.0
1940,1.0143131667916805e-08,0.0
1941,5.9030051957620344e-09,0.0
1942,9.102635090130207e-09,0.0
1943,2.9032352077962287e-09,0.0
1944,3.2131861615880553e-09,2.2492303131116387e-08
1945,0.0,0.0
1946,0.0,6.960552134671616e-09
1947,0.0,7.152522574216391e-09
1948,3.2615663503321457e-09,8.697510267552389e-09
1949,3.9268033269479474e-09,2.4542520904446974e-08
1950,9.571825110299415e-09,2.1270722072586068e-08
1951,9.595261474260042e-09,2.1322803078760444e-08
1952,1.0544803918932644e-09,1.4762725264461096e-08
1953,1.0773827385790469e-09,7.54167928107563e-09
1954,2.9317608341017376e-09,2.9317608341017376e-09
1955,5.631364707880948e-09,7.508486277174597e-09
1956,1.0465369904011368e-08,2.616342476002842e-09
1957,1.0602045463770082e-08,3.534015080575159e-09
1958,4.1361216673863055e-09,6.617794756635931e-09
1959,6.200598257066758e-09,6.975672928177801e-09
1960,1.3841666701708277e-09,2.076250060767393e-09
1961,4.86371165564492e-09,4.16889545107324e-09
1962,6.341956404476434e-10,2.5367825617905737e-09
1963,7.1126584622049904e-09,0.0
1964,6.083968440151466e-09,3.041984220075733e-09
1965,4.377634699181954e-09,0.0
1966,4.431259803538978e-09,0.0
1967,5.916402479044791e-09,0.0
1968,1.3474247273492779e-09,0.0
1969,6.8126366770115965e-09,4.5417578031781147e-10
1970,7.3579600190498695e-09,0.0
1971,1.0276794970565106e-09,0.0
1972,1.6929485369132635e-08,0.0
1973,1.4334330167287135e-08,1.102640756478479e-09
1974,2.812785782069227e-09,0.0
1975,1.7134440533084216e-09,0.0
1976,9.712995741040231e-09,0.0
1977,5.289103821581875e-09,0.0
1978,1.0099005187669263e-08,0.0
1979,7.022368020415115e-09,5.851973350345929e-10
1980,3.97960553399912e-09,0.0
1981,1.2651099057237047e-09,2.5302198114474095e-09
1982,6.2075020679230875e-09,0.0
1983,4.4207211225000265e-09,0.0
1984,2.3196033982486597e-09,0.0
1985,3.609334831011779e-09,0.0
1986,5.994485463567401e-10,0.0
1987,9.166225112267057e-09,0.0
1988,4.197587610832443e-09,0.0
1989,4.939309850016116e-09,0.0
1990,1.6345953479657283e-09,0.0
1991,1.1722930404189924e-09,0.0
1992,3.30596661157756e-09,0.0
1993,5.539207315052863e-09,0.0
1994,1.0549853213248639e-09,0.0
1995,3.253470381991974e-09,0.0
1996,0.0,0.0
1997,2.3974471297094624e-09,0.0
1998,4.768129224785866e-10,0.0
1999,2.7421207526856506e-09,4.570201161957499e-10
2000,2.6508188977203417e-09,0.0
2001,1.7524847129024579e-09,0.0
2002,0.0,0.0
2003,8.333845835650777e-10,0.0
2004,1.7619165015858584e-09,0.0
2005,1.3511248786457486e-09,0.0
2006,5.7650457740976435e-09,0.0
2007,1.997239706952314e-09,0.0
2008,2.554463751636149e-09,0.0
2009,3.814554005998616e-09,0.0
2010,4.2514138876015295e-09,0.0
2011,7.64794394481072e-10,0.0
2012,1.0212758416727752e-09,0.0
2013,0.0,0.0
2014,6.496335691608124e-10,0.0
2015,4.433150790905671e-10,4.433150790905671e-10
2016,0.0,0.0
2017,0.0,0.0
2018,0.0,0.0
2019,7.65296326310505e-10,0.0
