year,les_DET hôtes_NOUN,les_DET côtes_NOUN
1800,9.24384380596166e-07,2.8863430145520397e-05
1801,5.762461938729757e-07,2.7928890773409876e-05
1802,3.9162202369880106e-07,2.878981342746556e-05
1803,4.056705655841597e-07,3.6245103856913374e-05
1804,4.4493317474803007e-07,2.7323840839699187e-05
1805,5.316181272974063e-07,2.745935596237814e-05
1806,4.6971208078616655e-07,2.0315767926604167e-05
1807,2.7615464937014167e-07,2.2183475152814935e-05
1808,6.005095798400362e-07,2.515795296176293e-05
1809,5.760527983511565e-07,2.613924178263005e-05
1810,6.52895366215489e-07,2.4100965639206606e-05
1811,5.189648888404008e-07,2.7043836581697178e-05
1812,6.934741207942352e-07,2.0921580716759536e-05
1813,4.975033007781349e-07,2.8107498621920968e-05
1814,4.436814649011467e-07,2.146348506215645e-05
1815,2.2656677223231725e-07,3.0427379329012183e-05
1816,2.850652691677169e-07,2.8668760080563516e-05
1817,5.153250981493329e-07,2.84253954845326e-05
1818,4.530047377215851e-07,2.375175452584699e-05
1819,3.767782104091566e-07,2.494603061720113e-05
1820,3.773541124019175e-07,2.4625322311067066e-05
1821,3.885426451688545e-07,1.9068173985559156e-05
1822,4.331066065788036e-07,2.0824207652481164e-05
1823,4.457091904441768e-07,2.16065192475412e-05
1824,6.778995924605624e-07,1.9279294839691374e-05
1825,6.516027752923037e-07,2.4546052159735154e-05
1826,5.487374110657584e-07,2.709424053293219e-05
1827,4.350552842424804e-07,2.7365161407999494e-05
1828,4.916353475437063e-07,2.5118347739550018e-05
1829,4.775259156986067e-07,2.3587378997547148e-05
1830,6.867437747359872e-07,2.4122658050629298e-05
1831,4.989185882209313e-07,2.176688244048819e-05
1832,5.912596634516376e-07,2.0677852972994515e-05
1833,7.031262327927834e-07,2.509361505076413e-05
1834,8.177049082291887e-07,2.5012809558688787e-05
1835,7.714349905540985e-07,2.350910253312577e-05
1836,7.164319484331827e-07,2.2591129919646846e-05
1837,6.12294389412682e-07,2.405899483903795e-05
1838,7.031748623376188e-07,2.2309073088422338e-05
1839,7.907358323677727e-07,2.319282037888115e-05
1840,8.363401278188576e-07,2.3009225941450495e-05
1841,8.56501163326584e-07,1.9530023863012502e-05
1842,9.290946891837848e-07,2.2189599420130435e-05
1843,9.911796681194573e-07,2.086202928808234e-05
1844,1.1816872316217086e-06,2.165456912450736e-05
1845,9.547769792561667e-07,2.119482212492585e-05
1846,7.956267253916849e-07,1.9252527849289436e-05
1847,7.777028514510675e-07,1.9527785092066097e-05
