year,tapis_NOUN couverts_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,2.2660739951163578e-09
1809,4.518061036407062e-09
1810,0.0
1811,0.0
1812,0.0
1813,2.5881675469463516e-08
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,7.88919063410276e-09
1822,0.0
1823,2.9648061783404955e-09
1824,0.0
1825,0.0
1826,8.807984341885344e-10
1827,6.452091305675367e-09
1828,7.337841001486822e-09
1829,8.57317605795771e-10
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,9.334530925997342e-10
1835,1.2100940693926532e-08
1836,5.376600054063374e-09
1837,2.0873671680021744e-09
1838,3.1560809521380406e-09
1839,1.3982950353153e-09
1840,6.369688665408546e-10
1841,3.2102742686390684e-09
1842,1.341653010911159e-09
1843,2.3627644285539873e-09
1844,0.0
1845,1.1160455892778032e-09
1846,0.0
1847,3.235934187273415e-09
1848,1.6090443422100975e-09
1849,7.54147322368226e-09
1850,1.3577992064028876e-09
1851,1.9348316282474798e-09
1852,0.0
1853,5.971931837933653e-10
1854,0.0
1855,0.0
1856,3.1063134287023786e-09
1857,4.881509085841174e-10
1858,0.0
1859,2.5460866748261424e-09
1860,0.0
1861,5.187560159214399e-09
1862,2.2589932147099034e-09
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,3.396968040192405e-09
1868,1.4819622196071691e-09
1869,9.767038289254515e-10
1870,0.0
1871,6.37270636261178e-09
1872,2.4189357183956872e-09
1873,0.0
1874,0.0
1875,1.716458086775674e-09
1876,0.0
1877,0.0
1878,5.435179861734696e-09
1879,1.221865053580018e-09
1880,1.2835692508872398e-09
1881,6.972507571312292e-10
1882,6.655385131892899e-10
1883,0.0
1884,6.601696966868076e-10
1885,1.2891271383708158e-09
1886,0.0
1887,7.1818169189441505e-09
1888,6.340614699951175e-10
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,1.2603078580752936e-09
1895,0.0
1896,0.0
1897,5.826713556089658e-10
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,9.820567692386817e-10
1903,1.6200660812870638e-09
1904,1.0749250378694342e-09
1905,0.0
1906,0.0
1907,0.0
1908,4.911389073214423e-10
1909,1.1001967115120692e-09
1910,0.0
1911,0.0
1912,0.0
1913,5.30298971401777e-10
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,1.1486376294556067e-09
1919,0.0
1920,0.0
1921,0.0
1922,7.377935484775833e-10
1923,0.0
1924,0.0
1925,0.0
1926,3.343841648018042e-09
1927,0.0
1928,0.0
1929,1.1140406375176326e-09
1930,0.0
1931,0.0
1932,1.0959536611565568e-09
1933,1.1470662197865522e-09
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,1.2965214457594243e-09
1939,3.058810094103137e-09
1940,2.5357829169792012e-09
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,1.9634016634739737e-09
1950,0.0
1951,0.0
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,8.72114158667614e-10
1957,0.0
1958,2.4816730892496253e-09
1959,2.325224457422337e-09
1960,6.920833350854139e-10
1961,0.0
1962,6.341956404476434e-10
1963,1.939815863494232e-09
1964,0.0
1965,0.0
1966,0.0
1967,0.0
1968,4.4914158503495116e-10
1969,4.5417578031781147e-10
1970,9.197450023812337e-10
1971,0.0
1972,0.0
1973,5.513203782392395e-10
1974,0.0
1975,0.0
1976,0.0
1977,5.876781838942691e-10
1978,1.1881182704343018e-09
1979,5.851973350345929e-10
1980,5.685150683554241e-10
1981,6.325549528618524e-10
1982,0.0
1983,0.0
1984,5.799008495621649e-10
1985,0.0
1986,0.0
1987,0.0
1988,5.996553809062277e-10
1989,5.488122178931576e-10
1990,0.0
1991,0.0
1992,0.0
1993,1.1078414852150331e-09
1994,0.0
1995,0.0
1996,0.0
1997,0.0
1998,0.0
1999,0.0
2000,4.4180314962005696e-10
2001,4.3812117822561447e-10
2002,1.3143663935011318e-09
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,1.2772318758180745e-09
2009,1.907277002999308e-09
2010,9.447586046817946e-10
2011,1.911985902935953e-09
2012,1.7021263287730903e-09
2013,1.9523875849358774e-09
2014,1.7323561474213989e-09
2015,1.7732603163622684e-09
2016,2.0713399884186856e-09
2017,2.264050280587071e-09
2018,1.8070267504555204e-09
2019,1.7856913725466939e-09
