year,vos_DET hôtes_NOUN,vos_DET côtes_NOUN
1800,4.087413785214267e-08,1.8864987794131594e-08
1801,3.333655484993869e-08,3.809892135109294e-08
1802,2.4616241489638924e-08,4.923248297927785e-08
1803,5.851017448321727e-09,7.606323038089613e-08
1804,4.943701892301533e-09,4.696516775481996e-08
1805,3.4114531644036106e-08,5.685755510853596e-08
1806,2.5935023018064385e-08,9.221341201737232e-08
1807,0.0,9.679647394733593e-08
1808,1.3596443970698147e-08,5.211970011131939e-08
1809,4.969867006821005e-08,3.388545621874073e-08
1810,3.978215445954447e-08,4.44624070894406e-08
1811,1.7549536934780008e-08,3.008491944456182e-08
1812,5.3344164641089264e-09,1.3336041604361526e-08
1813,3.738464116054274e-08,5.176335093892703e-08
1814,5.664018942752591e-08,1.636272042304654e-07
1815,1.0788894222457657e-08,5.664169577812572e-08
1816,2.0858434979231788e-08,1.622322720606917e-08
1817,3.736496234640896e-08,9.029865566390072e-08
1818,4.887682791832049e-08,6.675859509641668e-08
1819,2.794783426907088e-08,4.45095160728215e-08
1820,1.898636980968149e-08,1.1629151686065597e-07
1821,3.4515210245444905e-08,1.1735171057125626e-07
1822,3.107940926838637e-08,7.819980396561732e-08
1823,4.348382143248841e-08,4.0519015698237126e-08
1824,4.547400767052068e-08,4.6316120716483056e-08
1825,2.2013607159365733e-08,4.57883047033647e-08
1826,6.165588928297439e-08,9.160303449107232e-08
1827,4.885154680778214e-08,4.7008093417844066e-08
1828,1.6510142586412258e-08,4.4027046897099353e-08
1829,2.8291481157793896e-08,3.1720752247110795e-08
1830,4.4878394334091354e-08,4.5922078584226256e-08
1831,4.2096257146795324e-08,6.392394169552063e-08
1832,4.464889968858188e-08,6.3590853471851e-08
1833,3.8225974052785716e-08,2.89590715851773e-08
1834,4.760610750054184e-08,3.733812548034621e-08
1835,8.31939672707449e-08,6.655517381659593e-08
1836,6.11588241161698e-08,5.0405625617866434e-08
1837,3.1310509740478665e-08,4.731365876864402e-08
1838,3.092959488526503e-08,7.32210807541378e-08
1839,4.194885150354821e-08,2.9364196407755117e-08
1840,5.6053259811505995e-08,6.879263736436769e-08
1841,3.2102742686390684e-08,2.760835826620678e-08
1842,4.427454891597904e-08,5.567860128508073e-08
1843,2.303695284533447e-08,4.016699423070591e-08
1844,3.2382512671347286e-08,2.7991662321369404e-08
1845,4.575786860527842e-08,4.9664027557128065e-08
1846,2.5759806732139623e-08,3.33706573485415e-08
1847,2.0494249852731627e-08,4.476375803363908e-08
1848,5.95346403287067e-08,3.378993085334514e-08
1849,5.781796375003978e-08,3.603148357456121e-08
1850,5.363306954109248e-08,3.4623880651452055e-08
1851,3.224719336003545e-08,6.255955753431408e-08
1852,1.953163697443472e-08,3.450589147746541e-08
1853,2.866527260003693e-08,4.896984151514516e-08
1854,2.9615287666651113e-08,6.702406807335137e-08
1855,4.404757802944914e-08,3.343370380548549e-08
1856,3.002769588533738e-08,4.2970672353703776e-08
1857,3.905207368593011e-08,2.9289054737091647e-08
1858,4.991549384936178e-08,3.327699715782728e-08
1859,5.0412516827691434e-08,4.379269213927728e-08
1860,6.545372696620255e-08,6.133426308507772e-08
1861,6.790987738813925e-08,8.677373336540839e-08
1862,7.002878987805161e-08,8.403454643257646e-08
1863,3.696019490462277e-08,1.1587520276634677e-07
1864,4.698833522276402e-08,9.157930236369793e-08
1865,5.459939478313913e-08,3.859612324186301e-08
1866,5.108893452732133e-08,3.454585240092456e-08
1867,5.677789260971622e-08,3.34843974769683e-08
1868,2.7663294099866675e-08,2.321740844024589e-08
1869,3.0766169611951e-08,2.2952539424636598e-08
1870,4.759260363584872e-08,3.669791226457164e-08
1871,2.6552942955504477e-08,1.0621177271019633e-09
1872,7.135860613516343e-08,2.7213026498884574e-08
1873,5.3874039451784483e-08,3.7711828326791874e-08
1874,6.392831969348478e-08,3.4652732239237594e-08
1875,3.032409523484603e-08,4.577221801582709e-08
1876,3.7485290205196975e-08,3.264847947548333e-08
1877,3.834586081996605e-08,1.9172929910382663e-08
1878,4.227361927178208e-08,2.113681046855831e-08
