year,apparences_NOUN égales_ADJ,apparences_NOUN légales_ADJ
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,2.2378401354217203e-09
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,1.152667650217154e-08
1807,2.8469551160981155e-09,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,1.0788894222457657e-08
1816,0.0,1.8540831092650478e-08
1817,0.0,3.113746771532533e-08
1818,0.0,3.5763532135746345e-09
1819,0.0,4.34744116262209e-08
1820,0.0,9.493184904840746e-09
1821,0.0,9.86148829262845e-10
1822,1.0025615893027862e-09,7.017931125119503e-09
1823,0.0,2.4706716672540097e-08
1824,0.0,8.421112696055388e-10
1825,0.0,2.641632912414593e-09
1826,0.0,7.0463874735082754e-09
1827,0.0,2.949527377893446e-08
1828,0.0,1.1923991571904935e-08
1829,0.0,2.5719527840806222e-08
1830,0.0,2.5048406016026092e-08
1831,0.0,7.795603274018958e-09
1832,0.0,2.705993873419743e-09
1833,0.0,2.3167257001688313e-09
1834,0.0,1.8669061851994684e-09
1835,0.0,1.5126175867408165e-09
1836,0.0,0.0
1837,4.174734336004349e-09,2.7831563720326358e-09
1838,0.0,0.0
1839,0.0,1.3982949909063791e-08
1840,0.0,1.4013314952876499e-08
1841,0.0,2.5682194149112547e-09
1842,0.0,4.024959032733477e-09
1843,0.0,1.1223130869097986e-08
1844,0.0,6.037417232818143e-09
1845,0.0,7.254296274794569e-09
1846,0.0,1.7563503984519002e-09
1847,0.0,7.550513103637968e-09
1848,0.0,0.0
1849,0.0,3.3517659758786067e-09
1850,0.0,2.0366988096043315e-09
1851,0.0,1.1608989325395669e-08
1852,0.0,9.114764054629632e-09
1853,0.0,8.360704129017904e-09
1854,0.0,3.117398783558656e-09
1855,0.0,2.1227748447927297e-09
1856,0.0,5.177189343896771e-09
1857,9.763018171682347e-10,1.0251168802710708e-08
1858,0.0,7.829881631948865e-09
1859,5.092173349652285e-10,3.055304009791371e-09
1860,4.577183909670879e-10,8.238931314963338e-09
1861,0.0,8.017138064531082e-09
1862,4.517986262886353e-10,3.162590411776023e-09
1863,0.0,1.39849385405455e-08
1864,0.0,4.794727948009836e-10
1865,0.0,8.943004559114343e-09
1866,0.0,1.897589108068587e-08
1867,0.0,2.426405742994575e-09
1868,0.0,1.4819622196071691e-09
1869,0.0,1.953407657850903e-09
1870,0.0,1.1468097582678638e-08
1871,0.0,2.2304472935275044e-08
1872,0.0,3.628403577593531e-09
1873,5.986004469882289e-10,1.0774807712721213e-08
1874,0.0,4.182226565063729e-09
1875,0.0,2.2886108563824337e-09
1876,0.0,6.650616057868319e-09
1877,0.0,1.8554447978047506e-09
1878,0.0,4.831270938865373e-09
1879,6.10932526790009e-10,7.331190321480108e-09
1880,0.0,1.0268554007097919e-08
1881,0.0,8.367009307619355e-09
1882,0.0,5.324308105514319e-09
1883,0.0,5.687405213450347e-09
1884,0.0,7.2618666635548834e-09
1885,0.0,2.5782542767416317e-09
1886,0.0,6.4534639854230136e-09
1887,2.6115698492645834e-09,3.264462256069578e-09
1888,3.1703073499755874e-09,6.974675947901687e-09
1889,1.2530273485467092e-09,1.2530273485467092e-09
1890,0.0,7.865263995654459e-09
1891,0.0,6.3742202627281586e-09
1892,0.0,5.014809900671935e-09
1893,6.158416554491453e-10,6.15841644346915e-09
1894,0.0,2.520615716150587e-09
1895,0.0,7.824199066419624e-09
1896,0.0,5.897029087265082e-09
1897,5.826713556089658e-10,1.7480140668268973e-09
1898,0.0,4.52668391659472e-09
1899,0.0,7.738609753005221e-09
1900,0.0,4.15284251431558e-09
1901,0.0,7.265360757457984e-09
1902,0.0,3.437198747846537e-09
1903,0.0,1.0800440541913758e-09
1904,0.0,5.374625189347171e-09
1905,5.160759042333041e-10,2.580379465655369e-09
1906,5.144184522798412e-10,1.594697174311932e-08
1907,1.5428529565042481e-09,6.685696440911215e-09
1908,1.964555629285769e-09,5.893666887857307e-09
1909,0.0,5.5009836685826485e-09
1910,0.0,1.0153886620400954e-08
1911,0.0,3.1922244847493175e-09
1912,0.0,5.2094213387476884e-09
1913,0.0,1.3787773589513108e-08
1914,0.0,4.018046340092951e-09
1915,0.0,0.0
1916,0.0,9.888715624128963e-09
1917,0.0,7.676496771580332e-09
1918,0.0,4.594550517822427e-09
1919,0.0,2.762354567309444e-09
1920,0.0,1.2115570768855832e-08
1921,0.0,0.0
1922,7.377935484775833e-10,0.0
1923,0.0,6.369568872344189e-09
1924,0.0,5.156649773851996e-09
1925,1.0998177923937646e-09,6.598906754362588e-09
1926,3.343841648018042e-09,4.458455382660986e-09
1927,0.0,2.2298449753321847e-09
1928,1.1426041224282812e-09,7.998228745975666e-09
1929,0.0,0.0
1930,2.100720708497761e-09,1.0503603542488804e-09
1931,3.4216069977333063e-09,4.5621426636444085e-09
1932,4.383814644626227e-09,8.767629289252454e-09
1933,0.0,9.176529758292418e-09
1934,0.0,3.5944740517379614e-09
1935,2.393656828303392e-09,3.590485242455088e-09
1936,0.0,3.6374143697059935e-09
1937,0.0,1.2591118148108649e-09
1938,0.0,7.779128452511941e-09
1939,7.647025235257843e-09,3.058810094103137e-09
1940,0.0,2.5357829169792012e-09
1941,0.0,5.9030051957620344e-09
1942,0.0,3.034211770724937e-09
1943,0.0,1.1612940831184915e-08
1944,0.0,6.4263723231761105e-09
1945,0.0,6.535512131478072e-09
1946,0.0,6.960552134671616e-09
1947,1.1920870957027319e-09,1.4305045148432782e-08
1948,0.0,1.0871887834440486e-09
1949,0.0,1.9634016634739737e-09
1950,0.0,6.381216888229346e-09
1951,0.0,1.8124383771578323e-08
1952,0.0,4.2179215675730575e-09
1953,0.0,9.69644453618912e-09
1954,0.0,7.818028890937967e-09
1955,0.0,4.6928039232341234e-09
1956,8.72114158667614e-10,7.849027205963921e-09
1957,0.0,1.4136060322300636e-08
1958,0.0,1.6544486669545222e-08
1959,0.0,9.300897829689347e-09
1960,6.920833350854139e-10,2.7683333403416555e-09
1961,6.948159270159238e-10,8.33779090214648e-09
1962,2.5367825617905737e-09,6.341956293454132e-09
1963,1.939815863494232e-09,6.466053470433053e-09
1964,0.0,3.041984220075733e-09
1965,0.0,1.0944086747954884e-09
1966,0.0,2.769537488234164e-09
1967,0.0,9.367637332502454e-09
1968,4.4914158503495116e-10,3.5931326802796093e-09
1969,0.0,6.8126366770115965e-09
1970,9.197450023812337e-10,4.5987250119061684e-10
1971,0.0,5.652237344833111e-09
1972,5.130146862875051e-10,4.6171320100540925e-09
1973,0.0,4.410563025913916e-09
1974,0.0,5.06301445213353e-09
1975,0.0,3.4268881066168433e-09
1976,5.713526873840635e-10,4.570821499072508e-09
1977,0.0,6.464460078348111e-09
1978,0.0,5.940591352171509e-10
1979,0.0,2.3407893401383717e-09
1980,5.685150683554241e-10,2.8425752862659692e-09
1981,0.0,4.427884725544118e-09
1982,6.207502289967692e-10,4.345251713999687e-09
1983,0.0,3.157658134966823e-09
1984,1.739702604197646e-09,8.69851302098823e-09
1985,1.8046674155058895e-09,2.4062232206745193e-09
1986,5.994485463567401e-10,2.997242676272549e-09
1987,0.0,3.6664902225425067e-09
1988,0.0,1.798966087207532e-09
1989,0.0,7.134558721588746e-09
1990,1.6345953479657283e-09,1.6345953479657283e-09
1991,0.0,6.4476117778156095e-09
1992,0.0,6.61193322315512e-09
1993,0.0,2.2156829704300662e-09
1994,1.0549853213248639e-09,3.6924485691258724e-09
1995,1.0844901643380922e-09,4.880205572987961e-09
1996,0.0,4.270473752399084e-09
1997,4.79489448146353e-10,4.315404922294874e-09
1998,0.0,1.43043876743576e-09
1999,0.0,3.1991407301035224e-09
2000,0.0,1.3254094488601709e-09
2001,0.0,2.6287270138425356e-09
2002,4.38122149670761e-10,5.257465574004527e-09
2003,0.0,3.7502307925763034e-09
2004,4.404791253964646e-10,2.642874807889939e-09
2005,0.0,5.854874363109275e-09
2006,0.0,1.6471559671771274e-09
2007,0.0,2.7961355453243186e-09
2008,0.0,3.8316958494988285e-09
2009,0.0,1.907277002999308e-09
2010,0.0,6.140930874920514e-09
2011,0.0,3.82397197240536e-10
2012,0.0,1.0212758416727752e-09
2013,0.0,5.020424964641279e-09
2014,0.0,4.980523993225461e-09
2015,0.0,3.103205470367243e-09
2016,0.0,2.278474076078396e-09
2017,2.515611330355938e-10,1.7609279590047322e-09
2018,0.0,1.8070267504555204e-09
2019,0.0,7.65296326310505e-10
