year,champs_NOUN égaux_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,1.581321384946932e-08
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,1.035105001712111e-09
1820,0.0
1821,0.0
1822,3.0076847679083585e-09
1823,1.680056804787e-08
1824,0.0
1825,8.805443041381977e-10
1826,0.0
1827,9.217273055917019e-10
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,9.334530925997342e-10
1835,0.0
1836,6.720750067579218e-10
1837,0.0
1838,3.1560809521380406e-09
1839,6.9914751765765e-10
1840,4.458782232319436e-09
1841,3.2102742686390684e-09
1842,2.683306021822318e-09
1843,1.7720733769266417e-09
1844,2.195424508855126e-09
1845,7.254296274794569e-09
1846,0.0
1847,1.6179670936367074e-09
1848,0.0
1849,0.0
1850,0.0
1851,5.8044946626978344e-09
1852,1.3021090872200602e-09
1853,0.0
1854,5.195664454227256e-10
1855,5.306937111981824e-10
1856,0.0
1857,9.763018171682347e-10
1858,4.893676019968041e-10
1859,0.0
1860,0.0
1861,3.3011746669586728e-09
1862,0.0
1863,4.994620828036034e-10
1864,9.589455896019672e-10
1865,2.3534221238463715e-09
1866,3.4059290943133647e-09
1867,9.7056229719783e-10
1868,2.4699371437009177e-09
1869,5.371870948067681e-09
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,3.02300739996042e-09
1877,1.8554447978047506e-09
1878,6.039088673581716e-10
1879,3.665595160740054e-09
1880,1.6044616302224313e-08
1881,0.0
1882,0.0
1883,6.319338941018771e-10
1884,1.9805090900604227e-09
1885,1.2891271383708158e-09
1886,1.2906927748801422e-09
1887,0.0
1888,1.3315291091942072e-08
1889,0.0
1890,6.554386478008212e-10
1891,2.5496880162734215e-09
1892,3.761107425503951e-09
1893,6.15841644346915e-09
1894,3.780923574225881e-09
1895,2.4074457982692365e-09
1896,4.717623180994224e-09
1897,1.7480140668268973e-09
1898,3.960848538042683e-09
1899,4.4220627160029835e-09
1900,1.142031713641245e-08
1901,1.0618603774048552e-08
1902,1.0311596021495006e-08
1903,2.970121215639665e-08
1904,1.4511488011237361e-08
1905,4.64468330463319e-09
1906,1.2860461140462576e-08
1907,1.2342823652033985e-08
1908,4.4202499438483756e-09
1909,7.701377313651392e-09
1910,8.01622590529405e-09
1911,1.1172785363555704e-08
1912,5.2094213387476884e-09
1913,1.590896836489719e-08
1914,4.018046340092951e-09
1915,0.0
1916,1.2086208478478966e-08
1917,1.973956464951243e-08
1918,1.1486376294556067e-09
1919,1.8415697411455767e-08
1920,7.572231730534895e-09
1921,1.2116395886607734e-08
1922,7.377935484775833e-10
1923,0.0
1924,1.289162443462999e-09
1925,1.0998177923937646e-09
1926,5.57306911730393e-09
1927,5.574612327308159e-09
1928,9.14083297942625e-09
1929,2.2280812750352652e-09
1930,3.1510811737689437e-09
1931,7.983749661377715e-09
1932,1.0959536611565568e-09
1933,5.735331320977366e-09
1934,3.5944740517379614e-09
1935,3.590485242455088e-09
1936,2.424942913137329e-09
1937,7.554670666820584e-09
1938,1.2965214457594243e-09
1939,4.588215141154706e-09
1940,1.2678914806940611e-08
1941,0.0
1942,3.034211770724937e-09
1943,1.1612940831184915e-08
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,4.1763312808029696e-09
1947,1.7881307101674793e-08
1948,1.0871887834440486e-09
1949,7.853606653895895e-09
1950,7.444753258312176e-09
1951,4.264560704569931e-09
1952,1.0544804140977249e-08
1953,7.54167928107563e-09
1954,2.9317608341017376e-09
1955,1.1262729415761896e-08
1956,3.488456634670456e-09
1957,2.6505113659425206e-09
1958,8.272243445794913e-10
1959,6.200598257066758e-09
1960,5.536666680683311e-09
1961,4.86371165564492e-09
1962,3.170978146727066e-09
1963,6.466053470433053e-09
1964,7.300761772910391e-09
1965,3.830430195250756e-09
1966,6.092982118843793e-09
1967,2.9582012395223956e-09
1968,1.3474247273492779e-09
1969,3.1792304344691047e-09
1970,4.1388523719376735e-09
1971,1.0276794970565106e-09
1972,6.669190977248718e-09
1973,2.7566018356850464e-09
1974,1.6876715580593782e-09
1975,2.2845920710778955e-09
1976,1.142705374768127e-09
1977,0.0
1978,5.940591352171509e-10
1979,1.7555920051037788e-09
1980,1.1370301367108482e-09
1981,1.8976649140967083e-09
1982,1.8622506869903077e-09
1983,6.315316047889041e-10
1984,1.739702604197646e-09
1985,6.015558051686298e-10
1986,5.994485463567401e-10
1987,6.110816852533674e-10
1988,5.996553809062277e-10
1989,5.488122178931576e-10
1990,4.90378582185258e-09
1991,4.68917216167597e-09
1992,3.856960972825618e-09
1993,5.539207426075166e-10
1994,1.0549853213248639e-09
1995,0.0
1996,1.067618438099771e-09
1997,4.79489448146353e-10
1998,0.0
1999,1.8280804647829996e-09
2000,8.836062992401139e-10
2001,1.3143635069212678e-09
2002,8.76244299341522e-10
2003,0.0
2004,4.404791253964646e-10
2005,0.0
2006,4.1178899179428186e-10
2007,0.0
2008,4.257439678578834e-10
2009,0.0
2010,0.0
2011,3.82397197240536e-10
2012,6.808505426114664e-10
2013,8.367375126105969e-10
2014,1.9489005964601347e-09
2015,2.2165753954528356e-10
2016,6.214020409345267e-10
2017,2.515611330355938e-10
2018,5.162933414126769e-10
2019,2.55098775436835e-10
