year,décharges_NOUN égales_ADJ,décharges_NOUN légales_ADJ
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,2.842877711017877e-09
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,0.0
1817,0.0,0.0
1818,5.960588467246453e-09,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,1.97229765852569e-09
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,0.0
1826,5.284790383086602e-09,0.0
1827,3.2260455640198415e-08,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,6.534171426153534e-09,0.0
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,6.957890930081589e-10
1838,0.0,6.312161904276081e-10
1839,0.0,0.0
1840,0.0,0.0
1841,5.778493683550323e-09,0.0
1842,0.0,0.0
1843,0.0,0.0
1844,0.0,0.0
1845,1.1160455892778032e-09,0.0
1846,1.6392604607062822e-08,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,0.0
1851,0.0,0.0
1852,0.0,0.0
1853,9.555090940693844e-09,0.0
1854,4.1565315633818045e-09,0.0
1855,0.0,0.0
1856,0.0,0.0
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,0.0
1860,0.0,0.0
1861,0.0,4.715963730639317e-10
1862,0.0,0.0
1863,0.0,0.0
1864,0.0,0.0
1865,0.0,4.706844358715045e-10
1866,0.0,0.0
1867,4.85281148598915e-10,0.0
1868,4.93987406535723e-10,0.0
1869,1.4650557433881772e-09,0.0
1870,0.0,0.0
1871,0.0,0.0
1872,1.3908880269752899e-08,0.0
1873,0.0,0.0
1874,5.974609140757536e-10,0.0
1875,0.0,0.0
1876,0.0,0.0
1877,5.566334504436554e-09,0.0
1878,0.0,0.0
1879,0.0,0.0
1880,0.0,0.0
1881,2.7890030285249168e-09,0.0
1882,1.9966155395678697e-09,6.655385131892899e-10
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,1.2906927748801422e-09,0.0
1887,0.0,0.0
1888,6.340614699951175e-10,0.0
1889,0.0,0.0
1890,2.6217545912032847e-09,0.0
1891,3.824531802365527e-09,0.0
1892,0.0,0.0
1893,6.158416554491453e-10,0.0
1894,0.0,0.0
1895,0.0,0.0
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,0.0
1899,0.0,0.0
1900,5.191053142894475e-10,0.0
1901,2.794369402536745e-09,0.0
1902,0.0,0.0
1903,3.2401321625741275e-09,0.0
1904,3.2247751136083025e-09,0.0
1905,1.0321518084666081e-09,0.0
1906,0.0,0.0
1907,1.028568674676933e-09,0.0
1908,0.0,0.0
1909,0.0,0.0
1910,0.0,0.0
1911,1.0640748282497725e-09,0.0
1912,0.0,0.0
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,6.592477230782379e-09,0.0
1917,0.0,0.0
1918,0.0,0.0
1919,9.207848372660976e-10,0.0
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,0.0,0.0
1924,0.0,0.0
1925,1.0998177923937646e-09,0.0
1926,0.0,0.0
1927,0.0,0.0
1928,0.0,0.0
1929,0.0,0.0
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,0.0
1933,0.0,0.0
1934,0.0,0.0
1935,0.0,0.0
1936,0.0,0.0
1937,0.0,0.0
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,0.0,0.0
1947,0.0,0.0
1948,0.0,0.0
1949,0.0,0.0
1950,0.0,0.0
1951,0.0,0.0
1952,0.0,0.0
1953,0.0,1.3682760879873967e-07
1954,9.772536113672459e-10,6.547599440409613e-08
1955,0.0,1.2858282172345525e-07
1956,0.0,1.159911846571049e-07
1957,0.0,1.1750600492632657e-07
1958,0.0,1.0009414808109796e-07
1959,0.0,8.990867428337879e-08
1960,0.0,8.097374859517004e-08
1961,0.0,7.434530147065743e-08
1962,0.0,7.293249526529877e-08
1963,0.0,8.276548157937214e-08
1964,0.0,6.08396817369794e-08
1965,0.0,4.9248392031131516e-08
1966,0.0,3.378835700118543e-08
1967,0.0,3.5991448044114804e-08
1968,0.0,2.6948494991074767e-08
1969,0.0,3.088395317263348e-08
1970,0.0,3.0351586133292585e-08
1971,0.0,3.288574390580834e-08
1972,0.0,3.283293992240033e-08
1973,0.0,3.638714496378981e-08
1974,0.0,3.7691329168865195e-08
1975,0.0,3.940921455836133e-08
1976,0.0,0.0
1977,0.0,0.0
1978,0.0,0.0
1979,0.0,0.0
1980,0.0,5.685150683554241e-10
1981,0.0,0.0
1982,0.0,0.0
1983,6.315316047889041e-10,1.89459470334441e-09
1984,0.0,0.0
1985,0.0,0.0
1986,0.0,1.1988970927134801e-09
1987,0.0,0.0
1988,0.0,1.798966087207532e-09
1989,0.0,0.0
1990,0.0,0.0
1991,0.0,0.0
1992,0.0,2.7549720282848966e-09
1993,0.0,2.2156829704300662e-09
1994,0.0,0.0
1995,0.0,0.0
1996,0.0,0.0
1997,0.0,1.438468344439059e-09
1998,0.0,0.0
1999,0.0,1.3710603763428253e-09
2000,0.0,4.4180314962005696e-10
2001,0.0,0.0
2002,0.0,0.0
2003,0.0,1.2500769308587678e-09
2004,0.0,4.404791253964646e-10
2005,0.0,4.5037495954858286e-10
2006,0.0,0.0
2007,0.0,1.1983438685803094e-09
2008,0.0,0.0
2009,0.0,9.53638501499654e-10
2010,0.0,3.7790344187271785e-09
2011,0.0,0.0
2012,0.0,3.404252713057332e-10
2013,0.0,5.578250084070646e-10
2014,0.0,2.1654451842767486e-10
2015,0.0,0.0
2016,0.0,0.0
2017,0.0,5.031222660711876e-10
2018,0.0,5.162933414126769e-10
2019,0.0,5.1019755087367e-10
