year,moins_ADV égale_ADJ,moins_ADV egale_ADJ,moins_ADV légale_ADJ
1800,5.187871465750504e-07,3.144164484325529e-09,3.144164484325529e-09
1801,5.262413651507813e-07,0.0,1.1905912700171939e-08
1802,8.481414397465414e-07,4.475680270843441e-09,0.0
1803,4.797834662895184e-07,1.950339223455444e-09,0.0
1804,5.759412715633516e-07,0.0,0.0
1805,5.742613211623393e-07,0.0,1.7057265822018053e-08
1806,6.483755328190455e-07,0.0,1.729001475325731e-08
1807,6.291770660027396e-07,2.8469551160981155e-09,2.562259560079383e-08
1808,6.073078111512586e-07,2.2660739951163578e-09,2.4926814390369145e-08
1809,7.590342647745274e-07,4.518061036407062e-09,0.0
1810,5.218482783675427e-07,0.0,2.3401267590372754e-09
1811,5.766276558460959e-07,0.0,7.521229861140455e-09
1812,4.40089365838503e-07,0.0,1.3336041604361526e-08
1813,5.722725973100751e-07,1.1502966579257645e-08,3.4508900625951355e-08
1814,4.5626819655808504e-07,0.0,2.2026739543434815e-08
1815,5.043808073423861e-07,2.1577788444915313e-08,2.4275012222574333e-08
1816,7.995733426469087e-07,2.3176038865813098e-09,6.952811659743929e-09
1817,6.429887093872821e-07,4.670620334934483e-09,1.8682481339737933e-08
1818,6.091721616030554e-07,1.1921177378582115e-09,5.960588467246453e-09
1819,5.289386422191455e-07,1.035105001712111e-09,3.9333990287104825e-08
1820,4.74659259452892e-07,0.0,3.5599443393152796e-09
1821,4.822267669624125e-07,0.0,2.070912508145284e-08
1822,5.153166284799227e-07,2.0051231786055723e-09,2.4061478143266868e-08
1823,4.822751407118631e-07,1.9765373782121287e-09,1.2847492847356534e-08
1824,4.5052954078528273e-07,0.0,1.1789557774477544e-08
1825,4.6052466018409177e-07,8.805443041381977e-10,2.201360693732113e-08
1826,4.844391128244752e-07,3.5231937367541377e-09,2.4662355713189754e-08
1827,4.470377348297916e-07,1.8434546111834038e-09,1.013900075008678e-08
1828,6.172958819661289e-07,0.0,1.3758452155343548e-08
