year,offres_NOUN égales_ADJ,offres_NOUN légales_ADJ
1800,0.0,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,3.5805442166747525e-08
1803,0.0,0.0
1804,2.4718509461507665e-09,0.0
1805,0.0,0.0
1806,2.5935023018064385e-08,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,4.680253518074551e-09,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,2.8757416448144113e-09,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,1.6183340889597275e-08
1816,9.270415546325239e-09,0.0
1817,9.341240669868967e-09,4.670620334934483e-09
1818,0.0,0.0
1819,0.0,0.0
1820,2.3732962262101864e-09,3.5599443393152796e-09
1821,2.9584463767662328e-09,0.0
1822,1.0025615893027862e-09,1.0025615893027862e-08
1823,3.9530747564242574e-09,2.8659792761231984e-08
1824,3.3684450784221553e-09,2.5263338088166165e-09
1825,8.805443041381977e-10,0.0
1826,8.807984341885344e-10,8.807984341885344e-10
1827,0.0,0.0
1828,0.0,0.0
1829,1.2859763920403111e-08,8.57317605795771e-10
1830,0.0,0.0
1831,0.0,2.182768810143898e-08
1832,2.705993873419743e-09,0.0
1833,3.4750886612755494e-09,0.0
1834,4.667265685043276e-09,0.0
1835,9.832014313815307e-09,0.0
1836,6.72075017860152e-09,0.0
1837,6.957890930081589e-10,0.0
1838,6.312161904276081e-10,6.312161904276081e-10
1839,1.3982950353153e-09,6.9914751765765e-10
1840,0.0,0.0
1841,3.2102742686390684e-09,1.2841097074556274e-09
1842,5.366612043644636e-09,5.366612043644636e-09
1843,5.31621990873532e-09,1.594865928211675e-08
1844,7.1351298203126134e-09,0.0
1845,2.7901139176833567e-09,0.0
1846,2.9272506640865004e-09,2.3418005312692003e-09
1847,1.6179670936367074e-09,7.550513103637968e-09
1848,4.82713291560799e-09,0.0
1849,8.379414495607307e-09,0.0
1850,0.0,0.0
1851,9.674158363282004e-09,0.0
1852,2.6042181744401205e-09,0.0
1853,1.1943863675867306e-09,4.180352064508952e-09
1854,5.195664454227256e-10,0.0
1855,2.1227748447927297e-09,6.368324534378189e-09
1856,5.177189232874468e-10,0.0
1857,2.4407544874094356e-09,4.881509085841174e-10
1858,4.893676019968041e-10,0.0
1859,2.5460866748261424e-09,6.619825576592575e-09
1860,3.204028820036342e-09,0.0
1861,4.715963730639317e-10,0.0
1862,3.6143890103090826e-09,0.0
1863,0.0,9.989241656072068e-10
1864,4.794727948009836e-10,0.0
1865,3.294791106611683e-09,9.41368871743009e-10
1866,0.0,0.0
1867,9.7056229719783e-10,1.94112459439566e-09
1868,0.0,4.939874176379533e-09
1869,9.767038289254515e-10,8.790334682373668e-09
1870,1.7202146374017957e-09,6.307453670473251e-09
1871,0.0,4.248470908407853e-09
1872,6.047339295989218e-10,6.047339295989218e-10
1873,1.1972008939764578e-09,5.387403856360606e-09
1874,5.974609140757536e-10,0.0
1875,1.1443054281912168e-09,1.1443054281912168e-09
1876,6.04601479992084e-10,0.0
1877,0.0,1.2369631985365004e-09
1878,6.039088673581716e-10,4.22736201599605e-09
1879,6.10932526790009e-10,8.553055375060126e-09
1880,1.2835692508872398e-09,5.134277003548959e-09
1881,2.091752326904839e-09,4.183504653809678e-09
1882,1.3310770263785798e-09,9.317538740560849e-09
1883,1.1374810426900694e-08,1.0742875922176154e-08
1884,3.9610181801208455e-09,1.9805090900604227e-09
1885,0.0,1.2891271383708158e-09
1886,1.2261581083805595e-08,7.744156427236248e-09
1887,1.1752064210668323e-08,5.223139754040318e-09
1888,0.0,1.268122939990235e-09
1889,1.0024218788373673e-08,5.6386229019267375e-09
1890,7.209825181320184e-09,1.3108772956016423e-09
1891,6.3742202627281586e-09,4.461953806433883e-09
1892,2.5074049503359674e-09,1.1283321832422644e-08
1893,7.390100087434348e-09,1.23168328869383e-08
1894,4.411077725308132e-09,5.671385139294216e-09
1895,2.2268872967856623e-08,6.018614495673091e-09
1896,1.0614652268259306e-08,1.179405795248556e-09
1897,1.4566784223291052e-08,8.740070223112184e-09
1898,1.3580051749784161e-08,2.26334195829736e-09
1899,1.879376654301268e-08,3.814029270188257e-08
1900,3.633737311048435e-09,1.7649580130729703e-08
1901,4.470991132876634e-09,1.3412973842719111e-08
1902,8.838511256215043e-09,2.7497590426861507e-08
1903,5.940242076007962e-09,9.720396709766987e-09
1904,3.7622376325430196e-09,7.524475265086039e-09
1905,2.580379465655369e-09,1.8062657147766004e-08
1906,3.0865106026567446e-09,7.201858220895474e-09
1907,5.142843484406967e-09,1.6457098794830927e-08
1908,6.875944702500192e-09,1.1787334219803824e-08
1909,1.6502950117569526e-09,3.850688656825696e-09
1910,2.67207544979442e-09,9.085056262847502e-09
1911,1.1172785363555704e-08,3.7242617878519013e-09
1912,4.688478938419394e-09,2.6047106693738442e-09
1913,5.30298971401777e-10,7.954484682048957e-09
1914,2.678697486047099e-09,1.339348720819089e-08
1915,0.0,1.8849219074468238e-08
1916,7.69122365795738e-09,2.5271162940043723e-08
1917,6.57985488317081e-09,1.2063067211798284e-08
1918,5.743188147278033e-09,3.790504177203502e-08
1919,9.207848372660976e-10,2.7623545340027533e-08
1920,9.086678076641874e-09,1.8930579770426448e-08
1921,3.7863738810983705e-09,1.0601846123226011e-08
1922,3.6889677978990676e-09,1.770704560755121e-08
1923,4.246379248229459e-09,2.7601466001669905e-08
1924,0.0,0.0
1925,4.399271169575059e-09,1.0998177923937646e-09
1926,5.57306911730393e-09,1.1146138456652466e-09
1927,3.3447675740205796e-09,4.459690061686672e-09
1928,3.4278122562625413e-09,1.1426041002238208e-08
1929,1.1140406375176326e-09,2.2280812750352652e-09
1930,4.201441416995522e-09,7.352522701786768e-09
1931,5.7026783295555106e-09,1.0264820993199919e-08
1932,9.863582839386709e-09,4.383814644626227e-09
1933,0.0,4.588264879146209e-09
1934,1.1981580172459871e-09,7.188948103475923e-09
1935,1.196828414151696e-09,1.196828414151696e-09
1936,6.0623572828433225e-09,2.424942913137329e-09
1937,3.777335333410292e-09,1.2591118148108649e-09
1938,1.2965214457594243e-09,1.2965214457594243e-09
1939,0.0,3.058810094103137e-09
1940,0.0,5.0715658339584024e-09
1941,2.9515025978810172e-09,5.9030051957620344e-09
1942,3.034211770724937e-09,1.5171058853624686e-08
1943,0.0,2.9032352077962287e-09
1944,3.2131861615880553e-09,0.0
1945,0.0,4.357008087652048e-09
1946,0.0,6.960552134671616e-09
1947,1.1920870957027319e-09,2.3841741914054637e-09
1948,2.174377566888097e-09,2.174377566888097e-09
1949,1.9634016634739737e-09,1.9634016634739737e-09
1950,4.2541445921528975e-09,9.571825110299415e-09
1951,1.0661401761424827e-09,0.0
1952,8.435843135146115e-09,5.272402070488624e-09
1953,1.0773827385790469e-09,5.386913581872932e-09
1954,9.772536113672459e-10,9.772536113672459e-10
1955,9.385607846468247e-10,6.569925492527773e-09
1956,2.616342476002842e-09,4.36057079333807e-09
1957,1.7670075402875796e-09,5.3010225653515874e-09
1958,5.790570245522986e-09,1.6544486891589827e-09
1959,2.325224457422337e-09,1.5501495642666896e-09
1960,3.460416619915918e-09,2.7683333403416555e-09
1961,0.0,4.8637115446226176e-09
1962,1.1415521861124489e-08,6.341956404476434e-10
1963,6.466053248388448e-10,1.939815863494232e-09
1964,1.1559539991878864e-08,1.2167936658258327e-09
1965,5.472043373977442e-10,1.0944086747954884e-09
1966,0.0,3.8773522170743036e-09
1967,2.9582012395223956e-09,3.944268467392931e-09
1968,4.4914158503495116e-10,2.6948494546985557e-09
1969,0.0,4.5417578031781147e-10
1970,1.8394900047624674e-09,4.5987250119061684e-10
1971,1.0276794970565106e-09,2.569198631618974e-09
1972,5.130146862875051e-10,5.130146862875051e-10
1973,4.410563025913916e-09,5.513203782392395e-10
1974,0.0,3.937900228123681e-09
1975,1.7134440533084216e-09,1.1422960355389478e-09
1976,1.142705374768127e-09,1.142705374768127e-09
1977,0.0,2.3507127355770763e-09
1978,0.0,1.1881182704343018e-09
1979,1.7555920051037788e-09,5.851973350345929e-10
1980,5.685150683554241e-10,6.253665585376211e-09
1981,6.325549528618524e-10,1.2651099057237047e-09
1982,6.207502289967692e-10,1.8622506869903077e-09
1983,6.315316047889041e-10,3.157658134966823e-09
1984,1.1598016991243298e-09,1.739702604197646e-09
1985,1.8046674155058895e-09,1.2031116103372597e-09
1986,6.593933843390687e-09,4.196139880008332e-09
1987,0.0,1.8332451112712533e-09
1988,2.99827696004229e-09,1.798966087207532e-09
1989,2.7440609784434855e-09,5.488122178931576e-10
1990,1.089730194969718e-09,5.44865097484859e-10
1991,0.0,5.861465202094962e-10
1992,5.509944167592096e-10,1.65298330578878e-09
1993,3.323524566667402e-09,5.539207426075166e-10
1994,5.274926606624319e-10,5.274926606624319e-10
1995,1.0844901643380922e-09,1.0844901643380922e-09
1996,0.0,2.6690460952494277e-09
1997,0.0,9.58978896292706e-10
1998,1.43043876743576e-09,9.536258449571733e-10
1999,0.0,9.140402323914998e-10
2000,2.6508188977203417e-09,4.4180314962005696e-10
2001,6.571817756650944e-09,0.0
2002,3.504977197366088e-09,0.0
2003,3.333538334260311e-09,1.2500769308587678e-09
2004,1.3214374039449694e-09,2.2023955992267474e-09
2005,1.8014998381943315e-09,2.251874686720612e-09
2006,0.0,5.353256948836815e-09
2007,0.0,1.3181781888249589e-08
2008,8.514879357157668e-10,7.663391698997657e-09
2009,0.0,2.098004614481397e-08
2010,0.0,9.919965293647692e-09
2011,0.0,4.971163480860241e-09
2012,0.0,6.468080293586809e-09
2013,0.0,7.80955033974351e-09
2014,4.330890368553497e-10,4.980523993225461e-09
2015,2.2165753954528356e-10,5.763096222466402e-09
2016,1.0356699942093428e-09,6.628288140575478e-09
2017,0.0,2.0124890642847504e-09
2018,0.0,2.323319980845895e-09
2019,2.55098775436835e-10,1.53059265262101e-09
