year,plus_ADV égale_ADJ,plus_ADV egale_ADJ,plus_ADV légale_ADJ
1800,9.809792800297146e-07,6.288328968651058e-09,3.144164395507687e-08
1801,8.04839714874106e-07,9.524730337773235e-09,4.7623650800687756e-08
1802,9.421306685908348e-07,2.2378401354217203e-09,5.818384352096473e-08
1803,7.840363878131029e-07,1.1702034896643454e-08,5.851017448321727e-09
1804,8.849226560414536e-07,2.4718509461507665e-09,3.460591457837836e-08
1805,7.078765520418528e-07,5.685755422035754e-09,1.421438877713399e-08
1806,6.771922471671132e-07,0.0,4.610670600868616e-08
1807,1.0448325156175997e-06,2.8469551160981155e-09,5.97860605466849e-08
1808,7.636669465682644e-07,0.0,9.064295625194063e-08
1809,9.420157311978983e-07,1.3554183553310395e-08,9.03612189517844e-08
1810,5.873718009752338e-07,2.3401267590372754e-09,2.3401266702194334e-08
1811,5.139507379681163e-07,5.0141535368197765e-09,1.2535384286138651e-08
1812,6.881397212055163e-07,2.6672082320544632e-09,2.400487453257938e-08
1813,8.080834277279791e-07,2.8757416448144113e-09,3.4508900625951355e-08
1814,7.583491878904169e-07,6.293354282149721e-09,1.1642705288750221e-07
1815,7.255531500049983e-07,0.0,8.631115377966125e-08
1816,9.757112593433703e-07,6.952811659743929e-09,1.8540831092650478e-08
1817,6.990361498537823e-07,0.0,6.538868291272593e-08
1818,6.485120707111491e-07,7.152706427149269e-09,5.364529798157491e-08
1819,6.365895615090267e-07,1.035105001712111e-09,1.0558071039667993e-07
1820,7.428417347909999e-07,7.119888678630559e-09,1.4714436247231788e-07
1821,6.28176792361046e-07,4.930744257336528e-09,6.01550809165019e-08
1822,6.35624019196257e-07,2.0051231786055723e-09,4.110502516141423e-08
1823,6.996942261139338e-07,1.9765373782121287e-09,8.004976592701496e-08
1824,6.551625801876071e-07,0.0,5.052667617633233e-08
1825,6.278281148297538e-07,8.805443041381977e-10,6.868245350233337e-08
1826,5.55783799427445e-07,2.642395191543301e-09,9.776862697208344e-08
1827,6.756260972906603e-07,2.7651818612639545e-09,9.8624823863247e-08
1828,5.686826511919207e-07,1.8344602503717056e-09,9.080578422526742e-08
1829,5.872625479241833e-07,4.286587973467704e-09,1.0287811136322489e-07
1830,7.566706017314573e-07,2.0873671680021744e-09,7.931995327226105e-08
1831,5.644016596306756e-07,1.5591206103948707e-09,1.2317052267007966e-07
1832,5.614937208520132e-07,0.0,5.953186388296672e-08
1833,6.486831694019202e-07,0.0,3.4750886612755494e-08
1834,6.226131858966255e-07,9.334530925997342e-10,9.147840529522e-08
1835,6.405935550901631e-07,7.563087933704082e-10,5.3697924329298985e-08
1836,6.062116426619468e-07,2.016224964762614e-09,4.2340726480460944e-08
1837,5.886375902264263e-07,2.0873671680021744e-09,1.7394727436226276e-08
1838,5.276967272038746e-07,0.0,3.408567295082321e-08
1839,6.746773806298734e-07,0.0,8.529599426765344e-08
1840,6.15311932961049e-07,6.369688665408546e-10,9.299745329371945e-08
1841,5.476728119901964e-07,5.778493683550323e-09,5.457466301095337e-08
1842,4.346955790879292e-07,0.0,5.769107858100142e-08
1843,4.855480710830307e-07,1.1813822142769936e-09,6.14318764746713e-08
1844,6.756418997611036e-07,2.195424508855126e-09,6.53138769735051e-08
1845,5.764375714534253e-07,7.254296274794569e-09,7.086889297625021e-08
1846,4.99974419199134e-07,2.3418005312692003e-09,7.552306868774394e-08
1847,6.844001063655014e-07,0.0,8.197699941092651e-08
1848,5.945418593000795e-07,0.0,7.642960753173611e-08
1849,6.075075589251355e-07,0.0,5.1952373070207614e-08
1850,5.329362124939507e-07,1.3577992064028876e-09,3.394497838371535e-08
1851,5.456225267153059e-07,0.0,6.255955753431408e-08
1852,5.488389547281258e-07,0.0,2.9948509450150596e-08
1853,5.822633397656318e-07,1.1943863675867306e-09,2.6873692604567623e-08
1854,5.533382818612154e-07,3.117398783558656e-09,6.962190468584595e-08
1855,4.776243258675095e-07,5.306937111981824e-10,3.6087172361476405e-08
1856,4.4782686359212676e-07,5.177189232874468e-10,4.40061072026765e-08
1857,4.388476781969075e-07,4.881509085841174e-10,3.026535466688074e-08
1858,4.6538858100575453e-07,0.0,3.963877404089544e-08
