year,préceptes_NOUN légaux_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,3.2187177367859476e-08
1819,3.1053151161586356e-09
1820,1.0679833017945839e-08
1821,0.0
1822,3.0076847679083585e-09
1823,0.0
1824,0.0
1825,8.805443041381977e-10
1826,0.0
1827,0.0
1828,2.7516904310687096e-09
1829,3.429270423183084e-09
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,3.1560809521380406e-09
1839,6.9914751765765e-10
1840,0.0
1841,1.926164561183441e-09
1842,0.0
1843,0.0
1844,0.0
1845,5.580227946389016e-10
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,6.788996032014438e-10
1851,6.449438760824933e-10
1852,6.510545436100301e-10
1853,5.971931837933653e-10
1854,0.0
1855,6.8990182455763716e-09
1856,4.659470143053568e-09
1857,3.4170564155999728e-09
1858,3.4255731584664773e-09
1859,4.073738679721828e-09
1860,9.15436793036406e-09
1861,2.8295783494058924e-09
1862,4.9697850279528666e-09
1863,4.994620717013731e-09
1864,2.8768367688059016e-09
1865,7.0602665935837194e-09
1866,0.0
1867,0.0
1868,1.2843672791973404e-08
1869,5.860222973552709e-09
1870,3.4404292748035914e-09
1871,8.496941816815706e-09
1872,7.256807155187062e-09
1873,5.986004469882289e-10
1874,2.9873046258899194e-09
1875,5.721527251978387e-09
1876,6.04601479992084e-10
1877,6.184815992682502e-10
1878,8.4547240319921e-09
1879,1.1607718342077078e-08
1880,7.701415505323439e-09
1881,1.3945015142624584e-09
1882,3.9932310791357395e-09
1883,1.8958017378167824e-09
1884,1.3203393933736152e-09
1885,5.156508553483263e-09
1886,1.355227396970804e-08
1887,0.0
1888,0.0
1889,6.265136742733546e-10
1890,6.554386478008212e-10
1891,1.2748440081367107e-09
1892,6.268512375839919e-10
1893,6.15841644346915e-09
1894,1.2603078580752936e-09
1895,3.611168697403855e-09
1896,2.948514543632541e-09
1897,2.330685422435863e-09
1898,6.7900258748920805e-09
1899,3.3165470370022376e-09
1900,5.191053142894475e-10
1901,1.1177477832191585e-09
1902,1.9641135384773634e-09
1903,8.640352433531007e-09
1904,7.524475265086039e-09
1905,5.160759042333041e-10
1906,5.658602919567102e-09
1907,7.199980611716228e-09
1908,4.911389073214423e-10
1909,7.701377313651392e-09
1910,9.085056262847502e-09
1911,1.5961122423746588e-09
1912,2.0837684910901544e-09
1913,3.71209285532359e-09
1914,6.027069510139427e-09
1915,1.5314990164938536e-08
1916,1.0987462051303964e-09
1917,8.773139548168274e-09
1918,4.594550517822427e-09
1919,8.287063479883727e-09
1920,1.0601124422748853e-08
1921,4.543648568500203e-09
1922,2.2133805899215986e-09
1923,1.0615948120573648e-09
