year,rues_NOUN égales_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,1.7057265822018053e-08
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,4.058990921151917e-09
1833,0.0
1834,9.334530925997342e-10
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,2.5682194149112547e-09
1842,0.0
1843,2.953455480181333e-09
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,1.3021090872200602e-09
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,9.763018171682347e-10
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,0.0
1873,0.0
1874,0.0
1875,0.0
1876,0.0
1877,1.2369631985365004e-09
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,0.0
1884,0.0
1885,0.0
1886,6.453463874400711e-10
1887,0.0
1888,0.0
1889,0.0
1890,0.0
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,0.0
1896,7.076434549446731e-09
1897,0.0
1898,0.0
1899,0.0
1900,0.0
1901,0.0
1902,0.0
1903,0.0
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,0.0
1909,0.0
1910,5.344150677544235e-10
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,0.0
1919,0.0
1920,0.0
1921,0.0
1922,0.0
1923,0.0
1924,0.0
1925,0.0
1926,0.0
1927,1.1149224876660924e-09
1928,0.0
1929,0.0
1930,3.1510811737689437e-09
1931,1.1405356659111021e-09
1932,1.0959536611565568e-09
1933,1.1470662197865522e-09
1934,0.0
1935,0.0
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,3.034211770724937e-09
1943,2.9032352077962287e-09
1944,0.0
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,1.0661401761424827e-09
1952,2.1089607837865287e-09
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,1.7670075402875796e-09
1958,1.6544486891589827e-09
1959,0.0
1960,0.0
1961,6.948159270159238e-10
1962,1.2683912808952869e-09
1963,0.0
1964,0.0
1965,0.0
1966,5.539074754423723e-10
1967,0.0
1968,0.0
1969,9.083515606356229e-10
1970,0.0
1971,0.0
1972,5.130146862875051e-10
1973,0.0
1974,0.0
1975,0.0
1976,0.0
1977,5.876781838942691e-10
1978,0.0
1979,0.0
1980,0.0
1981,0.0
1982,0.0
1983,0.0
1984,0.0
1985,0.0
1986,0.0
1987,0.0
1988,0.0
1989,5.488122178931576e-10
1990,0.0
1991,0.0
1992,0.0
1993,5.539207426075166e-10
1994,0.0
1995,0.0
1996,5.338092190498855e-10
1997,9.58978896292706e-10
1998,1.43043876743576e-09
1999,4.570201161957499e-10
2000,0.0
2001,0.0
2002,8.76244299341522e-10
2003,0.0
2004,0.0
2005,0.0
2006,0.0
2007,0.0
2008,4.257439678578834e-10
2009,0.0
2010,9.447586046817946e-10
2011,0.0
2012,0.0
2013,0.0
2014,0.0
2015,4.433150790905671e-10
2016,0.0
2017,0.0
2018,0.0
2019,2.55098775436835e-10
