year,rôles_NOUN égaux_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,0.0
1804,0.0
1805,0.0
1806,0.0
1807,0.0
1808,0.0
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,1.1502966579257645e-08
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,0.0
1821,0.0
1822,0.0
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,0.0
1828,0.0
1829,0.0
1830,0.0
1831,0.0
1832,0.0
1833,0.0
1834,0.0
1835,0.0
1836,0.0
1837,0.0
1838,0.0
1839,0.0
1840,0.0
1841,0.0
1842,0.0
1843,0.0
1844,0.0
1845,0.0
1846,0.0
1847,0.0
1848,0.0
1849,0.0
1850,0.0
1851,0.0
1852,0.0
1853,0.0
1854,0.0
1855,0.0
1856,0.0
1857,0.0
1858,0.0
1859,0.0
1860,0.0
1861,0.0
1862,0.0
1863,0.0
1864,0.0
1865,0.0
1866,0.0
1867,0.0
1868,0.0
1869,0.0
1870,0.0
1871,0.0
1872,6.047339295989218e-10
1873,0.0
1874,0.0
1875,0.0
1876,3.627608879952504e-09
1877,0.0
1878,0.0
1879,0.0
1880,0.0
1881,0.0
1882,0.0
1883,1.2638677882037541e-09
1884,0.0
1885,0.0
1886,0.0
1887,0.0
1888,2.53624587998047e-09
1889,0.0
1890,6.554386478008212e-10
1891,0.0
1892,0.0
1893,0.0
1894,0.0
1895,3.611168697403855e-09
1896,1.7691086373616827e-09
1897,5.826713556089658e-10
1898,1.13167097914868e-09
1899,0.0
1900,0.0
1901,0.0
1902,4.910283846193408e-10
1903,0.0
1904,5.374625189347171e-10
1905,0.0
1906,2.572092316910357e-09
1907,0.0
1908,0.0
1909,0.0
1910,0.0
1911,0.0
1912,0.0
1913,0.0
1914,0.0
1915,0.0
1916,0.0
1917,0.0
1918,1.1486376294556067e-09
1919,0.0
1920,0.0
1921,7.572747429129834e-10
1922,0.0
1923,0.0
1924,0.0
1925,1.0998177923937646e-09
1926,0.0
1927,2.2298449753321847e-09
1928,0.0
1929,0.0
1930,0.0
1931,0.0
1932,0.0
1933,2.2941324395731044e-09
1934,1.1981580172459871e-09
1935,0.0
1936,0.0
1937,0.0
1938,3.8895642262559704e-09
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,3.2131861615880553e-09
1945,0.0
1946,0.0
1947,0.0
1948,0.0
1949,0.0
1950,0.0
1951,1.0661401761424827e-09
1952,0.0
1953,0.0
1954,0.0
1955,0.0
1956,0.0
1957,0.0
1958,0.0
1959,0.0
1960,6.920833350854139e-10
1961,0.0
1962,0.0
1963,0.0
1964,0.0
1965,0.0
1966,0.0
1967,9.860671168482327e-10
1968,4.4914158503495116e-10
1969,9.083515606356229e-10
1970,0.0
1971,5.138397485282553e-10
1972,1.0260293725750103e-09
1973,0.0
1974,0.0
1975,5.711480177694739e-10
1976,2.285410749536254e-09
1977,0.0
1978,5.940591352171509e-10
1979,5.851973350345929e-10
1980,5.685150683554241e-10
1981,6.325549528618524e-10
1982,0.0
1983,6.315316047889041e-10
1984,1.739702604197646e-09
1985,1.2031116103372597e-09
1986,3.5966913891627428e-09
1987,1.2221633705067347e-09
1988,0.0
1989,2.1952488715726304e-09
1990,2.179460389939436e-09
1991,5.861465202094962e-10
1992,2.7549720282848966e-09
1993,0.0
1994,5.274926606624319e-10
1995,1.626735190995987e-09
1996,1.067618438099771e-09
1997,4.79489448146353e-10
1998,0.0
1999,2.285100553223174e-09
2000,0.0
2001,1.3143635069212678e-09
2002,0.0
2003,1.2500769308587678e-09
2004,1.7619165015858584e-09
2005,0.0
2006,4.1178899179428186e-10
2007,3.994479413904628e-09
2008,0.0
2009,2.384096253749135e-09
2010,9.447586046817946e-10
2011,3.82397197240536e-10
2012,3.404252713057332e-10
2013,5.578250084070646e-10
2014,6.496335691608124e-10
2015,1.329945265027277e-09
2016,2.0713400439298368e-10
2017,0.0
2018,2.5814667070633845e-10
2019,1.02039510174734e-09
