year,seules_ADJ armes_NOUN,seules_ADJ larmes_NOUN
1800,2.2323567350213125e-07,0.0
1801,2.8336071977719257e-07,1.1905912700171939e-08
1802,2.1483265300048515e-07,0.0
1803,1.9893460034836608e-07,1.950339223455444e-09
1804,2.6201618652521574e-07,9.887403784603066e-09
1805,3.0703080255989335e-07,8.528632911009026e-09
1806,1.556101381083863e-07,2.881669125542885e-09
1807,2.4768510797912313e-07,0.0
1808,1.6089124699192325e-07,0.0
1809,2.1234886560250743e-07,2.25903047379461e-08
1810,2.574139443822787e-07,0.0
1811,2.6825722443390987e-07,0.0
1812,1.973734100602087e-07,0.0
1813,1.5241430162404868e-07,0.0
1814,2.580275122454623e-07,0.0
1815,2.697223635550472e-07,0.0
1816,2.062667476820934e-07,9.270415546325239e-09
1817,2.849078271083272e-07,1.556873407970727e-09
1818,2.7537919322639937e-07,4.768470951432846e-09
1819,3.18812340083241e-07,2.070210003424222e-09
1820,3.393813585716998e-07,3.5599443393152796e-09
1821,3.7375039596554416e-07,1.972297702934611e-08
1822,2.9274798407641356e-07,1.604098542884458e-08
1823,2.431141012948501e-07,4.15072847204101e-08
1824,2.9221260433587304e-07,8.421112696055388e-10
1825,2.685660263068712e-07,1.2327619813845558e-08
1826,2.862594783437089e-07,8.807984341885344e-10
1827,1.9264101069893513e-07,1.935627302884768e-08
1828,2.320592216165096e-07,1.1006761724274838e-08
1829,2.3319039144098497e-07,6.858540846366168e-09
1830,2.3691617911936191e-07,1.1480519646056564e-08
1831,2.05803914354874e-07,4.677361609140007e-09
1832,2.2189149717632972e-07,1.3529969367098715e-09
1833,3.069661431709392e-07,2.3167257001688313e-09
1834,2.0442622883365402e-07,2.14694217959277e-08
1835,2.011781390365286e-07,9.832014313815307e-09
1836,2.2312890735065594e-07,6.72075017860152e-09
1837,1.4541991788519226e-07,9.74104708006962e-09
1838,2.190320174122462e-07,1.830527018853445e-08
1839,1.5241415951550152e-07,1.3982949909063791e-08
1840,2.4141121457432746e-07,7.0066574764382494e-09
1841,2.1059399557543657e-07,1.926164561183441e-09
1842,1.7978150879116583e-07,1.8112315203211438e-08
1843,2.0378843146318104e-07,7.088293507706567e-09
1844,2.3051957498410047e-07,1.866110821424627e-08
1845,1.897277570606093e-07,5.580227946389016e-10
1846,2.1427474905522104e-07,2.3418005312692003e-09
1847,2.1465029931277968e-07,6.47186837454683e-09
1848,2.2204811500614596e-07,1.528592186161859e-08
1849,1.9356448888174782e-07,3.3517659758786067e-09
1850,1.615781002328731e-07,4.752297222410107e-09
1851,1.805842799740276e-07,1.483370937194195e-08
1852,2.2200960358986777e-07,1.8229528109259263e-08
1853,1.540758347573501e-07,7.763511611358354e-09
1854,1.6885908848962572e-07,4.676098175337984e-09
1855,1.9158042618983018e-07,7.960405667972736e-09
1856,1.925914432376885e-07,1.346069211649592e-08
1857,1.4693341654492542e-07,1.1715622250108026e-08
1858,1.5610827119871828e-07,4.404308473482388e-09
1859,2.3882293476162886e-07,2.036869339860914e-08
1860,2.5952633109227463e-07,4.57718396518203e-09
1861,1.7826343423621438e-07,1.6034276129062164e-08
1862,1.5225613481106848e-07,3.162590411776023e-09
1863,2.222606241275571e-07,5.494082966350788e-09
1864,1.539107614689783e-07,6.712618905169165e-09
1865,1.553258641706634e-07,1.4120533631256649e-09
