year,divins_ADJ êtres_NOUN,divins_ADJ maîtres_NOUN
1800,0.0,0.0
1801,0.0,4.7623651688866175e-09
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,2.881669125542885e-09
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,2.697223555614414e-09
1816,0.0,0.0
1817,0.0,1.401186100480345e-08
1818,0.0,0.0
1819,0.0,3.1053151161586356e-09
1820,0.0,4.746592452420373e-09
1821,0.0,0.0
1822,0.0,3.0076847679083585e-09
1823,0.0,9.882686891060644e-10
1824,0.0,1.0105335235266466e-08
1825,0.0,8.805443041381977e-10
1826,0.0,5.284790383086602e-09
1827,0.0,0.0
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,1.5591206103948707e-09
1832,0.0,6.764984572527055e-09
1833,0.0,1.50587169400751e-08
1834,0.0,1.8669061851994684e-09
1835,0.0,1.5126175867408165e-09
1836,0.0,8.736974699274924e-09
1837,0.0,1.3915781860163179e-09
1838,0.0,3.787297142565649e-09
1839,0.0,4.894032734625853e-09
1840,0.0,5.095750932326837e-09
1841,0.0,1.3483152372373297e-08
1842,0.0,1.341653010911159e-09
1843,0.0,1.1813822142769936e-09
1844,0.0,1.0977122322231025e-08
1845,0.0,6.138250796539069e-09
1846,0.0,7.610851504580296e-09
1847,0.0,1.0786447290911383e-09
1848,0.0,8.045221711050488e-10
1849,0.0,0.0
1850,0.0,1.3577992064028876e-09
1851,0.0,1.9348316282474798e-09
1852,0.0,1.9531636308300904e-09
1853,0.0,1.1943863675867306e-09
1854,0.0,0.0
1855,0.0,3.714855978387277e-09
1856,0.0,8.28350277259915e-09
1857,0.0,4.881508974818871e-09
1858,4.893676019968041e-10,4.893676130990343e-09
1859,0.0,1.018434669930457e-09
1860,0.0,5.950338888283113e-09
1861,0.0,4.715963619617014e-09
1862,5.873382225018986e-09,1.8071945051545413e-09
1863,4.495158911765884e-09,4.495158911765884e-09
1864,0.0,4.315255264231155e-09
1865,1.882737743486018e-09,2.8241067262513297e-09
1866,9.731225825149181e-10,1.9462451650298362e-09
1867,0.0,2.426405742994575e-09
1868,0.0,2.9639244392143382e-09
1869,4.883519144627257e-10,4.395167341186834e-09
1870,5.734048791339319e-10,4.587239033071455e-09
1871,0.0,0.0
1872,6.047339295989218e-10,3.0236697590169115e-09
1873,0.0,1.1972008939764578e-09
1874,0.0,2.3898436563030145e-09
1875,1.1443054281912168e-09,2.8607636259891933e-09
1876,0.0,2.418405919968336e-09
1877,0.0,6.184815992682502e-10
1878,0.0,6.039088673581716e-10
1879,6.10932526790009e-10,1.832797580370027e-09
1880,1.9253538763308597e-09,1.9253538763308597e-09
1881,4.183504653809678e-09,9.064259565150223e-09
1882,0.0,1.3310770263785798e-09
1883,0.0,4.423537092179686e-09
1884,6.601696966868076e-10,6.601696966868076e-10
1885,0.0,0.0
1886,0.0,1.2906927748801422e-09
1887,6.528924623161458e-10,4.570247291724172e-09
1888,4.4384300679212174e-09,6.340614699951175e-10
1889,0.0,3.132568426877924e-09
1890,1.3108772956016423e-09,1.3108772956016423e-09
1891,0.0,6.3742202627281586e-09
1892,0.0,1.2537024751679837e-09
1893,0.0,1.2316833108982905e-09
1894,0.0,1.2603078580752936e-09
1895,6.018614495673091e-10,2.4074457982692365e-09
1896,0.0,0.0
1897,0.0,0.0
1898,0.0,2.8291773368493978e-09
1899,0.0,1.1055156790007459e-09
1900,0.0,2.07642125715779e-09
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,2.1600881083827517e-09
1904,5.374625189347171e-10,2.1498500757388683e-09
1905,0.0,7.741138396966107e-09
1906,0.0,0.0
1907,0.0,2.5714217422034835e-09
1908,5.40252820258047e-09,4.911389073214423e-10
1909,0.0,5.500983557560346e-10
1910,0.0,2.67207544979442e-09
1911,1.0640748282497725e-09,2.6601871816467337e-09
1912,0.0,2.0837684910901544e-09
1913,0.0,1.590896969716482e-09
1914,0.0,0.0
1915,0.0,1.1780761921542648e-09
1916,0.0,0.0
1917,0.0,0.0
1918,0.0,3.44591288836682e-09
1919,0.0,2.762354567309444e-09
1920,0.0,3.028892692213958e-09
1921,0.0,7.572747429129834e-10
1922,0.0,7.377935484775833e-10
1923,0.0,1.0615948120573648e-09
1924,0.0,2.578324886925998e-09
1925,1.0998177923937646e-09,2.1996355847875293e-09
1926,1.1146138456652466e-09,4.458455382660986e-09
1927,0.0,1.1149224876660924e-09
1928,0.0,1.1426041224282812e-09
1929,0.0,0.0
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,0.0
1933,0.0,0.0
1934,0.0,3.5944740517379614e-09
1935,0.0,0.0
1936,1.2124714565686645e-09,0.0
1937,0.0,1.2591118148108649e-09
1938,0.0,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,2.9515025978810172e-09
1942,0.0,3.034211770724937e-09
1943,0.0,0.0
1944,0.0,3.2131861615880553e-09
1945,0.0,0.0
1946,0.0,6.960552134671616e-09
1947,1.1920870957027319e-09,0.0
1948,0.0,0.0
1949,0.0,0.0
1950,0.0,0.0
1951,0.0,1.0661401761424827e-09
1952,0.0,1.0544803918932644e-09
1953,0.0,0.0
1954,0.0,1.9545072227344917e-09
1955,0.0,9.385607846468247e-10
1956,0.0,0.0
1957,8.835037701437898e-10,0.0
1958,0.0,0.0
1959,7.750747821333448e-10,0.0
1960,6.920833350854139e-10,0.0
1961,6.948159270159238e-10,1.3896318540318475e-09
1962,6.341956404476434e-10,6.341956404476434e-10
1963,1.2932106496776896e-09,0.0
1964,0.0,2.4335873316516654e-09
1965,0.0,4.377634699181954e-09
1966,1.6617224263271169e-09,0.0
1967,4.930335584241163e-10,4.930335584241163e-10
1968,0.0,3.5931326802796093e-09
1969,4.5417578031781147e-10,4.5417578031781147e-10
1970,0.0,9.197450023812337e-10
1971,0.0,1.541519245584766e-09
1972,0.0,3.0780880067027283e-09
1973,5.513203782392395e-10,0.0
1974,0.0,2.2502286700643026e-09
1975,0.0,0.0
1976,5.713526873840635e-10,0.0
1977,0.0,5.876781838942691e-10
1978,5.940591352171509e-10,5.940591352171509e-10
1979,0.0,2.925986564150662e-09
1980,0.0,5.685150683554241e-10
1981,6.325549528618524e-10,1.2651099057237047e-09
1982,0.0,0.0
1983,0.0,0.0
1984,5.799008495621649e-10,0.0
1985,6.015558051686298e-10,1.8046674155058895e-09
1986,0.0,0.0
1987,6.110816852533674e-10,0.0
1988,0.0,0.0
1989,0.0,0.0
1990,0.0,0.0
1991,0.0,0.0
1992,0.0,1.65298330578878e-09
1993,0.0,0.0
1994,0.0,1.0549853213248639e-09
1995,0.0,1.0844901643380922e-09
1996,0.0,1.067618438099771e-09
1997,0.0,0.0
1998,0.0,1.43043876743576e-09
1999,4.570201161957499e-10,4.570201161957499e-10
2000,0.0,4.4180314962005696e-10
2001,0.0,8.762423564512289e-10
2002,0.0,8.76244299341522e-10
2003,0.0,0.0
2004,0.0,4.404791253964646e-10
2005,0.0,0.0
2006,0.0,0.0
2007,1.5977917877663117e-09,7.988958938831558e-10
2008,8.514879357157668e-10,1.2772318758180745e-09
2009,4.76819250749827e-10,4.76819250749827e-10
2010,0.0,4.723793023408973e-10
2011,0.0,0.0
2012,2.7234021704458655e-09,1.0212758416727752e-09
2013,1.6734750252211938e-09,2.789125042035323e-10
2014,1.0827225782605865e-09,8.661780737106994e-10
2015,1.329945265027277e-09,1.10828768384863e-09
2016,4.1426800878596737e-10,1.2428040818690533e-09
2017,7.54683426862357e-10,2.515611330355938e-10
2018,7.744400121190154e-10,5.162933414126769e-10
2019,2.806086474294034e-09,1.02039510174734e-09
