year,jeunes_ADJ auteurs_NOUN
1800,1.855057085720091e-07
1801,3.357467335263209e-07
1802,1.991677720525331e-07
1803,1.423747579831769e-07
1804,3.6583394447120554e-07
1805,2.6154475185613535e-07
1806,2.1324350996110297e-07
1807,1.6227644028532495e-07
1808,2.5380028212396155e-07
1809,1.6942728731095258e-07
1810,3.1825724278178313e-07
1811,2.582289084784861e-07
1812,2.0537503209183683e-07
1813,3.2783454173568316e-07
1814,6.293354459785405e-08
1815,1.1328339155625144e-07
1816,1.321034233114915e-07
1817,2.1951915130102861e-07
1818,2.527289666431898e-07
1819,1.3870406911919986e-07
1820,1.578242034838695e-07
1821,2.613294327602489e-07
1822,3.198171469875888e-07
1823,2.737504303240712e-07
1824,1.8694870007607278e-07
1825,3.0819050489405697e-07
1826,2.5807394421484275e-07
1827,2.4794464914545955e-07
1828,1.8803217471941025e-07
1829,2.43478211814363e-07
1830,2.6822669241255426e-07
1831,2.1983600162478467e-07
1832,1.9618455837644433e-07
1833,2.0387186450143702e-07
1834,1.3628414929911514e-07
1835,1.096647750387092e-07
1836,1.1694104840032082e-07
1837,1.3567886592014133e-07
1838,9.215756580083223e-08
1839,9.019002789045771e-08
1840,6.051203910173442e-08
1841,8.025685360735224e-08
1842,8.854909561151203e-08
1843,9.391988364804149e-08
1844,8.013299368503368e-08
1845,9.597992089993568e-08
1846,1.206027262501408e-07
1847,5.3392915866368185e-08
1848,7.240699373411985e-08
1849,9.21735647807509e-08
1850,5.36330704292709e-08
1851,7.416854685970975e-08
1852,6.380334838240742e-08
1853,9.495371955381415e-08
1854,1.0599155331192378e-07
1855,1.3214274119377478e-07
1856,7.869327811604876e-08
1857,9.811833479034249e-08
1858,9.44479436326695e-08
1859,2.0063163175265686e-07
1860,1.6706721339687647e-07
1861,1.1978547986846166e-07
1862,9.623310859296907e-08
1863,1.213692826240731e-07
1864,1.006892844657159e-07
1865,8.001635420917808e-08
1866,8.320198396916112e-08
1867,1.0093848068493116e-07
1868,6.866425206197846e-08
1869,8.888004998652832e-08
1870,9.059797179133966e-08
1871,6.79755369770163e-08
1872,8.163907949665372e-08
1873,8.38040605799506e-08
1874,8.00597632633071e-08
1875,1.0413179296620001e-07
1876,1.831942455510216e-07
1877,1.5338343606341454e-07
1878,1.395029443074236e-07
1879,1.5334406100464548e-07
1880,2.111471388843711e-07
1881,2.524047695851017e-07
1882,1.9300617593032143e-07
1883,1.3586578972990537e-07
1884,1.2543223704142292e-07
1885,1.3535835408085006e-07
1886,1.72952826671402e-07
1887,1.325371670191089e-07
1888,1.6739222985506785e-07
1889,1.8858061423543404e-07
1890,2.6086459570251463e-07
1891,1.619051954726558e-07
1892,2.2315904391057018e-07
1893,1.7551487019318301e-07
1894,1.877858741838878e-07
1895,1.4023371575078158e-07
1896,2.1170333752706938e-07
1897,1.8121079747857038e-07
1898,1.748431723846977e-07
1899,1.6416907833161076e-07
1900,1.4690679961404385e-07
1901,1.7772190119558218e-07
1902,1.8364461817910183e-07
1903,1.5498631955601638e-07
1904,1.8918680488866357e-07
1905,1.346958100612028e-07
1906,2.0422412205789442e-07
1907,2.1651371184816526e-07
1908,2.3722009245830122e-07
1909,2.101375713436937e-07
1910,2.105595342527522e-07
1911,1.5003454634232583e-07
1912,1.9691611957695088e-07
1913,1.787107493100848e-07
1914,1.3058650394359717e-07
1915,7.421880265923164e-08
1916,9.888715979400331e-08
1917,6.689518772251546e-08
1918,1.9297112263672034e-07
1919,3.986998251548357e-07
1920,2.1580860964931503e-07
1921,3.5289003852412293e-07
1922,4.352981881616813e-07
1923,3.8323572848497633e-07
1924,4.4733937754060094e-07
1925,5.048163522758387e-07
1926,4.0683406066222005e-07
1927,5.775298443921884e-07
1928,4.250487284362947e-07
1929,4.177652295211942e-07
1930,2.762447763871023e-07
1931,2.6232319783048297e-07
1932,2.3343812927123508e-07
1933,2.9479602403625904e-07
1934,2.2285739476046729e-07
1935,3.758041104973131e-07
1936,2.3036958074484915e-07
1937,1.989396736234994e-07
1938,2.230016942217361e-07
1939,1.6823454984660202e-07
1940,1.8257637179885933e-07
1941,2.1841118780230317e-07
1942,2.214974585967866e-07
1943,3.65807636626414e-07
1944,2.570548929270444e-07
1945,2.396354488176655e-07
1946,2.519719828342204e-07
1947,3.182872587714769e-07
1948,2.413559059277759e-07
1949,2.6505922867681164e-07
1950,3.3182326575342813e-07
1951,2.1322803123169365e-07
1952,3.374337171901942e-07
1953,2.7904212940299544e-07
1954,3.244482025266393e-07
1955,3.0597080602490223e-07
1956,2.9651880861791824e-07
1957,2.862552208604541e-07
1958,2.796018305772918e-07
1959,2.9685364655307467e-07
1960,3.501941578942791e-07
1961,3.230893998451556e-07
1962,2.968035630601662e-07
1963,3.026112893600441e-07
1964,2.8716329736333535e-07
1965,2.796214233491412e-07
1966,3.1074210227188814e-07
1967,3.278673106343888e-07
1968,4.635141073183746e-07
1969,3.274607316416933e-07
1970,2.7730313201246304e-07
1971,3.80755257989307e-07
1972,3.863000528347982e-07
1973,3.1535526234804934e-07
1974,3.774758534635936e-07
