year,tels_ADJ marchés_NOUN
1800,9.432493897065797e-09
1801,0.0
1802,4.4756802708434407e-08
1803,1.950339223455444e-09
1804,0.0
1805,0.0
1806,2.881669125542885e-09
1807,1.7081731584767113e-08
1808,2.2660739951163578e-09
1809,2.259030518203531e-09
1810,4.680253518074551e-09
1811,0.0
1812,8.00162425207418e-09
1813,0.0
1814,4.72001566720337e-08
1815,0.0
1816,0.0
1817,4.670620334934483e-09
1818,7.152706427149269e-09
1819,7.24573512300708e-09
1820,2.4919611263385377e-08
1821,1.1833785507064931e-08
1822,1.9048670196752937e-08
1823,4.0519015698237126e-08
1824,4.126345132249298e-08
1825,1.8491430608946757e-08
1826,1.2331177856594877e-08
1827,2.3043183361437514e-08
1828,4.586150570418113e-09
1829,1.1145129263923081e-08
1830,2.0873670791843324e-08
1831,2.0268567268999504e-08
1832,4.329590197471589e-08
1833,1.1583628278799551e-08
1834,4.667265685043276e-09
1835,9.075705520444899e-09
1836,1.0753200108126748e-08
1837,9.74104708006962e-09
1838,1.4517972601879592e-08
1839,1.6080392128969834e-08
1840,1.2739377552861697e-08
1841,1.7977535904378783e-08
1842,3.8237111255057243e-08
1843,1.6539351221922516e-08
1844,7.1351298203126134e-09
1845,5.022205318283568e-09
1846,1.8148954339380907e-08
1847,1.1865092020002521e-08
1848,1.206783295515379e-08
1849,2.0948537127196687e-08
1850,1.425689166723032e-08
1851,1.7413483988093503e-08
1852,8.463708844885787e-09
1853,1.4929829816878737e-08
1854,7.79349651480743e-09
1855,7.960405667972736e-09
1856,7.248064815001953e-09
1857,9.274867096564776e-09
1858,2.4468380654951716e-09
1859,2.953460587207246e-08
1860,7.323494255473406e-09
1861,1.9335450573976232e-08
1862,1.9427341513278407e-08
1863,1.748117206545885e-08
1864,1.2945765348604255e-08
1865,2.2122168985561075e-08
1866,2.432806400776144e-09
1867,3.202855580752839e-08
1868,5.9278488784286765e-09
1869,2.0510780629479086e-08
1870,1.3188312664169644e-08
1871,2.0180236148803488e-08
1872,9.071008832961525e-09
1873,4.788803575905831e-09
1874,6.572069999322139e-09
1875,1.3731664694205392e-08
1876,5.441413541973361e-09
1877,2.3502300550148902e-08
1878,1.3889904337816006e-08
1879,6.720257683667796e-09
1880,9.626769603698904e-09
1881,3.067903264764027e-08
1882,7.986462158271479e-09
1883,1.2638677882037541e-09
1884,9.902545450302114e-09
1885,5.156508553483263e-09
1886,1.0325542199041138e-08
1887,1.9586774424595887e-09
1888,4.4384300679212174e-09
1889,1.0650732740202784e-08
1890,5.898947996740844e-09
1891,1.3385862196457765e-08
1892,1.0656471260972467e-08
1893,5.542574843531156e-09
1894,6.9316934414587195e-09
1895,7.22233739480771e-09
1896,9.435246361988447e-09
1897,1.7480140002135158e-08
1898,2.3765091228256097e-08
1899,8.844125432005967e-09
1900,1.0901211489056095e-08
1901,1.620734302321125e-08
1902,8.347482705062248e-09
1903,8.640352433531007e-09
1904,1.9348650681649815e-08
1905,2.0126959654476195e-08
1906,1.3374879870298173e-08
1907,5.65712765521198e-09
1908,9.331639461152008e-09
1909,9.351672325408344e-09
1910,9.619471441624228e-09
1911,1.1704822888702893e-08
1912,8.335073964360618e-09
1913,9.545381374209683e-09
1914,6.696743604095445e-09
1915,4.712304768617059e-09
1916,1.648119329900055e-08
1917,1.0966424213165737e-08
1918,4.594550517822427e-09
1919,1.012863304339362e-08
1920,1.2115570768855832e-08
1921,1.8931869405491852e-08
1922,8.115729421831475e-09
1923,5.307974060286824e-09
1924,9.02413699321869e-09
1925,1.4297631523163545e-08
1926,1.4489979882625903e-08
1927,6.689535148041159e-09
1928,1.0283437212876834e-08
1929,1.3368487650211591e-08
1930,1.2604324695075775e-08
1931,1.2545892325022123e-08
1932,8.767629289252454e-09
1933,1.4911860191091364e-08
1934,1.3179738189705859e-08
1935,1.196828414151696e-08
1936,6.0623572828433225e-09
1937,1.0072894518486919e-08
1938,7.779128452511941e-09
1939,4.588215141154706e-09
1940,7.607348528892999e-09
1941,8.854508237732261e-09
1942,3.034211815133858e-08
