year,trois_DET auteurs_NOUN,trois_DET moteurs_NOUN
1800,1.414874013505596e-07,0.0
1801,9.048493621044429e-08,0.0
1802,6.265952379180817e-08,0.0
1803,5.851017803593095e-08,0.0
1804,1.1864884252865693e-07,0.0
1805,5.401467628729506e-08,0.0
1806,2.881669125542885e-08,0.0
1807,5.4092147649953404e-08,5.693910232196231e-09
1808,9.744118401044943e-08,0.0
1809,1.6942728509050653e-07,0.0
1810,2.2699229873524018e-07,0.0
1811,9.025476543911282e-08,0.0
1812,1.1202274929900113e-07,0.0
1813,1.322841143291953e-07,8.627225156487839e-09
1814,8.810696128236373e-08,0.0
1815,8.36139331106267e-08,0.0
1816,9.038655157667108e-08,0.0
1817,1.5257359287090821e-07,0.0
1818,9.298518222067287e-08,3.5763532135746345e-09
1819,8.487861258288376e-08,0.0
1820,1.0442503572960504e-07,2.3732962262101864e-09
1821,1.1439326108586556e-07,0.0
1822,1.383534993237845e-07,0.0
1823,1.5219337967664615e-07,0.0
1824,8.842168419676e-08,0.0
1825,8.453225319726698e-08,0.0
1826,1.215501814755271e-07,0.0
1827,1.0231173241948e-07,3.6869092223668076e-09
1828,9.172301185245146e-08,1.8344602503717056e-09
1829,1.0545006223772191e-07,8.57317605795771e-10
1830,5.635891264788029e-08,1.0436835840010872e-09
1831,6.236482619215167e-08,0.0
1832,6.900284699185022e-08,0.0
1833,9.730248251571538e-08,0.0
1834,8.774459203664264e-08,9.334530925997342e-10
1835,6.882410019670715e-08,0.0
1836,1.0484369639129909e-07,0.0
1837,8.00157469171836e-08,6.957890930081589e-10
1838,1.1740621363998116e-07,0.0
1839,7.900367116064899e-08,0.0
1840,4.968357103507515e-08,0.0
1841,1.662922102241282e-07,1.0914932957462042e-08
1842,6.104520977601169e-08,1.2074877098200432e-08
1843,1.3999379788742772e-07,2.953455480181333e-09
1844,9.00124064173724e-08,6.037417454862748e-09
1845,9.207375928355077e-08,1.0602432709561072e-08
1846,1.270426785993095e-07,1.1709002656346001e-08
1847,1.3860585035274653e-07,5.393223645455691e-10
1848,4.022610866627474e-08,4.02261068899179e-09
1849,7.29009101974043e-08,0.0
1850,9.300924475041938e-08,4.073397619208663e-09
1851,5.933483793185701e-08,1.2898877521649865e-09
1852,8.33349833584407e-08,1.3021090872200602e-09
1853,8.838459208959648e-08,9.555090940693844e-09
1854,9.819805768529477e-08,1.0391328908454511e-09
1855,7.429711601503186e-08,5.306937111981824e-10
1856,5.073645459319209e-08,2.5885946719483854e-09
1857,9.22605201125748e-08,1.4644527812635033e-09
1858,6.851146316932955e-08,1.9574704079872163e-09
1859,1.0235268632641237e-07,0.0
1860,7.826984571579487e-08,2.746310290291376e-09
1861,7.02678608632823e-08,0.0
1862,7.861296413835817e-08,1.0843167252971853e-08
1863,9.140156187470438e-08,4.994620828036034e-10
1864,1.1171715996738385e-07,0.0
1865,6.6837192225222e-08,2.3534221238463715e-09
1866,6.373953009841671e-08,1.9462451650298362e-09
1867,8.735060852416154e-08,4.85281148598915e-10
1868,1.0225539170960474e-07,9.87974813071446e-10
1869,1.0157719643189012e-07,9.767038289254515e-10
1870,1.0952033413502704e-07,7.454262984651905e-09
1871,8.284518404622077e-08,1.0621177271019633e-09
1872,5.200711861164109e-08,0.0
1873,7.602225515768168e-08,2.334541715498517e-08
1874,1.1292011059538254e-07,0.0
1875,6.694186893696497e-08,3.032409434666761e-08
1876,8.585341149114356e-08,1.0882827083946722e-08
1877,8.906135207098487e-08,4.329371083855449e-09
1878,6.884561409847834e-08,4.2273621270183526e-09
1879,7.147910530136414e-08,5.498392852132383e-09
1880,1.0011840068102629e-07,5.776061851037184e-09
1881,1.087711201108732e-07,4.880755410940907e-09
1882,7.653693234743741e-08,1.3976308776975088e-08
1883,8.720687727503673e-08,3.159669414998234e-09
1884,8.71423999626586e-08,1.4523733327109767e-08
1885,1.0506386161068804e-07,7.090199316550638e-09
1886,1.1099957930582605e-07,9.034849313138693e-09
1887,7.116527989126098e-08,1.697520346510828e-08
1888,9.891358665470307e-08,2.9800889755904336e-08
1889,7.956723813151712e-08,3.3831738299738845e-08
1890,7.734176188378683e-08,5.30905321927122e-08
1891,6.947899855447304e-08,5.609313546983685e-08
1892,9.152028201953044e-08,4.45064367582404e-08
1893,5.912079736880571e-08,3.756634137097592e-08
1894,7.498831955388141e-08,4.2850468284783005e-08
1895,1.0051086363205286e-07,5.8982421169417876e-08
1896,5.189385543502567e-08,6.42776181170035e-08
1897,7.108590782678448e-08,7.632994969419826e-08
1898,7.8085300891928e-08,8.600699219485364e-08
1899,7.572782223519425e-08,7.130575774283443e-08
1900,9.240074572147705e-08,6.073532254902148e-08
1901,7.153585857011535e-08,6.874148983371242e-08
1902,5.3031064428665786e-08,1.1833783730708092e-07
1903,7.77631736781359e-08,6.318257605997246e-08
1904,1.0158041519048311e-07,9.513086318690966e-08
1905,6.812201824857311e-08,6.605771529777371e-08
1906,9.413857604556597e-08,6.9960909732103e-08
1907,7.559979975368947e-08,9.308546355946135e-08
1908,1.0019233798175264e-07,8.5458172094377e-08
1909,9.901770425813083e-08,9.406682099921682e-08
1910,8.069667867260932e-08,1.1757131224143791e-07
1911,8.885024893601212e-08,8.672209794724495e-08
1912,8.022508879435009e-08,9.168581094343153e-08
1913,1.1030218693974803e-07,7.742364793728029e-08
1914,5.625264520858764e-08,4.3528833870709605e-08
1915,7.539687585378374e-08,4.00545903112004e-08
1916,7.25172464299817e-08,6.152978815343602e-08
1917,9.760117869461737e-08,8.005489959828083e-08
1918,6.202643110242434e-08,1.1371512353974822e-07
1919,7.366278609310939e-08,1.224643770836309e-07
1920,1.0071068468064936e-07,1.272134908525402e-07
1921,8.632932324559306e-08,1.4085310029443576e-07
1922,9.812654333529736e-08,8.927301919925412e-08
1923,7.537323298834053e-08,7.112685374011107e-08
1924,7.219309905437399e-08,8.766304571139472e-08
1925,9.568414593985608e-08,5.2791253146722283e-08
1926,1.1814906564211469e-07,1.0365908842402405e-07
1927,1.3490561823203961e-07,1.0034302677652818e-07
1928,1.176882218345554e-07,1.1883083139707651e-07
1929,1.5596569458153908e-07,7.909688282126126e-08
1930,1.2919432634816985e-07,1.3444612001478617e-07
1931,1.197562440324873e-07,1.1291303003702069e-07
1932,1.435699328311557e-07,1.0411559525635994e-07
1933,1.0438302888715612e-07,1.5485394566638888e-07
1934,1.2460843201722582e-07,9.345632356883016e-08
1935,1.1369869667987587e-07,8.497481385205674e-08
1936,9.336030437623322e-08,5.941109959550772e-08
1937,1.2717029207465202e-07,7.051026162940843e-08
1938,1.0761128166336675e-07,9.983215321085481e-08
1939,1.0247013726427667e-07,6.576441702321745e-08
1940,1.4200384335083527e-07,4.564409383789325e-08
1941,1.1806010391524069e-07,3.24665290207804e-08
1942,9.406056733496371e-08,3.034211704111556e-08
1943,1.1032293745216748e-07,2.0322646676618206e-08
1944,1.5744612014145787e-07,1.0282195717081777e-07
1945,1.263532354300878e-07,4.7927089852350946e-08
1946,1.1415305678497134e-07,2.645009722357372e-08
1947,1.1563245116974485e-07,1.1920871179071924e-08
1948,1.2067795829295846e-07,2.935409759707852e-08
1949,1.384198196063835e-07,3.435952833363842e-08
1950,1.2017958717081e-07,4.6795588737325033e-08
1951,1.2153997808184158e-07,5.757156928964946e-08
1952,1.6660789725619907e-07,4.323369695580226e-08
1953,1.0558350815870199e-07,3.1244100195948477e-08
1954,1.2411121019795246e-07,4.3976411623347644e-08
1955,1.3139850629784178e-07,2.2525458387434583e-08
1956,8.895564462818584e-08,2.616342520411763e-08
1957,1.1220497952990627e-07,5.124322016714089e-08
1958,1.3318311786747472e-07,2.8952851893748743e-08
1959,1.1781136777244683e-07,3.2553141071645086e-08
1960,1.4672166592788471e-07,2.353083289330371e-08
1961,1.5772321226847907e-07,4.099414097069598e-08
1962,1.5728052105146162e-07,3.488075894786391e-08
1963,1.5130564356979903e-07,3.362347644753072e-08
1964,1.466236412284161e-07,2.981144531233326e-08
1965,1.8276624302870914e-07,3.009623883443169e-08
1966,1.7835820287359638e-07,3.7111801853839665e-08
1967,1.77985116422974e-07,2.958201261726856e-08
1968,1.616909699464486e-07,3.458390174237991e-08
1969,1.7485768211145114e-07,5.495526878007695e-08
1970,1.6555409487750694e-07,3.49503110896876e-08
1971,2.0707742187653366e-07,4.4704057344802095e-08
1972,2.3496072287798597e-07,7.387411216086548e-08
1973,2.205281504075174e-07,5.017015380914813e-08
1974,2.0477080653336088e-07,5.625571697365217e-08
1975,2.3017264894065192e-07,5.311676432029344e-08
1976,2.3482595779000803e-07,3.7709278810638125e-08
1977,2.0803808098435184e-07,4.231282879629816e-08
1978,2.1029693186846998e-07,4.811879139587916e-08
1979,2.23545377764367e-07,2.750427441355896e-08
