year,vos_DET ondes_NOUN,vos_DET mondes_NOUN
1800,5.659496338239478e-08,0.0
1801,3.333655484993869e-08,0.0
1802,3.3567602031325805e-08,0.0
1803,6.631153492975272e-08,0.0
1804,1.9774807125116922e-08,0.0
1805,9.381496779425902e-08,0.0
1806,4.3225035994964855e-08,0.0
1807,3.4163461837266595e-08,0.0
1808,1.8128592405020072e-08,0.0
1809,1.3554183553310395e-08,0.0
1810,3.042164831157379e-08,2.3401267590372754e-09
1811,2.2563690915688994e-08,0.0
1812,8.00162469616339e-09,1.600324850414836e-08
1813,7.476928409744232e-08,0.0
1814,1.2586708120210233e-08,0.0
1815,4.8550023556970245e-08,0.0
1816,1.622322720606917e-08,0.0
1817,2.490997497162084e-08,9.341240669868967e-09
1818,5.9605887781089e-08,1.1921177378582115e-09
1819,1.8631890696951814e-08,0.0
1820,5.3399165089729195e-08,0.0
1821,3.4515209801355695e-08,1.1833785507064931e-08
1822,1.7043547018147365e-08,1.0025615893027862e-09
1823,2.569498569471307e-08,4.941343556552624e-09
1824,2.189489300974401e-08,8.421112696055388e-10
1825,5.3713203662653086e-08,0.0
1826,1.4973573381205085e-08,2.642395191543301e-09
1827,2.304318225121449e-08,1.8434546111834038e-09
1828,2.7516904310687096e-08,2.7516903755575584e-09
1829,2.400489212961432e-08,0.0
1830,3.444155693976825e-08,1.6698937344017395e-08
1831,1.09138444948087e-08,1.5591206103948707e-09
1832,2.8412936226018815e-08,1.3529969367098715e-09
1833,2.085053074640797e-08,2.3167257001688313e-09
1834,4.1071937850745144e-08,0.0
1835,1.285724948729694e-08,1.5126175867408165e-09
1836,1.612980005116782e-08,0.0
1837,1.113262537710824e-08,2.7831563720326358e-09
1838,1.5780405204779413e-08,6.312161904276081e-10
1839,2.516931019158619e-08,2.7965900706306e-09
1840,2.6752692505738196e-08,0.0
1841,2.247191988047348e-08,0.0
1842,6.708265054555795e-09,0.0
1843,1.5357969118667825e-08,5.906911071384968e-10
1844,1.5916828077777723e-08,0.0
1845,2.343695659767775e-08,0.0
1846,1.1709002212256792e-08,1.1709002656346001e-09
1847,4.853901280910122e-09,1.6179670936367074e-09
1848,5.63165514222419e-09,0.0
1849,1.8434712201198522e-08,0.0
1850,2.308258650884909e-08,6.788996032014438e-10
1851,1.3543821619776963e-08,0.0
1852,3.906327261660181e-09,1.3021090872200602e-09
1853,1.2541057081705276e-08,1.1943863675867306e-09
1854,6.754363734984281e-09,1.0391328908454511e-09
1855,2.812676669350367e-08,3.1841622671890946e-09
1856,2.070875626536406e-08,1.0354378465748937e-09
1857,2.2454942127936306e-08,4.881509085841174e-10
1858,1.6149131365494895e-08,7.340514196485515e-09
1859,1.5785737383922083e-08,4.582956236731661e-09
1860,1.4646988510946812e-08,1.830873536112776e-09
1861,3.7727710400226044e-09,9.431927461278633e-10
1862,3.117410518616026e-08,4.517986262886353e-10
1863,1.1487627737949424e-08,5.494082966350788e-09
1864,1.4384183399940298e-08,3.835782247385566e-09
1865,8.943004559114343e-09,6.118897610818408e-09
1866,1.6056522333940393e-08,1.6543083902753608e-08
1867,1.552899675516528e-08,1.455843445796745e-09
1868,1.8277534485910962e-08,1.185569808992426e-08
1869,1.0255390092694938e-08,2.9301114867763545e-09
1870,1.6628741494884025e-08,2.8670243956696595e-09
1871,1.4869648179427486e-08,1.9118118865790734e-08
1872,1.3908880047708294e-08,1.2094678591978436e-09
1873,7.78180558880237e-09,5.986004469882289e-10
1874,1.7326366452685704e-08,1.7923826867161097e-09
1875,1.3731665304828056e-08,2.860763570478042e-09
1876,7.255217759905008e-09,6.04601479992084e-10
1877,1.3606595627990714e-08,1.2369631985365004e-09
1878,1.5701630218245555e-08,1.8117265465633636e-09
1879,5.498392852132383e-09,2.443730107160036e-09
1880,2.2462461446437487e-08,1.4119262203848848e-08
1881,6.2752567586699115e-09,4.880755410940907e-09
1882,1.4641846846075168e-08,6.655385131892899e-10
1883,1.0110942305630033e-08,0.0
1884,6.601696966868076e-09,1.3203393933736152e-09
1885,1.160214413431504e-08,0.0
1886,7.098810206329631e-09,6.453463874400711e-10
1887,7.834709769838355e-09,0.0
1888,1.014498351992188e-08,0.0
1889,3.759081934617825e-09,6.265136742733546e-10
1890,1.5075089176974643e-08,6.554386478008212e-10
1891,6.3742202627281586e-09,0.0
1892,1.56712811616444e-08,5.01480967862733e-09
1893,6.15841644346915e-09,4.310891643655168e-09
1894,2.457600345451283e-08,1.2603078580752936e-09
1895,3.0093072478365457e-09,0.0
1896,9.435246361988447e-09,0.0
1897,1.1070755867592652e-08,2.330685422435863e-09
1898,1.2448380326546271e-08,5.6583548957434e-10
1899,9.949641111006713e-09,5.527578395003729e-10
1900,7.786579381274805e-09,5.191053142894475e-10
1901,4.470991188387785e-09,0.0
1902,8.347482538528794e-09,9.820567692386817e-10
1903,1.3500550899436803e-08,0.0
1904,7.524475265086039e-09,0.0
