year,anges_NOUN heureux_ADJ
1800,0.0
1801,0.0
1802,0.0
1803,1.950339223455444e-09
1804,0.0
1805,5.685755510853596e-08
1806,0.0
1807,0.0
1808,4.5321479902327155e-09
1809,0.0
1810,0.0
1811,0.0
1812,0.0
1813,0.0
1814,0.0
1815,0.0
1816,1.8540831092650478e-08
1817,0.0
1818,2.384235475716423e-09
1819,1.035105001712111e-09
1820,2.3732962262101864e-09
1821,0.0
1822,0.0
1823,0.0
1824,6.736890156844311e-09
1825,1.7610886082763955e-09
1826,0.0
1827,0.0
1828,2.7516904310687096e-09
1829,0.0
1830,1.0436835840010872e-09
1831,0.0
1832,2.705993873419743e-09
1833,2.3167257001688313e-09
1834,0.0
1835,6.806779140333674e-09
1836,7.392825018825988e-09
1837,6.957890930081589e-10
1838,0.0
1839,3.4957375882882502e-09
1840,2.5478754661634184e-09
1841,2.5682194149112547e-09
1842,0.0
1843,1.1813822142769936e-09
1844,3.841992946007622e-09
1845,5.022205318283568e-09
1846,5.269050973311096e-09
1847,1.0786447290911383e-09
1848,8.045221711050488e-10
1849,0.0
1850,6.788996032014438e-10
1851,5.8044946626978344e-09
1852,1.3021090872200602e-09
1853,1.0152284346531815e-08
1854,1.0391328908454511e-09
1855,1.1144567935161831e-08
1856,1.5531567143511893e-09
1857,4.393358121745905e-09
1858,3.4255731584664773e-09
1859,1.018434669930457e-09
1860,9.154367819341758e-10
1861,1.4147891747029462e-09
1862,4.517986262886353e-10
1863,3.995696662428827e-09
1864,1.4384183844029508e-09
1865,9.41368871743009e-10
1866,3.4059290943133647e-09
1867,4.85281148598915e-09
1868,9.87974813071446e-10
1869,3.4184632902167778e-09
1870,6.307453670473251e-09
1871,0.0
1872,2.4189357183956872e-09
1873,1.1972008939764578e-09
1874,1.1949218281515073e-09
1875,3.432916173551348e-09
1876,6.04601479992084e-10
1877,7.421779302241305e-09
1878,0.0
1879,4.27652757650776e-09
1880,6.417846254436199e-10
1881,0.0
1882,2.6621540527571597e-09
1883,0.0
1884,6.601696966868076e-10
1885,6.445635691854079e-10
1886,6.453463874400711e-10
1887,0.0
1888,6.340614699951175e-10
1889,1.2530273485467092e-09
1890,6.554386478008212e-10
1891,3.824531802365527e-09
1892,1.2537024751679837e-09
1893,0.0
1894,1.8904617871129403e-09
1895,1.2037228991346183e-09
1896,4.1279202278587945e-09
1897,1.1653427112179315e-09
1898,0.0
1899,0.0
1900,1.038210628578895e-09
1901,2.794369402536745e-09
1902,0.0
1903,1.0800440541913758e-09
1904,0.0
1905,0.0
1906,0.0
1907,0.0
1908,1.4734167219643268e-09
1909,5.500983557560346e-10
1910,0.0
1911,1.0640748282497725e-09
1912,0.0
1913,4.242391771214216e-09
1914,6.696743715117748e-10
1915,0.0
1916,3.2962386153911893e-09
1917,0.0
1918,0.0
1919,9.207848372660976e-10
1920,1.514446346106979e-09
1921,0.0
1922,0.0
1923,0.0
1924,1.289162443462999e-09
1925,7.698724324711748e-09
1926,0.0
1927,2.2298449753321847e-09
1928,1.1426041224282812e-09
1929,1.1140406375176326e-09
1930,1.0503603542488804e-09
1931,3.4216069977333063e-09
1932,4.38381475564853e-09
1933,0.0
1934,0.0
1935,2.393656828303392e-09
1936,0.0
1937,0.0
1938,0.0
1939,0.0
1940,0.0
1941,0.0
1942,0.0
1943,0.0
1944,0.0
1945,0.0
1946,2.7842208538686464e-09
1947,0.0
1948,0.0
1949,9.817008317369869e-10
1950,3.190608444114673e-09
1951,1.0661401761424827e-09
1952,1.0544803918932644e-09
1953,6.464296320451979e-09
1954,0.0
1955,0.0
1956,6.104799110673298e-09
1957,0.0
1958,1.6544486891589827e-09
1959,0.0
1960,1.3841666701708277e-09
1961,3.47407969059077e-09
1962,2.5367825617905737e-09
1963,1.2932106496776896e-09
1964,1.2167936658258327e-09
1965,1.6416130677043839e-09
1966,3.3234448526542337e-09
1967,9.860671168482327e-10
1968,1.796566312384229e-09
1969,0.0
1970,1.3796175035718505e-09
1971,0.0
1972,5.130146862875051e-10
1973,0.0
1974,5.625571675160757e-10
1975,1.1422960355389478e-09
1976,5.713526873840635e-10
1977,5.876781838942691e-10
1978,0.0
1979,0.0
1980,0.0
1981,1.897664858585557e-09
1982,0.0
1983,0.0
1984,5.799008495621649e-10
1985,3.0077789148208467e-09
1986,1.1988970927134801e-09
1987,1.2221633705067347e-09
1988,2.398621523624911e-09
1989,5.488122178931576e-10
1990,5.44865097484859e-10
1991,1.1722930404189924e-09
1992,5.509944167592096e-10
1993,0.0
1994,0.0
1995,2.7112254108452305e-09
1996,5.338092190498855e-10
1997,4.79489448146353e-10
1998,0.0
1999,1.8280804647829996e-09
2000,3.092622158362701e-09
2001,0.0
2002,2.6287327870022636e-09
2003,1.2500769308587678e-09
2004,4.404791253964646e-10
2005,9.007499190971657e-10
2006,2.0589450144825605e-09
2007,3.994479469415779e-10
2008,5.5346713878634546e-09
2009,1.907277002999308e-09
2010,9.447586046817946e-10
2011,1.529588788962144e-09
2012,1.7021263287730903e-09
2013,1.952387529424726e-09
2014,1.2992671383216248e-09
2015,1.994917855907552e-09
2016,1.6570720351438695e-09
2017,1.2578056374223934e-09
2018,4.1303465647679616e-09
2019,1.785691428057845e-09
