year,aurons_VERB osé_VERB,aurons_VERB posé_VERB
1800,0.0,0.0
1801,0.0,0.0
1802,0.0,4.475680270843441e-09
1803,0.0,9.751696339321825e-09
1804,0.0,4.943701892301533e-09
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,8.540865792383556e-09
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,2.3401267590372754e-09
1811,0.0,5.0141535368197765e-09
1812,0.0,8.00162425207418e-09
1813,0.0,0.0
1814,0.0,6.293354282149721e-09
1815,0.0,1.6183340889597275e-08
1816,0.0,0.0
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,1.97229765852569e-09
1822,0.0,2.0051231786055723e-09
1823,0.0,6.917880934764753e-09
1824,0.0,5.052667617633233e-09
1825,0.0,0.0
1826,0.0,0.0
1827,0.0,0.0
1828,0.0,9.172301251858528e-10
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,0.0
1834,0.0,4.667265685043276e-09
1835,0.0,7.563087933704082e-10
1836,0.0,4.704525213838906e-09
1837,0.0,2.0873671680021744e-09
1838,6.312161904276081e-10,1.2624323808552163e-08
1839,0.0,2.7965900706306e-09
1840,0.0,8.280594876453051e-09
1841,0.0,5.1364388298225094e-09
1842,6.708265054555795e-10,6.037438549100216e-09
1843,0.0,5.31621990873532e-09
1844,0.0,9.330554107123135e-09
1845,0.0,1.1160455892778032e-09
1846,0.0,2.9272506640865004e-09
1847,0.0,1.4022381478184798e-08
1848,0.0,1.448139919091318e-08
1849,4.1897072478036534e-09,5.02764896381791e-09
1850,2.7155984128057753e-09,6.788996032014438e-09
1851,0.0,2.579775504329973e-09
1852,3.906327261660181e-09,6.510545436100301e-09
1853,0.0,8.957897534855874e-09
1854,0.0,2.0782657816909023e-09
1855,0.0,5.306937111981824e-10
1856,5.177189232874468e-10,9.836659486950339e-09
1857,0.0,4.881509085841174e-10
1858,0.0,3.9149408159744326e-09
1859,0.0,7.638259802433822e-09
1860,0.0,5.950338888283113e-09
1861,0.0,5.187560159214399e-09
1862,0.0,9.035972525772706e-10
1863,5.9935452156878455e-09,4.495158911765884e-09
1864,0.0,9.589456340108882e-09
1865,1.4120533631256649e-09,8.001635798393636e-09
1866,0.0,2.432806400776144e-09
1867,0.0,4.367530337390235e-09
1868,0.0,4.939874287401835e-09
1869,0.0,1.953407657850903e-09
1870,0.0,2.8670243956696595e-09
1871,0.0,1.0621177271019633e-09
1872,0.0,1.5118347462816928e-08
1873,0.0,5.387403856360606e-09
1874,0.0,3.5847653734322193e-09
1875,0.0,5.721527140956084e-10
1876,0.0,2.418405919968336e-09
1877,0.0,3.0924081073635534e-09
1878,0.0,1.8117265465633636e-09
1879,0.0,2.443730107160036e-09
1880,0.0,0.0
1881,0.0,1.1156012114099667e-08
1882,0.0,4.6587693702804245e-09
1883,0.0,5.0554711528150165e-09
1884,0.0,6.601696966868076e-10
1885,0.0,1.2891271161663553e-08
1886,0.0,9.680196200179125e-09
1887,0.0,6.528924623161458e-10
1888,0.0,0.0
1889,0.0,1.2530273707511697e-08
1890,0.0,1.3108772956016423e-09
1891,0.0,5.099376032546843e-09
1892,0.0,1.0656471260972467e-08
1893,0.0,5.542574843531156e-09
1894,0.0,3.150769645188234e-09
1895,0.0,1.2037228991346183e-09
1896,0.0,0.0
1897,0.0,4.661370844871726e-09
1898,0.0,1.867257104493092e-08
1899,0.0,4.9748205555033564e-09
1900,0.0,3.114631885736685e-09
1901,0.0,5.588738916095792e-10
1902,0.0,1.2275709337927765e-08
1903,0.0,1.6200660812870638e-09
1904,0.0,1.1824175416563776e-08
1905,0.0,3.096455536422127e-09
1906,0.0,2.572092316910357e-09
1907,0.0,3.599990305858114e-09
1908,0.0,1.964555629285769e-09
1909,0.0,1.6502950117569526e-09
1910,0.0,8.01622590529405e-09
1911,0.0,5.852411444351446e-09
1912,0.0,5.209421227725386e-10
1913,5.30298971401777e-10,5.30298971401777e-10
1914,6.696743715117748e-10,2.0090231700464756e-09
1915,0.0,1.1780761921542648e-09
1916,0.0,8.789969641043172e-09
1917,0.0,1.6449636319748606e-08
1918,0.0,2.2972752589112133e-09
1919,0.0,4.603924352863942e-09
1920,0.0,2.2716695191604686e-09
1921,0.0,3.0290989716519334e-09
1922,0.0,0.0
1923,0.0,9.554353752605493e-09
1924,0.0,7.734974438733389e-09
1925,0.0,1.0998178368026856e-08
1926,0.0,3.343841648018042e-09
1927,0.0,1.0034302277972529e-08
1928,0.0,3.4278122562625413e-09
1929,0.0,5.570202965543558e-09
1930,0.0,1.0503603542488804e-09
1931,0.0,4.5621426636444085e-09
1932,0.0,3.287861094491973e-09
1933,0.0,3.4411986593596566e-09
1934,0.0,4.7926320689839486e-09
1935,0.0,3.590485242455088e-09
1936,0.0,7.274828739411987e-09
1937,0.0,2.5182236296217297e-09
1938,0.0,5.186085783037697e-09
1939,0.0,9.176430282309411e-09
1940,0.0,1.2678914806940611e-08
1941,0.0,5.9030051957620344e-09
1942,0.0,1.2136847082899749e-08
1943,0.0,1.4516175816936538e-08
1944,0.0,1.6065930807940276e-08
1945,0.0,8.714016175304096e-09
1946,0.0,1.5313215584455975e-08
1947,0.0,4.7683483828109274e-09
1948,3.2615663503321457e-09,4.348755133776194e-09
1949,0.0,1.1780409536754632e-08
1950,0.0,8.508289184305795e-09
1951,0.0,5.330700769690111e-09
1952,0.0,4.2179215675730575e-09
1953,0.0,0.0
1954,0.0,9.772536113672459e-10
1955,0.0,4.6928039232341234e-09
1956,0.0,5.232684952005684e-09
1957,0.0,7.068030161150318e-09
1958,0.0,9.099467845885556e-09
1959,0.0,8.525822714489095e-09
1960,0.0,4.844583401109048e-09
1961,6.948159270159238e-10,2.08444772553662e-09
1962,6.341956404476434e-10,3.170978146727066e-09
1963,0.0,6.466053470433053e-09
1964,0.0,1.8251904432275978e-09
1965,0.0,2.73602163147757e-09
1966,0.0,9.970334780007306e-09
1967,0.0,2.465167847631733e-09
1968,0.0,2.245707841908029e-09
1969,0.0,4.995933444718048e-09
1970,0.0,2.2993624781975086e-09
1971,0.0,3.083038491169532e-09
1972,0.0,2.565073486948677e-09
1973,0.0,3.859242703185828e-09
1974,0.0,3.3753431161187564e-09
1975,0.0,7.996072248772634e-09
1976,0.0,2.285410749536254e-09
1977,0.0,7.052138428775834e-09
1978,0.0,4.752473081737207e-09
1979,0.0,2.3407893401383717e-09
1980,0.0,3.97960553399912e-09
1981,0.0,1.2651099057237047e-09
1982,0.0,3.1037510339615437e-09
1983,0.0,2.5261264191556165e-09
1984,0.0,3.479405208395292e-09
1985,6.015558051686298e-10,3.0077789148208467e-09
1986,0.0,1.1988970927134801e-09
1987,0.0,5.49973533381376e-09
1988,0.0,1.1993107618124554e-09
1989,0.0,5.488122178931576e-10
1990,0.0,2.179460389939436e-09
1991,0.0,1.1722930404189924e-09
1992,0.0,3.856960972825618e-09
1993,0.0,1.661762283333701e-09
1994,5.274926606624319e-10,2.1099706426497278e-09
1995,0.0,1.0844901643380922e-09
1996,5.338092190498855e-10,5.338092190498855e-10
1997,0.0,2.876936688878118e-09
1998,0.0,2.86087753487152e-09
1999,4.570201161957499e-10,3.656160929565999e-09
2000,0.0,4.418031274155965e-09
2001,0.0,8.762423564512289e-10
2002,0.0,3.9430991805033955e-09
2003,0.0,3.333538334260311e-09
2004,0.0,8.809582507929292e-10
2005,0.0,3.1526248278623825e-09
2006,0.0,1.6471559671771274e-09
2007,1.1983438685803094e-09,5.192823504529542e-09
2008,0.0,8.514879357157668e-10
2009,0.0,3.814554005998616e-09
2010,0.0,2.3618964561933353e-09
2011,3.82397197240536e-10,3.059177577924288e-09
2012,0.0,8.170206733382201e-09
2013,1.1156500168141292e-09,3.3469500504423877e-09
2014,2.1654451842767486e-10,4.114345752981308e-09
2015,6.649726325136385e-10,3.546520632724537e-09
2016,0.0,1.86420612280358e-09
2017,1.0062445321423752e-09,2.264050280587071e-09
2018,2.5814667070633845e-10,3.3559066636712487e-09
2019,5.1019755087367e-10,2.04079020349468e-09
