year,petits_ADJ airs_NOUN,petits_ADJ pères_NOUN
1800,1.792173822678933e-07,3.144164484325529e-09
1801,1.8335106233280385e-07,0.0
1802,6.042168365638645e-08,0.0
1803,9.166594150400442e-08,1.5602713787643552e-08
1804,1.1370514130248921e-07,0.0
1805,7.675769686521505e-08,5.685755422035754e-09
1806,3.9190699663294026e-07,0.0
1807,1.9643989901396708e-07,8.540865792383556e-09
1808,1.087715486569607e-07,6.798221985349073e-09
1809,1.6490922405409947e-07,1.3554183553310395e-08
1810,1.3338723192646285e-07,0.0
1811,1.2033968488367464e-07,0.0
1812,1.787029546562735e-07,0.0
1813,2.386865673997818e-07,0.0
1814,1.3530711839848664e-07,3.1466771410748606e-09
1815,1.6183340889597275e-08,2.697223555614414e-09
1816,2.5493642752394408e-08,1.622322720606917e-08
1817,1.821541957269801e-07,4.670620223912181e-09
1818,6.318224166079744e-08,0.0
1819,1.418093802385556e-07,6.210630232317271e-09
1820,1.82743802312757e-07,4.746592452420373e-09
1821,1.6863144558509902e-07,1.97229765852569e-09
1822,1.2431763707354548e-07,1.1028177482330648e-08
1823,9.882686669016039e-08,9.882686891060644e-10
1824,9.768490372152883e-08,0.0
1825,2.562383940585278e-07,8.805443041381977e-10
1826,9.953022583886195e-08,8.807984341885344e-10
1827,6.359918103271411e-08,2.7651818612639545e-09
1828,1.3941897236691148e-07,3.6689205562545624e-09
1829,1.1830983287497432e-07,0.0
1830,1.857756772860597e-07,1.3567886369969528e-08
1831,9.354723573551382e-08,0.0
1832,1.1365174401589684e-07,2.4353944638733083e-08
1833,8.687721697597794e-08,2.3167257001688313e-09
1834,1.0361329572106115e-07,0.0
1835,1.240346492181743e-07,7.563087933704082e-10
1836,1.1694104951054385e-07,1.142527511488467e-08
1837,1.2941677152156217e-07,4.174734336004349e-09
1838,8.016445707248465e-08,5.680945713848473e-09
1839,1.3773206630762758e-07,1.3982950020086093e-08
1840,9.936714623348664e-08,6.369688498875092e-09
1841,8.282507391044192e-08,1.2841097074556274e-08
1842,7.312008731830133e-08,8.049918065466954e-09
1843,5.6706346396318e-08,5.906910960362666e-09
1844,5.3239045172404076e-08,7.135129542756857e-09
1845,5.357019006169139e-08,7.81231901392232e-09
1846,7.43521662016633e-08,2.9272506640865004e-09
1847,6.148275133455172e-08,6.47186837454683e-09
1848,3.942158599556933e-08,1.0458788390899088e-08
1849,2.5976186535103807e-08,9.217356655710773e-09
1850,4.2091777174846357e-08,1.6293590476834652e-08
1851,3.9341575330809064e-08,6.449438760824933e-09
1852,7.0313888045348e-08,1.3021091316289812e-08
1853,9.555090940693844e-08,9.55509071864924e-09
1854,7.325886675069171e-08,7.27393034694046e-09
1855,8.066544765483741e-08,1.3798036491152743e-08
1856,6.730346280292565e-08,3.10631348421353e-09
1857,7.810414454079151e-08,8.298565445929995e-09
1858,7.976691640543265e-08,1.2234190105431253e-08
1859,8.198399092940178e-08,6.61982535454797e-09
1860,9.795173458448936e-08,1.556242534839214e-08
1861,9.2432888898486e-08,4.244367302064234e-09
1862,9.939569925454528e-08,1.536115373790281e-08
1863,1.023897271967833e-07,9.489779628779615e-09
1864,8.582563137959909e-08,1.1027874502467228e-08
1865,5.883555331820389e-08,2.259285303285452e-08
1866,1.1142253875107144e-07,6.325296841858119e-09
1867,8.443892340892489e-08,9.7056229719783e-09
1868,7.55800723117872e-08,7.409810987013543e-09
1869,8.106641535832182e-08,3.9068152046795035e-09
1870,9.461180727754481e-08,9.1744776220537e-09
1871,5.2043770182308435e-08,6.37270636261178e-09
1872,6.47065334646868e-08,9.675742873582749e-09
1873,6.883905034893445e-08,1.7958013409646867e-09
1874,4.7796871516236905e-08,2.4495898087728563e-08
1875,6.980262895472933e-08,1.7164581422868253e-09
1876,9.250402532856583e-08,1.813804439976252e-09
1877,1.2740720611859047e-07,2.535774568102056e-08
1878,1.5339284908932882e-07,1.6909448674606864e-08
1879,1.1057878879228156e-07,2.1993570964440323e-08
1880,8.85662760907735e-08,1.7328185553111553e-08
1881,1.289913882374094e-07,2.7890030507293773e-08
