year,bonnes_ADJ ondes_NOUN,bonnes_ADJ sondes_NOUN
1800,0.0,1.8864987794131594e-08
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,2.259030518203531e-09
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,4.888760685162197e-08
1814,0.0,0.0
1815,0.0,0.0
1816,0.0,1.8540831092650478e-08
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,0.0
1820,0.0,0.0
1821,0.0,0.0
1822,0.0,0.0
1823,0.0,0.0
1824,0.0,0.0
1825,0.0,3.522177216552791e-09
1826,0.0,7.927186018719112e-09
1827,0.0,1.566936447261469e-08
1828,0.0,0.0
1829,0.0,0.0
1830,0.0,0.0
1831,0.0,0.0
1832,0.0,0.0
1833,0.0,3.4750886612755494e-09
1834,9.334530925997342e-10,1.8669062740173104e-08
1835,0.0,0.0
1836,0.0,0.0
1837,0.0,0.0
1838,0.0,0.0
1839,0.0,1.3982950353153e-09
1840,0.0,0.0
1841,0.0,0.0
1842,0.0,2.683306021822318e-09
1843,0.0,0.0
1844,0.0,0.0
1845,0.0,0.0
1846,0.0,0.0
1847,0.0,0.0
1848,0.0,0.0
1849,0.0,0.0
1850,0.0,4.073397619208663e-09
1851,0.0,0.0
1852,0.0,0.0
1853,0.0,0.0
1854,0.0,2.0782657816909023e-09
1855,0.0,0.0
1856,0.0,5.177189232874468e-10
1857,0.0,0.0
1858,0.0,0.0
1859,0.0,1.5276520048956854e-09
1860,0.0,4.577183909670879e-10
1861,0.0,0.0
1862,0.0,0.0
1863,0.0,4.994620828036034e-10
1864,0.0,0.0
1865,0.0,4.706844358715045e-10
1866,0.0,9.731225825149181e-10
1867,0.0,6.308654931785895e-09
1868,0.0,0.0
1869,0.0,0.0
1870,0.0,1.1468097582678638e-09
1871,0.0,0.0
1872,0.0,0.0
1873,0.0,5.986004469882289e-10
1874,0.0,0.0
1875,0.0,0.0
1876,6.04601479992084e-10,6.04601479992084e-10
1877,0.0,0.0
1878,0.0,1.2078177347163432e-09
1879,0.0,0.0
1880,3.8507077526617195e-09,0.0
1881,0.0,0.0
1882,0.0,1.3310770263785798e-09
1883,0.0,0.0
1884,0.0,0.0
1885,0.0,0.0
1886,0.0,0.0
1887,0.0,0.0
1888,0.0,0.0
1889,0.0,0.0
1890,1.3108772956016423e-09,3.2771931834929546e-09
1891,0.0,0.0
1892,0.0,1.2537024751679837e-09
1893,0.0,1.847525021858587e-09
1894,0.0,1.8904617871129403e-09
1895,0.0,6.018614495673091e-10
1896,0.0,0.0
1897,0.0,1.1653427112179315e-09
1898,0.0,5.6583548957434e-10
1899,0.0,2.2110313580014918e-09
1900,0.0,5.191053142894475e-10
1901,0.0,0.0
1902,0.0,0.0
1903,0.0,5.400220270956879e-10
1904,0.0,2.6873125946735854e-09
1905,0.0,0.0
1906,0.0,0.0
1907,0.0,0.0
1908,0.0,1.4734167219643268e-09
1909,0.0,1.6502950117569526e-09
1910,0.0,0.0
1911,0.0,3.7242617878519013e-09
1912,0.0,5.209421227725386e-10
1913,0.0,0.0
1914,0.0,0.0
1915,0.0,0.0
1916,0.0,1.0987462051303964e-09
1917,0.0,0.0
1918,0.0,0.0
1919,0.0,9.207848372660976e-10
1920,0.0,0.0
1921,0.0,0.0
1922,0.0,0.0
1923,0.0,0.0
1924,0.0,0.0
1925,0.0,0.0
1926,0.0,1.1146138456652466e-09
1927,0.0,0.0
1928,0.0,0.0
1929,0.0,1.1140406375176326e-09
1930,0.0,0.0
1931,0.0,0.0
1932,0.0,0.0
1933,3.4411986593596566e-09,0.0
1934,0.0,0.0
1935,0.0,0.0
1936,0.0,0.0
1937,1.2591118148108649e-09,2.5182236296217297e-09
1938,1.2965214457594243e-09,0.0
1939,0.0,0.0
1940,0.0,0.0
1941,0.0,0.0
1942,0.0,0.0
1943,0.0,0.0
1944,0.0,0.0
1945,0.0,0.0
1946,1.3921104269343232e-09,0.0
1947,0.0,0.0
1948,2.174377566888097e-09,0.0
1949,0.0,0.0
1950,0.0,0.0
1951,1.0661401761424827e-09,1.0661401761424827e-09
1952,1.0544803918932644e-09,0.0
1953,5.386913581872932e-09,0.0
1954,4.886268278880834e-09,0.0
1955,0.0,0.0
1956,3.488456634670456e-09,0.0
1957,0.0,0.0
1958,0.0,1.6544486891589827e-09
1959,0.0,0.0
1960,6.920833350854139e-10,6.920833350854139e-10
1961,0.0,0.0
1962,0.0,0.0
1963,1.939815863494232e-09,0.0
1964,0.0,0.0
1965,5.472043373977442e-10,0.0
1966,1.6617224263271169e-09,0.0
1967,0.0,0.0
1968,1.7965663401398047e-09,0.0
1969,0.0,0.0
1970,0.0,0.0
1971,0.0,5.138397485282553e-10
1972,2.0520587451500205e-09,5.130146862875051e-10
1973,0.0,5.513203782392395e-10
1974,1.6876715580593782e-09,0.0
1975,5.711480177694739e-10,0.0
1976,0.0,5.713526873840635e-10
1977,0.0,0.0
1978,0.0,0.0
1979,0.0,0.0
1980,2.8425752862659692e-09,0.0
1981,1.2651099057237047e-09,6.325549528618524e-10
1982,6.207502289967692e-10,6.207502289967692e-10
1983,0.0,6.315316047889041e-10
1984,1.1598016991243298e-09,0.0
1985,1.8046674155058895e-09,0.0
1986,0.0,2.3977941854269602e-09
1987,0.0,0.0
1988,5.996553809062277e-10,0.0
1989,2.1952488715726304e-09,0.0
1990,0.0,0.0
1991,2.344586136349136e-09,1.1722930404189924e-09
1992,1.65298330578878e-09,1.1019888335184191e-09
1993,1.1078414852150331e-09,0.0
1994,0.0,0.0
1995,1.626735190995987e-09,1.626735190995987e-09
1996,3.736664311304594e-09,0.0
1997,3.3564262480467733e-09,0.0
1998,4.768129224785866e-10,0.0
1999,4.570201161957499e-10,0.0
2000,1.502130686503733e-08,0.0
2001,1.3143635069212678e-09,8.762423564512289e-10
2002,2.6287327870022636e-09,4.38122149670761e-10
2003,1.0833999475323708e-08,0.0
2004,3.0833537945085254e-09,0.0
2005,6.305249655724765e-09,0.0
2006,7.41220168576362e-09,0.0
2007,1.7575710137274214e-08,0.0
2008,2.4267406029121474e-08,0.0
2009,1.3827758493789588e-08,1.430457752249481e-09
2010,2.0784688636865667e-08,0.0
2011,4.474047077263066e-08,0.0
2012,3.336167608836149e-08,3.404252713057332e-10
2013,3.625862476930308e-08,5.578250084070646e-10
2014,3.1832044070090326e-08,2.1654451842767486e-10
2015,5.3641124098113835e-08,2.2165753954528356e-10
2016,4.971216072124918e-08,4.1426800878596737e-10
2017,7.67261466028124e-08,1.0062445321423752e-09
2018,7.176477245796065e-08,2.5814667070633845e-10
2019,1.0433539632259681e-07,0.0
