year,vos_DET sentiers_NOUN
1800,7.860410988769218e-08
1801,7.857902772911984e-08
1802,2.0140561218795483e-08
1803,7.801356893821776e-09
1804,3.9549615138412264e-08
1805,2.2743021688143017e-08
1806,1.152667650217154e-08
1807,3.9857372513552036e-08
1808,2.7192887941396293e-08
1809,1.581321384946932e-08
1810,9.360507036149102e-09
1811,8.273353557797236e-08
1812,0.0
1813,2.5881674803329702e-08
1814,3.776012391654149e-08
1815,1.0788894222457657e-08
1816,2.3176038865813098e-08
1817,1.401186100480345e-08
1818,1.9073883805731384e-08
1819,3.2088255608186955e-08
1820,4.6279275522920216e-08
1821,3.352905952880292e-08
1822,1.804610860745015e-08
1823,9.882687224127551e-09
1824,3.8737120178211626e-08
1825,1.4969252504215547e-08
1826,1.76159691278599e-08
1827,1.6591091167583727e-08
1828,9.172301140836225e-09
1829,9.430493719264632e-09
1830,3.1310506187764986e-08
1831,1.2472964883158966e-08
1832,2.3000948701223933e-08
1833,3.938433634775862e-08
1834,2.240287422239362e-08
1835,4.61348363955949e-08
1836,3.629205025390547e-08
1837,1.948209416013924e-08
1838,2.1461350030449466e-08
1839,3.216078425793967e-08
1840,2.229391071750797e-08
1841,3.274479709602929e-08
1842,2.4820580257767233e-08
1843,2.126487963494128e-08
1844,2.7442807137845193e-08
1845,3.013322924516615e-08
1846,2.1661654248106288e-08
1847,2.3730184040005042e-08
1848,2.252662056889676e-08
1849,3.267971848686102e-08
1850,3.1229383523623255e-08
1851,1.483370937194195e-08
1852,3.515694446676321e-08
1853,3.3442816516071616e-08
1854,4.312401458150816e-08
1855,2.653468555990912e-08
1856,3.2616291889553395e-08
1857,4.198097891539021e-08
1858,3.1808894129792264e-08
1859,2.0877910955618972e-08
1860,3.204028783954094e-08
1861,2.9710572335694962e-08
1862,3.072230825296174e-08
1863,2.996772607843923e-08
1864,2.589153069720851e-08
1865,2.0710114512212385e-08
1866,1.459683868221262e-08
1867,3.0572714138088486e-08
1868,3.359114320033996e-08
1869,3.271957838002493e-08
1870,1.490852596930381e-08
1871,2.973929724703339e-08
1872,2.479409189071191e-08
1873,2.0352414864532875e-08
1874,1.852128866941527e-08
1875,1.7164582089002067e-08
1876,1.4510435519810017e-08
1877,2.4120782815550967e-08
1878,2.5968081018845623e-08
1879,1.3440515367335593e-08
1880,1.0910338410496934e-08
1881,1.1853263259808955e-08
1882,1.3976308999019693e-08
1883,1.7062215307284134e-08
1884,1.8484751507230612e-08
1885,8.379326621454908e-09
1886,2.0005737511041843e-08
