year,ces_DET allées_NOUN,ces_DET vallées_NOUN
1800,2.389564954796697e-07,6.099679179527584e-07
1801,3.4289028327805227e-07,6.095827131957776e-07
1802,3.4686522099036665e-07,5.95265504443887e-07
1803,2.0673595813036627e-07,1.0707362534390086e-06
1804,2.4718509017418455e-07,6.30322006145434e-07
1805,2.615447414200389e-07,1.0888221737559434e-06
1806,5.446354762739247e-07,6.166771768789658e-07
1807,1.395008020210753e-07,7.003509807645969e-07
1808,2.0394666577772114e-07,7.092811813436128e-07
1809,3.569268329783881e-07,9.307205885988878e-07
1810,3.556992638209522e-07,8.260647312852143e-07
1811,3.0586337018689846e-07,8.398706903278708e-07
1812,8.001624962616916e-08,7.468183085279634e-07
1813,1.4666282277531195e-07,8.857284541363697e-07
1814,3.241077344284804e-07,5.034683527860295e-07
1815,1.2946673244584872e-07,7.174614609084529e-07
1816,1.3905623674759227e-07,6.836931714104821e-07
1817,1.8526792899820066e-07,4.6706202927460083e-07
1818,2.3365507040296052e-07,7.414972102992579e-07
1819,1.552657566961102e-07,6.635023304113474e-07
1820,2.254631361608972e-07,6.265501824032071e-07
1821,2.5639870138149945e-07,4.930744097464412e-07
1822,3.1781203801983793e-07,3.7295291122063645e-07
1823,3.992605552838313e-07,8.657233969699973e-07
1824,2.2315948378093253e-07,4.252661902626187e-07
1825,1.637812365729019e-07,5.503402142892355e-07
1826,1.409277530228792e-07,6.711683866456042e-07
1827,2.276666393186133e-07,4.599419263229265e-07
1828,1.6143249581546115e-07,6.879226077671774e-07
1829,2.4519283670088043e-07,7.724431441147317e-07
1830,2.46309326712435e-07,7.952869012228803e-07
1831,2.4945929943953615e-07,7.2499108938473e-07
1832,2.624814152696331e-07,5.03314860011983e-07
1833,2.9190745109985983e-07,1.1085532705124024e-06
1834,2.398974459083547e-07,8.58776850520826e-07
1835,2.6546439357844065e-07,8.727803404440238e-07
1836,2.627813397992895e-07,8.044737604961938e-07
1837,2.5396302483216004e-07,6.665659704196969e-07
1838,2.9793402944733316e-07,8.508793953865279e-07
1839,2.5728627406351734e-07,7.669648312003119e-07
1840,1.5796828378711325e-07,7.535341950415386e-07
1841,2.3884440381038985e-07,1.0080261674261237e-06
