year,deux_DET airs_NOUN
1800,1.131899196593622e-07
1801,4.286128785224719e-08
1802,3.1329761895904085e-08
1803,9.166594594489652e-08
1804,6.921182338359699e-08
1805,1.2224374312808095e-07
1806,4.8988376022407465e-08
1807,6.547996633798903e-08
1808,1.1556977064230978e-07
1809,6.09938268780752e-08
1810,3.97821557918121e-08
1811,8.77476873384353e-08
1812,5.3344166417446104e-08
1813,1.5241430628698538e-07
1814,8.81069599500961e-08
1815,5.664169400176888e-08
1816,4.6352077731626196e-09
1817,3.42512151974006e-08
1818,6.079800130009971e-08
1819,4.5544620519422097e-08
1820,5.3399165977907614e-08
1821,1.4792232327920374e-08
1822,5.514088741165324e-08
1823,1.680056804787e-08
1824,6.06320114115988e-08
1825,3.78634048558979e-08
1826,2.9947145208097936e-08
1827,5.7147091836462494e-08
1828,7.888178754633657e-08
1829,6.086954873474326e-08
1830,4.5922077696047836e-08
1831,5.145097770054008e-08
1832,2.8412935559885e-08
1833,4.865123881536704e-08
1834,4.853956059314157e-08
1835,4.0840674842002045e-08
1836,5.578222345148376e-08
1837,6.88831186534955e-08
1838,4.229148320433751e-08
1839,3.2859933885021064e-08
1840,4.33138822586443e-08
1841,7.512042010660025e-08
1842,3.8237111255057243e-08
1843,6.143187425422525e-08
1844,3.45779343491337e-08
1845,4.7431936656128215e-08
1846,2.2832555401919308e-08
1847,1.941560512364049e-08
1848,3.298541073615269e-08
1849,3.686942506853086e-08
1850,5.838536765168101e-08
1851,3.353708155628965e-08
1852,6.445439737490233e-08
1853,4.598387448595531e-08
1854,7.118060402211412e-08
1855,6.156047405170284e-08
1856,5.694908311593139e-08
1857,7.175818117488575e-08
1858,8.172439253106845e-08
1859,3.97189512391094e-08
1860,5.8130236957332215e-08
1861,5.847795042646098e-08
1862,8.177555432808958e-08
1863,2.2975256364077268e-08
1864,7.096197229827794e-08
1865,4.2832282387550435e-08
1866,5.1088934416299026e-08
1867,6.939520247328801e-08
1868,4.6434817546625595e-08
1869,8.399653195212409e-08
1870,4.587238944253613e-08
1871,2.1242353653860846e-08
1872,5.019291648977742e-08
1873,6.105724315030869e-08
1874,4.779687134970345e-08
1875,5.893172794202428e-08
1876,6.287855258690911e-08
1877,7.050690165044671e-08
1878,1.316521327510145e-07
1879,3.6655949942066e-08
1880,5.005920211686998e-08
1881,9.41288524902717e-08
1882,7.587138917131142e-08
1883,7.140853064413477e-08
1884,4.291103117282091e-08
1885,4.318576085626802e-08
1886,4.9046325889534614e-08
1887,5.35371814103236e-08
1888,4.755461202599065e-08
1889,5.889228527067303e-08
1890,2.9494738484903138e-08
1891,4.653180718516836e-08
1892,2.820830502514582e-08
1893,5.4194064402768305e-08
1894,4.2850465620247746e-08
1895,6.43991759918805e-08
1896,4.0099797649073565e-08
1897,4.3700353113962365e-08
1898,4.413516951906615e-08
1899,4.5878900678530954e-08
1900,4.412395127051383e-08
1901,3.5767929285057676e-08
1902,2.995273185035785e-08
1903,4.6981915247101824e-08
1904,4.568431410945095e-08
1905,4.4898605056076235e-08
1906,3.9610220603503166e-08
1907,7.611407992769159e-08
1908,6.041008471235898e-08
1909,3.960708294670212e-08
1910,5.0235016701982715e-08
1911,3.724261854465283e-08
1912,6.668059038261731e-08
1913,7.848425115364321e-08
1914,8.906668824693043e-08
1915,2.8273827723523937e-08
1916,1.0987461607214755e-08
1917,3.947912752266802e-08
1918,1.8378202071289707e-08
1919,5.5247090680055067e-08
1920,7.04217537617069e-08
1921,6.739745078698789e-08
1922,5.459672369756419e-08
1923,7.006525715169687e-08
1924,3.867487285980076e-08
1925,5.27912540349007e-08
1926,3.901148493135054e-08
1927,6.801026863900717e-08
1928,1.0626218438503088e-07
1929,6.01581959802644e-08
1930,9.348206830850359e-08
1931,7.185374428786417e-08
1932,7.342889585260082e-08
1933,7.341223895451776e-08
1934,7.7880272897346e-08
1935,6.582556189016486e-08
1936,1.0790995830234351e-07
1937,3.147779614742774e-08
1938,7.779128574636474e-08
1939,4.129393449403551e-08
1940,2.02862628917444e-08
1941,1.0330259003765718e-07
1942,6.675265851185941e-08
1943,4.0645293575281016e-08
1944,5.7837349132228155e-08
1945,7.189063611079405e-08
1946,1.238978297735116e-07
1947,6.198852764427443e-08
1948,7.284165093324191e-08
1949,4.613993886959378e-08
1950,1.0635361658017928e-07
1951,5.330700991734716e-08
1952,3.2688891704601986e-08
1953,7.649417432809003e-08
1954,5.374894862519852e-08
1955,6.100644922568677e-08
1956,8.28508484040924e-08
1957,4.770920514207688e-08
1958,5.2115132875840686e-08
1959,5.8905684330312624e-08
1960,4.083291726963978e-08
1961,4.655266566677696e-08
1962,4.5027890527293835e-08
1963,6.724695289506144e-08
1964,2.5552667426431697e-08
1965,5.6909250478742734e-08
1966,4.7636043665200134e-08
1967,9.909974391097975e-08
1968,1.0914140513573756e-07
1969,5.6317797758609345e-08
1970,7.128024118174814e-08
1971,6.320229040124303e-08
1972,1.9699764414182752e-07
1973,6.009392056194329e-08
1974,3.206575832637171e-08
1975,4.169380662943922e-08
1976,5.5421210287676104e-08
1977,5.230335708983347e-08
1978,7.12870956709466e-08
1979,5.091216703778656e-08
1980,4.832377969998802e-08
1981,6.768338045581856e-08
1982,6.021277043632978e-08
1983,5.999550367619122e-08
1984,5.972978722734723e-08
1985,5.594469065783869e-08
1986,4.6756987059914934e-08
1987,6.355249421163833e-08
1988,6.296381349635283e-08
1989,5.707646888453155e-08
1990,5.775569966726124e-08
1991,9.319729549206457e-08
1992,5.234446837087958e-08
1993,8.69655588653373e-08
1994,6.22441331254997e-08
1995,8.892819269856744e-08
1996,5.2313302134621154e-08
1997,4.986690405051064e-08
1998,3.671459680720801e-08
1999,6.261175472532798e-08
2000,6.847948741395271e-08
2001,6.440381200567558e-08
2002,3.943099197156741e-08
2003,7.417122760422501e-08
2004,5.197653624167131e-08
2005,5.854874474131577e-08
2006,6.7533397873909e-08
2007,4.673540981992019e-08
2008,6.897052448606722e-08
2009,5.531103197675691e-08
2010,5.3378861386566e-08
2011,4.053410118665113e-08
2012,4.4255286657524096e-08
2013,3.709536461338203e-08
2014,6.886115722082309e-08
2015,4.8764659379973985e-08
2016,3.438424314716748e-08
2017,4.075290205296511e-08
2018,3.1752039775234664e-08
2019,2.90812607328661e-08
