year,mes_DET yeux_NOUN,mes_DET vieux_ADJ
1800,1.3975810929878207e-05,3.364255860560661e-07
1801,1.8685139707486087e-05,2.928854598849284e-07
1802,1.2914575222566782e-05,2.394488944901241e-07
1803,1.3829855674885039e-05,2.652461432717246e-07
1804,1.7260935237572994e-05,4.251583618497534e-07
1805,1.553064100789925e-05,2.6723051860244595e-07
1806,1.152955860561633e-05,2.852852389878535e-07
1807,1.1683903608172841e-05,1.679703558465917e-07
1808,1.2961943184564007e-05,1.5635910699529632e-07
1809,1.1480393197871308e-05,2.0105371278944517e-07
1810,1.8075139678330743e-05,3.650597859561344e-07
1811,1.3091954542687745e-05,1.7549537822958428e-07
1812,1.0132724298728135e-05,3.360682399033976e-07
1813,1.6345716119303688e-05,2.875741529351217e-07
1814,1.07679288134932e-05,2.4858749725353846e-07
1815,9.715398959997401e-06,2.832084646797739e-07
1816,1.0607673061713285e-05,2.0394914201915526e-07
1817,1.6314476170009584e-05,4.748463835468897e-07
1818,1.4174280011047813e-05,3.254481530934328e-07
1819,1.4032918215889367e-05,3.8402394919589966e-07
1820,1.7069932596314175e-05,4.699126510132601e-07
1821,1.7330580476482282e-05,4.358777898616495e-07
1822,1.5445463645846758e-05,3.7195034963133367e-07
1823,1.5090863030309265e-05,4.1309631493291477e-07
1824,1.5228740267048124e-05,4.5558219508023967e-07
1825,1.3639631163187005e-05,3.046683274554596e-07
1826,1.167586361816575e-05,3.6817373549880017e-07
1827,1.020444301502721e-05,3.0324829225492067e-07
1828,1.2153298996508966e-05,2.916791761453652e-07
1829,1.1007958050868183e-05,3.3435387597480215e-07
1830,1.5031131056275626e-05,4.206044916799101e-07
1831,1.3179246650452114e-05,4.7241354117488754e-07
1832,1.5766473325129482e-05,4.681369460968199e-07
1833,1.5020490991446422e-05,5.119963706334829e-07
1834,1.2445730021681811e-05,3.929837624205845e-07
1835,1.3130276784067973e-05,3.7739808078640635e-07
1836,1.222773312292702e-05,3.037779157111231e-07
1837,1.1207075317543058e-05,2.915356391852697e-07
1838,1.1086681013239286e-05,2.884657972490601e-07
1839,1.094934947332149e-05,3.2859933885021064e-07
1840,1.0147551307682079e-05,3.025601982287185e-07
1841,1.1194868307029537e-05,2.7223125975694984e-07
1842,1.1515407436490932e-05,3.2132590810363126e-07
1843,1.0542654848677557e-05,2.9002933255029006e-07
1844,9.952957299219634e-06,2.1021189861025746e-07
1845,9.688950143527109e-06,2.2599922999688715e-07
1846,9.883568736768211e-06,2.816015074458278e-07
1847,8.564438758185133e-06,2.4862760472643686e-07
1848,9.915735404320003e-06,2.8077824598682355e-07
1849,1.1230091985225954e-05,3.5025953426526257e-07
1850,1.0440797353794551e-05,3.217984092529491e-07
1851,8.94666169415359e-06,2.986090024137411e-07
1852,1.0207884599822137e-05,2.780002832381001e-07
1853,1.029561013865532e-05,3.2606748368024796e-07
1854,1.1241339905154746e-05,2.49391880480232e-07
1855,1.182014119649466e-05,3.31683569498864e-07
1856,1.0959592202652857e-05,2.635189231270374e-07
1857,1.2516188860445254e-05,3.905207357490781e-07
1858,1.1976783127920498e-05,3.450041496932954e-07
1859,1.1636634098977083e-05,3.961710968169996e-07
1860,1.3280698681228387e-05,5.22714410422509e-07
1861,1.2286028606922628e-05,4.022717039475765e-07
1862,1.3328059765171929e-05,3.031568740485824e-07
1863,1.2253802651684964e-05,3.7759333970655007e-07
1864,1.2301833464789524e-05,2.8240948601876426e-07
1865,1.1884782395554794e-05,3.285377419004476e-07
1866,1.0639635320330854e-05,4.1357709879008553e-07
1867,1.0304460005272631e-05,3.392115317524258e-07
1868,1.0180586286878679e-05,3.038022643453431e-07
1869,1.174681653992593e-05,4.1461078481574987e-07
1870,1.0306379408575594e-05,3.45189745676322e-07
1871,9.907434389333503e-06,2.7827484672116043e-07
1872,9.98597096213416e-06,3.2413737993675085e-07
1873,9.599156811646026e-06,3.0349041502120144e-07
1874,9.525319285330625e-06,3.023152110870342e-07
1875,1.1034537067189376e-05,4.2797022814511365e-07
1876,9.89914045135265e-06,3.143927616022779e-07
1877,1.1383154060240486e-05,3.420203169568481e-07
1878,8.4619708786704e-06,2.4216745497795955e-07
1879,8.705788218321686e-06,3.2623796775155256e-07
1880,8.999745915616586e-06,3.144744642469277e-07
1881,9.18348968070859e-06,3.277078599595029e-07
1882,8.80307820239068e-06,3.314381664676347e-07
1883,8.362381578308486e-06,3.488275162055743e-07
1884,8.215812073331108e-06,3.8223825526984e-07
1885,6.788543686297999e-06,2.533134788595959e-07
1886,7.86677233577393e-06,2.7749894027095934e-07
1887,7.745916036583367e-06,2.5528095992655153e-07
1888,7.3145330929946795e-06,2.85961732515716e-07
1889,7.63908127510149e-06,3.032326318930245e-07
1890,6.899147194872057e-06,2.641417884419184e-07
1891,7.355849987789043e-06,2.747288858628849e-07
1892,7.3680095908912335e-06,2.733071378102636e-07
1893,6.9466939578433085e-06,2.4880003524074823e-07
1894,7.271345964454667e-06,2.7348681008732e-07
1895,7.390256712369592e-06,2.281054825026274e-07
1896,7.37600393563298e-06,3.4143798544050696e-07
1897,6.913395793617383e-06,2.6336745406752016e-07
1898,6.723257200746957e-06,3.0724867627895946e-07
1899,7.186404843650962e-06,2.664292679810387e-07
1900,7.016227300482569e-06,2.932945148970134e-07
1901,6.199587915034499e-06,2.1572531938574002e-07
1902,5.683653427013269e-06,2.4207698778866416e-07
1903,6.321498034367323e-06,2.2086900397511045e-07
1904,6.116860816973713e-06,2.165973960188694e-07
1905,6.651186254202912e-06,2.4565213507798944e-07
1906,6.6406280154751585e-06,2.7109851608031477e-07
1907,6.609582442251849e-06,2.3091366507799194e-07
1908,6.807676470543811e-06,2.7994917584095447e-07
1909,7.284402528284772e-06,2.9100204379517436e-07
1910,7.614345918227627e-06,2.971347878855113e-07
1911,7.649101917195367e-06,2.6708278344500513e-07
1912,7.912068895166158e-06,3.031883073489894e-07
1913,7.967742135406297e-06,3.6060331076726015e-07
1914,7.080467327114093e-06,2.8528129103477795e-07
