year,vingt - deux villes
1800,2.0668611711016638e-08
1801,5.229965793773772e-09
1802,2.7098546517834166e-08
1803,2.142855581865888e-08
1804,2.9902459175445983e-08
1805,3.122235270325291e-08
1806,4.739897363492673e-08
1807,2.4919588170746465e-08
1808,2.490148087730404e-09
1809,1.2354796297131543e-08
1810,2.8207193913942774e-08
1811,1.6555819826180596e-08
1812,2.920916841731014e-09
1813,1.5735327707488977e-08
1814,0.0
1815,3.547701155071081e-08
1816,1.2665704041125991e-08
1817,1.8767359222238156e-08
1818,2.3459811870907288e-08
1819,1.6959136317495904e-08
1820,3.8846179606366604e-09
1821,1.6200482733097488e-08
1822,2.521895403617691e-08
1823,5.3979358760614105e-09
1824,1.1025046209311995e-08
1825,8.649634120061478e-09
1826,7.688472969391569e-09
1827,2.8169832688718088e-08
1828,3.207394527748875e-08
1829,1.217514178364354e-08
1830,7.989744643666086e-09
1831,2.9094620046521413e-08
1832,1.9274153717496745e-08
1833,3.4219203470797765e-08
1834,3.8869226171023286e-08
1835,2.4068855353220897e-08
1836,8.077838842268648e-09
1837,1.2904679103087346e-08
1838,1.9270281370609155e-08
1839,3.9741410051696846e-08
1840,1.670049343260871e-08
1841,3.229103573421099e-08
1842,1.9805060702537958e-08
1843,1.6135445868314946e-08
1844,1.735352445075833e-08
1845,1.4640971102153344e-08
1846,2.0501135011841143e-08
1847,1.767179874656577e-08
1848,1.1451721348976207e-08
1849,2.29355290315425e-08
1850,2.0061179384356365e-08
1851,2.9645988774973375e-08
1852,3.495430789257625e-08
1853,9.151858826328407e-09
1854,3.29624676442819e-08
1855,2.8507159965940332e-08
1856,2.2684561451491447e-08
1857,2.086381911681201e-08
1858,3.055763020398672e-08
1859,2.8986153866039643e-08
1860,5.5197804160744823e-08
1861,2.685198730034699e-08
1862,1.930923143600438e-08
1863,1.6447839312760948e-08
1864,1.574861840936137e-08
1865,2.063842252653103e-08
1866,1.3882195837311428e-08
1867,3.513398993959527e-08
1868,1.5688742749375706e-08
